# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Site Web,Total Yards,Type de club,Téléphone,Verges totales,Website,url
,18,"https://www.google.com/maps/place/6044 Rideau Valley Dr N  Manotick,ON K4M 1B3",,Private,Par 72,,"Manotick, ON",,—,,7042,,,,https://www.rideauview.com,https://www.golfcanada.ca/golf-facility/rideau-view-golf-club-en/
,18,"https://www.google.com/maps/place/400 Augier Avenue  Winnipeg,MB R3K 1S4",,Private,Par 72,,"Winnipeg, MB",,2048321306,,6730,,,,https://www.glendalegolf.ca,https://www.golfcanada.ca/golf-facility/glendale-golf-country-club-en/
18,,,"https://www.google.com/maps/place/400 Augier Avenue  Winnipeg,MB R3K 1S4",,,"Winnipeg, MB",,Par 72,,https://www.glendalegolf.ca,,Privé,2048321306,6730,,https://www.golfcanada.ca/fr/golf-facility/glendale-golf-country-club-fr/
,—,"https://www.google.com/maps/place/Box 99  Wardsville,ON N0L 2N0",,Public,Par 71,,"Wardsville, ON",,(519) 693-492,,5713,,,,,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-3/
,18,"https://www.google.com/maps/place/1145 Chemin du Petit-Bernier  Saint-Jean-sur-Richelieu,QC J3B 6Y8",,Public,Par 72,,"Saint-Jean-sur-Richelieu, QC",,(450) 346-6090,,6641,,,,https://www.golfvalleedesforts.com,https://www.golfcanada.ca/golf-facility/vallee-des-forts-club-de-golf-en/
,18,"https://www.google.com/maps/place/70 Westchester Avenue 70 Westchester Avenue St. Catharines,ON L2R 3P4",,Private,Par 72,,"St. Catharines, ON",,(905) 682-8206,,6766,,,,https://www.stgcc.com,https://www.golfcanada.ca/golf-facility/st-catharines-golf-country-club-en/
,18,"https://www.google.com/maps/place/4612 Blackcomb Way  Whistler,BC V8E 0Z5",,Semi-private,Par 72,,"Whistler, BC",,(604) 938-2092,,6635,,,,,https://www.golfcanada.ca/golf-facility/chateau-whistler-golf-club-en/
,18,"https://www.google.com/maps/place/4 Avenue SW  Carman,MB R0G 0J0",,Semi-private,Par 71,,"Carman, MB",,2047452366,,5969,,,,https://www.carmangolfandcurlingclub.com,https://www.golfcanada.ca/golf-facility/carman-golf-curling-club-en/
,18,"https://www.google.com/maps/place/P.O. Box 8  Belle River,ON N0R 1A0",,Semi-private,Par 71,,"Belle River, ON",,(519) 728-2361,,5819,,,,https://www.rochesterplace.com,https://www.golfcanada.ca/golf-facility/rochester-place-golf-course-en/
,9,"https://www.google.com/maps/place/Box 337  Canwood,SK S0J 0K0",,Public,Par 70,,"Canwood, SK",,(306) 468-2663,,5726,,,,,https://www.golfcanada.ca/golf-facility/canwood-pines-golf-club-en/
,18,"https://www.google.com/maps/place/3290-9Th Street South  St. Catharines,ON L2R 6P7",,Semi-private,Par 72,,"St. Catharines, ON",,(905) 641-4536,,6907,,,,,https://www.golfcanada.ca/golf-facility/rockway-vineyards-golf-club-en/
