# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,name,url
18,"https://www.google.com/maps/place/9689 Dublin Line  Milton,ON L9T 2X7",Private,Par 72,"Milton, ON",9058753808,6884,,Greystone Golf Club,https://www.golfcanada.ca/golf-facility/greystone-golf-club-en/
—,"https://www.google.com/maps/place/100 Woodside lane  Fredericton,NB E3C 2R9",Public,Par —,"Fredericton, NB",—,—,,Good Guys Golf,https://www.golfcanada.ca/golf-facility/good-guys-golf-en/
18,"https://www.google.com/maps/place/3730 Fairwinds Drive 3730 Fairwinds Drive Nanoose Bay,BC V9P 9J6",Semi-private,Par 71,"Nanoose Bay, BC",(250) 468-7666,6151,https://www.fairwinds.ca,Fairwinds Golf Club,https://www.golfcanada.ca/golf-facility/fairwinds-golf-club-en/
18,K0A 3M0,Public,Par —,—,—,—,,Edgewood Golf Club,https://www.golfcanada.ca/golf-facility/edgewood-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 187  Carnduff,SK S0C 0S0",Public,Par 72,"Carnduff, SK",(306) 482-3919,6500,https://Town of Carnduff,Carnduff Golf Club,https://www.golfcanada.ca/golf-facility/carnduff-golf-club-en/
18,"https://www.google.com/maps/place/7600 Halifax Street  Burnaby,BC V5A 4M8",Public,Par 71,"Burnaby, BC",6042807355,6424,https://www.city.burnaby.bc.ca/visitors/golf/brnbym.html,Burnaby Mountain Golf Course,https://www.golfcanada.ca/golf-facility/burnaby-mountain-golf-course-en/
18,"https://www.google.com/maps/place/40 Beattie Ave  Toronto,ON M9W 2M3",Public,Par 70,"Toronto, ON",—,5472,,Humber Valley Golf Club,https://www.golfcanada.ca/golf-facility/humber-valley-golf-club-en/
9,"https://www.google.com/maps/place/100 Main Street  Princeton,NL A0C 2K0",Public,Par 68,"Princeton, NL",—,4500,,The View Golf Resort,https://www.golfcanada.ca/golf-facility/the-view-golf-resort-en/
9,"https://www.google.com/maps/place/1850 Pacific Rim Hwy, Box 998  Tofino,BC V0R 2Z0",Public,Par 72,"Tofino, BC",250 725 3332,6668,https://www.longbeachgolfcourse.com,Long Beach Golf Club,https://www.golfcanada.ca/golf-facility/long-beach-golf-club-en/
9,"https://www.google.com/maps/place/1 Little Falls Road  Atikokan,ON P0T 1C0",Public,Par 72,"Atikokan, ON",(807) 597-6638,6336,,Little Falls Golf Club,https://www.golfcanada.ca/golf-facility/little-falls-golf-club-en/
18,"https://www.google.com/maps/place/Po Box 430 Po Box 430 Grande Prairie,AB T8V 3A7",Semi-private,Par 72,"Grande Prairie, AB",(780) 532-0334,7007,https://www.gpgolf.ca,Grande Prairie Golf & Country Club,https://www.golfcanada.ca/golf-facility/grande-prairie-golf-country-club-en/
18,"https://www.google.com/maps/place/401 Mount Albion Rd  Hamilton,ON L8K 5T4",Private,Par 72,"Hamilton, ON",(905) 561-0660,6321,,Glendale Golf Club,https://www.golfcanada.ca/golf-facility/glendale-golf-club-en/
9,"https://www.google.com/maps/place/9632 Culloden Rd.  Eden,ON N0J 1H0",Public,Par 64,"Eden, ON",519-866-3641,4078,,Eden Golf Club,https://www.golfcanada.ca/golf-facility/eden-golf-club-en/
36,"https://www.google.com/maps/place/1276 Shaver Rd  Ancaster,ON L9G 3L1",Semi-private,,"Ancaster, ON",—,,,Knollwood Golf Club,https://www.golfcanada.ca/golf-facility/knollwood-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 69  Wabamun,AB T0E 2K0",Public,Par 72,"Wabamun, AB",7808924653,6835,,Ironhead Golf & Country Club - Men,https://www.golfcanada.ca/golf-facility/ironhead-golf-country-club-men-en/
18,"https://www.google.com/maps/place/Hwy 28  Bonnyville,AB T9N 2H3",Public,Par 72,"Bonnyville, AB",(780) 826-4886,6513,https://www.bonnyvillegolfclub.com,Bonnyville Golf & Country Club,https://www.golfcanada.ca/golf-facility/bonnyville-golf-country-club-en/
18,"https://www.google.com/maps/place/31 Marlwood Ave  Wasaga Beach,ON L9Z 1S5",Public,Par 72,"Wasaga Beach, ON",(705) 429-1449,7002,https://www.trilinksgolf.com,Tri Links golf Limited,https://www.golfcanada.ca/golf-facility/tri-links-golf-limited-en/
