name,source,created_by,addr:city,addr:country,addr:housenumber,addr:postcode,addr:province,addr:street,addr:unit,opening_hours,operator,wheelchair,sport,short_name,website,golf,landuse,source:name,phone,golf:course,FIXME,contact:facebook,natural,building,email,type,area_m2,lat,lon,province,gcid
Willows Golf and Country Club,,,Saskatoon,,382,S7T 1B1,,Cartwright Street,,,,,,,https://www.willowsgolf.com/,,,,+1-306-956-1100,,,,,,,,1771831.8186049403,52.07774245508385,-106.65846470732254,Saskatchewan,SN00017
Dakota Dunes Golf Links,,,,,,,,,,,,,,,,,,,,,,,,,,,1768855.9652960098,51.89052824024389,-106.69737002833472,Saskatchewan,SN00172
Elk Ridge Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,1509303.7919267174,53.896618115258526,-105.98607299189648,Saskatchewan,SN00170
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,1323642.2821838874,52.486896183480624,-103.55262885042009,Saskatchewan,SN00082
Moon Lake Golf and Country Club,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,1277663.9237946034,52.01631754655616,-106.77509265867826,Saskatchewan,SN00019
Tor Hill Golf Course,,,,,,,,,,,,,,,http://www.westerngolfmanagement.com/dir_torhill.html,,,,,,,,,,,,1081285.7322795058,50.502423119989686,-104.49354331451256,Saskatchewan,SN00168
Humboldt Golf Club,,,,,,,,,,,,,,HGC,,,,,,,,,,,,,993128.0020179793,52.20824279246574,-105.11202844059446,Saskatchewan,SN00200
Murray Golf Course,,,,,,,,,,,,,,,https://www.westerngolfmanagement.com/dir_murray.html,,,,,,,,,,,,987225.7465753402,50.50954222872309,-104.48285681954496,Saskatchewan,SN00167
Saskatoon Golf &Country Club,,,Furdale,,865,,,Cartwright Street,,,,,,,https://www.saskatoongcc.com/,,,,+1-306-931-0022,,,,,,,,970799.1798066766,52.08882199780579,-106.684644741739,Saskatchewan,SN00173
Jack Fish Lodge,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,896016.4110382473,53.12295361451914,-108.38614567120094,Saskatchewan,SN00007
Waskesiu Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,866394.685220523,53.91543477056706,-106.08677335634222,Saskatchewan,SN00179
Legends Golf Course,,,,,,,,,,,,,,,https://www.golfthelegends.com/,,,,,,,,,,,,856561.1954176885,52.33282753496596,-106.56378581794155,Saskatchewan,SN00164
Unknown Golf Course,CanVec 6.0 - NRCan,,,,,,,,,,,,golf,,,,,,,,,,,,,,849372.8495510947,51.634031421825654,-101.6266612893874,Saskatchewan,SN00023
TS&M Woodlawn Golf Club,,,,,,,,,,,,,,,https://estevangolf.com/,,,,+1-306-634-2138,,,,,,,,847426.7569610245,49.10941377866259,-102.97712432827541,Saskatchewan,SN00171
Weyburn Golf Club,bing,,,,,,,,,,,,,,,,,canvec,,,,,,,,,801382.6607812999,49.61474143282229,-103.80520428286694,Saskatchewan,SN00175
Cooke Municipal Golf Course,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,793848.4897153523,53.195652726927435,-105.72309569617185,Saskatchewan,SN00040
Holiday Park Golf Course,,,,,,,,,,,City of Saskatoon,,golf,,,,,,,,,,,,,,790769.5650256997,52.104284334040685,-106.69752916063787,Saskatchewan,SN00020
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,757463.761968613,51.78172387106152,-108.92252753520323,Saskatchewan,SN00116
Riverside Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,722752.5502819786,52.05298334545412,-106.71307569716332,Saskatchewan,SN00018
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,699190.7351508572,51.10586529698533,-106.60102505660387,Saskatchewan,SN00010
Deer Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,696679.1972419057,50.59169467774482,-104.88709671367256,Saskatchewan,SN00166
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,693222.9711955222,50.69957297178766,-103.61492873065046,Saskatchewan,SN00006
Deer Park Golf Course,Bing,,,,,,,,,,,,,,,,,City of Yorkton,,,,,,,,,676957.7848619508,51.20667957156158,-102.50310905904688,Saskatchewan,SN00029
Chinook Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,676061.8526760848,50.26815770560489,-107.7871406560838,Saskatchewan,SN00009
Hillcrest Golf Club,,,,,1599,,,Main Street N,,,,,,,https://www.hillcrestgolf.ca,rough,,,,,,,,,,,649062.9853568595,50.408153676069226,-105.52526519315805,Saskatchewan,SN00030
Meadow Lake Golf Club,,,Meadow Lake,,,S9X 1Y1,,3rd Street East,,,Tyler Brouilette,,,,,,,,,,,,,,,,644775.9666811146,54.11399001716714,-108.43781602465647,Saskatchewan,SN00056
North Battleford Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,633624.823910396,52.747537885290726,-108.27120211166623,Saskatchewan,SN00052
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,628168.1195211245,51.165549077986704,-109.39354215271037,Saskatchewan,SN00119
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,625563.8708166475,50.93416793648803,-108.30908075398295,Saskatchewan,SN00100
Biggar,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,606383.5787374241,52.08182690130832,-107.97264172692604,Saskatchewan,SN00122
Lloydminster Golf & Curling Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,604767.0811064184,53.28916365351755,-109.98771843245049,Saskatchewan,SN00199
