gcid,name,province,lat,lon,area_m2,addr:city,addr:country,addr:full,addr:hamlet,addr:housenumber,addr:postcode,addr:province,addr:street,area,barrier,building,contact:city,contact:housenumber,contact:street,demolished,description,designation,email,facebook,fax,fixme,golf,golf:course,golf:par,image,indoor,landuse,layer,mapillary,note,old_name,opening_hours,operator,operator:type,operator:wikidata,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,phone,source,source:name,sport,start_date,surface,tourism,type,website,wheelchair,winter_service,access,addr:unit,alt_name,attribution,branch,brand,canvec:code,contact:country,contact:email,contact:facebook,contact:phone,contact:postcode,contact:province,contact:website,created_by,fee,instagram,source:addr,source:url,wikidata,wikipedia,club,contact:instagram,url,wikipedia:en,mobile,name:en,name:fr,addr:district,addr:housename,addr:suburb,amenity,disused,fence_type,operational_status,canvec:uuid,check_date,entrance,historic,holes,natural,opendata:type,owner,payment:club_account,payment:maestro,payment:visa_debit,ref,tents,wheelchair:description,abandoned,addr:borough,addr:source,internet_access,opening_hours:signed,phone:mnemonic,short_name
AA00216,Trestle Creek Golf Resort,Alberta,53.56284004790244,-114.89760787037186,2337457.0623409944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00178,The Glencoe Golf and Country Club,Alberta,51.026613937131174,-114.30118706367696,1990205.1969662525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00183,Cold Lake Golf and Winter Club,Alberta,54.42060895346585,-110.2429059024689,1865404.9120145477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00026,Kananaskis Country Golf Course,Alberta,50.902951265525594,-115.14601496740762,1835840.4827309928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00261,Eagle Point Golf Course,Alberta,56.02321672136466,-113.89763953838948,1719729.1811276195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tu-Fr 14:00-22:00; Sa-Su 12:00-20:00,,,,,,,,+1-780-891-3475,,,,,,,,https://golfwabasca.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00231,Hinton Golf Club,Alberta,53.381028393191826,-117.61196845275998,1271457.0394154692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00280,Coyotte Creek Golf & RV Resort,Alberta,51.76230594447027,-114.67487830956408,1258581.5138444533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00099,Unknown Golf Course,Alberta,52.95249464320844,-114.03239325024946,1226679.658109697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00154,Coal Creek Golf Resort,Alberta,53.22511900206377,-112.52560443967184,1215366.7479415815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00085,Silverwing Golf Course,Alberta,51.10236860124749,-113.99092518354178,1191919.5704958648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00115,Jasper Park Lodge Golf Club,Alberta,52.88277177081424,-118.04613188355235,1174354.3581406819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-8.0,www.fairmont.com/jasper/golf/,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00227,The Quarry,Alberta,53.620354730985035,-113.3271551137274,1170206.2531055082,Edmonton,,,,945,T5Y 6L2,AB,167 Avenue NE,,,,,,,,,,,,+1-780-669-7088,,,,,,,,,,,,,The Quarry Edmonton,,,,,,,+1-780-477-8437,Bing,,,,,,,https://thequarryedmonton.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00028,Links of GlenEagles,Alberta,51.186545354429285,-114.43395326969832,1166902.5608112111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00045,The Legends Golf and Country Club,Alberta,53.62508394666368,-113.29458880914565,1161748.1073373498,Sherwood Park,,,,53541,T8A 4V2,AB,Range Rd 232,,,,,,,,27 Holes,,,,,,,,,,,,,,,,Mo-Su 06:00-21:30,,,,,,,,+1-780-449-4911,,,,,,,multipolygon,https://www.legendsgolf.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00274,Mickelson National Golf Club,Alberta,51.121635377273094,-114.37254953064217,1158156.948039509,Rocky View County,,,,34122,T3Z 0G8,AB,East Harmony Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mickelsonnational.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00240,Bearspaw Country Club,Alberta,51.15807158241447,-114.26783373073174,1098988.1234224548,Calgary,,,,61,T3R 1A2,,Hamilton Drive,,,,,,,,18-Hole Private Golf Course & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00267,Speargrass Golf Course,Alberta,50.838652154804315,-113.42988188972761,1092737.1251356737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00238,Northern Bear Golf Club,Alberta,53.374206872900196,-113.14175107287817,1080476.2663416832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00059,Country Hills Golf Club,Alberta,51.14511833501145,-114.08566056030845,1047010.2560651737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00167,Miquelon Hills Golf Course,Alberta,53.26084043865804,-112.86332600164627,1033343.7401373058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00297,Three Sisters Creek Golf Course,Alberta,51.05856255236032,-115.33957157850774,1030471.1898801624,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00036,Jagare Ridge Golf Club,Alberta,53.42035211127947,-113.57794722592595,1024337.3662661258,,,,,,,,,,,,Edmonton,14931,9th Avenue SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00035,Jagare Ridge Golf Club,Alberta,53.42035211127947,-113.57794722592595,1024337.3662661258,,,,,,,,,,,,Edmonton,14931,9th Avenue SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00270,Wolf Creek Golf Resort,Alberta,52.58294734594968,-113.65068110895255,1016832.3210835824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolfcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00271,Wolf Creek Golf Resort,Alberta,52.58294734594968,-113.65068110895255,1016832.3210835824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolfcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00111,Innisfail Golf Club,Alberta,52.039734586913674,-113.97199151391946,1005449.343800558,Innisfail,,,,6080,T4G 1S7,,Lakewood Drive,,,,,,,,,,,,,,,27_hole,,,,,,,,,,Semi Private,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00251,River Spirit Golf Club,Alberta,51.03669363599157,-114.38053273101899,988413.7215032924,,,,,241155,T3Z 2W4,,Range Road 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
