# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Site Web,Total Yards,Type de club,Téléphone,Verges totales,Website,url
,18,"https://www.google.com/maps/place/PO Box 392 PO Box 392 Virden,MB R0M 2C0",,Public,Par 72,,"Virden, MB",,(204) 748-1721,,6346,,,,,https://www.golfcanada.ca/golf-facility/virden-wellview-golf-club-wellview-en/
18,,,"https://www.google.com/maps/place/PO Box 392 PO Box 392 Virden,MB R0M 2C0",,,"Virden, MB",,Par 72,,,,Public,(204) 748-1721,6346,,https://www.golfcanada.ca/fr/golf-facility/virden-wellview-golf-club-wellview-fr/
,36,"https://www.google.com/maps/place/250 Keatley Road  Ottawa,ON K7S 3G8",,Public,Par 70,,"Ottawa, ON",,(613) 623-3852,,5636,,,,,https://www.golfcanada.ca/golf-facility/madawaska-golf-twisted-pines-en/
,18,"https://www.google.com/maps/place/1229 Grand Lake Road,  Sydney,NS B1M1A2",,Semi-private,Par 72,,"Sydney, NS",,(902) 562-1112,,6604,,,,https://www.lingangolf.com,https://www.golfcanada.ca/golf-facility/lingan-golf-club-en/
,18,"https://www.google.com/maps/place/60 Ava Rd  Brantford,ON N3T 5R7",,Private,Par 72,,"Brantford, ON",,(519) 752-3731,,6602,,,,https://www.brantfordgolf-cc.com,https://www.golfcanada.ca/golf-facility/brantford-golf-country-club-ltd-en/
,18,N3W 1Z6,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/sundrim-golf-course-en/
,18,"https://www.google.com/maps/place/118 Old Bay Road  Oak Bay,NB E3L 3W8",,Semi-private,Par 72,,"Oak Bay, NB",,(506) 466-5336,,6146,,,,,https://www.golfcanada.ca/golf-facility/st-stephen-golf-club-en/
18,,,"https://www.google.com/maps/place/118 Old Bay Road  Oak Bay,NB E3L 3W8",,,"Oak Bay, NB",,Par 72,,,,Semi-privé,(506) 466-5336,6146,,https://www.golfcanada.ca/fr/golf-facility/st-stephen-golf-club-fr/
,18,"https://www.google.com/maps/place/4 Pinnacle Trail  Aurora,ON L4G 3K3",,Semi-private,Par 72,,"Aurora, ON",,(905) 727-7888,,7032,,,,,https://www.golfcanada.ca/golf-facility/st-andrews-valley-golf-club-en/
,18,"https://www.google.com/maps/place/400 North Rankin St, Box 419  Southampton,ON N0H 2L0",,Semi-private,Par 72,,"Southampton, ON",,—,,6134,,,,,https://www.golfcanada.ca/golf-facility/southampton-golf-country-club-en/
,18,"https://www.google.com/maps/place/2008 Airport Road, Box 1100  Creemore,ON L0M 1G0",,Private,Par 71,,"Creemore, ON",,(705) 428-3673,,7000,,,,https://www.madriver.ca,https://www.golfcanada.ca/golf-facility/mad-river-golf-club-en/
,18,"https://www.google.com/maps/place/110 Chemin de l'AlbatroS  Mont-Tremblant,QC J8E 1S1",,Public,Par 71,,"Mont-Tremblant, QC",,8196814653,,7003,,,,https://www.tremblant.ca/golf/diable/index-e.htm,https://www.golfcanada.ca/golf-facility/diable-le-station-mont-tremblant-en/
,9,"https://www.google.com/maps/place/PO BOX 855  Lillooet,BC V0K 1V0",,Public,Par 70,,"Lillooet, BC",,(250) 256-0550,,5444,,,,https://www.lillooetgolf.com,https://www.golfcanada.ca/golf-facility/lillooet-golf-country-club-en/
,18,"https://www.google.com/maps/place/1800 Mallory Road  Creston,BC V0B 1G2",,Semi-private,Par 72,,"Creston, BC",,(250) 428-5515,,6508,,,,https://www.crestongolf.com,https://www.golfcanada.ca/golf-facility/creston-golf-club-en/
,36,"https://www.google.com/maps/place/Box 126  Entwistle,AB T0E 0S0",,Public,Par 72,,"Entwistle, AB",,—,,7267,,,,,https://www.golfcanada.ca/golf-facility/trestle-creek-golf-resort-en/
,18,"https://www.google.com/maps/place/10345 Oxbow Drive, PO Box 296  Komoka,ON N0L 1R0",,Public,Par 72,,"Komoka, ON",,(519) 471-3473,,7183,,,,,https://www.golfcanada.ca/golf-facility/fire-rock-golf-club-en/
,18,"https://www.google.com/maps/place/7700 Kennedy Rd  Brampton,ON L6W 0A1",,Private,Par 71,,"Brampton, ON",,9054575700,,6716,,,,https://www.bramptongolf.com,https://www.golfcanada.ca/golf-facility/brampton-golf-club-ltd-en/
,18,"https://www.google.com/maps/place/8800 Rising View Way  Vernon,BC V1H 1Z9",,Public,Par 72,,"Vernon, BC",,250-545-7425,,6675,,,,https://www.therisegolf.ca,https://www.golfcanada.ca/golf-facility/the-rise-golf-course-en/
,18,"https://www.google.com/maps/place/Box 910  Fort St. James,BC V0J 1P0",,Public,Par 73,,"Fort St. James, BC",,6049968338,,6080,,,,,https://www.golfcanada.ca/golf-facility/stuart-lake-golf-course-en/
,18,S0K 1K0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/shields-golf-course-en/
,9,"https://www.google.com/maps/place/472 Chemin Siscoe  Sullivan,QC J0Y 2N0",,Public,Par 68,,"Sullivan, QC",,(819)824-4631,,5734,,,,,https://www.golfcanada.ca/golf-facility/siscoe-club-de-golf-en/
,18,"https://www.google.com/maps/place/1995, Sir Wilfrid Laurier  Mirabel,QC J7N 3B3",,Semi-private,Par 71,,"Mirabel, QC",,—,,6327,,,,https://www.goflleselect.com,https://www.golfcanada.ca/golf-facility/select-golf-le-en/
,18,"https://www.google.com/maps/place/26029 Meadowview Drive  Sturgeon County,AB T8T 0K8",,Public,Par 72,,"Sturgeon County, AB",,(780) 408-8687,,6665,,,,https://www.countryclubtour.com,https://www.golfcanada.ca/golf-facility/sandpiper-golf-country-club-en/
,9,"https://www.google.com/maps/place/337 Scotch Line Rd  Dunsford,ON K0M 1L0",,Semi-private,Par 72,,"Dunsford, ON",,(705) 793-2308,,6250,,,,,https://www.golfcanada.ca/golf-facility/dunsford-golf-country-club-en/
,18,"https://www.google.com/maps/place/2320 Ashburnham, RR#8  Peterborough,ON K9J 6X9",,Public,Par 60,,"Peterborough, ON",,(705) 741-1300,,3328,,,,https://www.pc.gc.ca,https://www.golfcanada.ca/golf-facility/liftlock-golfland-en/
,18,"https://www.google.com/maps/place/781 Victoria Park Ave  Scarborough,ON M4C 5S8",,Public,Par 54,,"Scarborough, ON",,—,,1917,,,,,https://www.golfcanada.ca/golf-facility/dentonia-park-golf-course-en/
18,,,"https://www.google.com/maps/place/781 Victoria Park Ave  Scarborough,ON M4C 5S8",,,"Scarborough, ON",,Par 54,,,,Public,—,1917,,https://www.golfcanada.ca/fr/golf-facility/dentonia-park-golf-course-fr/
,18,"https://www.google.com/maps/place/PO Box 566  Manitou,MB R0G 1G0",,Public,Par —,,"Manitou, MB",,(204) 242-2287,,—,,,,,https://www.golfcanada.ca/golf-facility/manitou-town-country-golf-club-en/
