# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Total Yards,Type de club,Téléphone,Verges totales,Website,name,url
,18,"https://www.google.com/maps/place/6044 Rideau Valley Dr N  Manotick,ON K4M 1B3",,Private,Par 72,,"Manotick, ON",,—,7042,,,,https://www.rideauview.com,Rideau View Golf Club,https://www.golfcanada.ca/golf-facility/rideau-view-golf-club-en/
,18,"https://www.google.com/maps/place/400 Augier Avenue  Winnipeg,MB R3K 1S4",,Private,Par 72,,"Winnipeg, MB",,2048321306,6730,,,,https://www.glendalegolf.ca,Glendale Golf & Country Club,https://www.golfcanada.ca/golf-facility/glendale-golf-country-club-en/
,—,"https://www.google.com/maps/place/Box 99  Wardsville,ON N0L 2N0",,Public,Par 71,,"Wardsville, ON",,(519) 693-492,5713,,,,,Wardsville Golf Club,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-3/
,18,"https://www.google.com/maps/place/1145 Chemin du Petit-Bernier  Saint-Jean-sur-Richelieu,QC J3B 6Y8",,Public,Par 72,,"Saint-Jean-sur-Richelieu, QC",,(450) 346-6090,6641,,,,https://www.golfvalleedesforts.com,Vallée des Forts (Club de golf),https://www.golfcanada.ca/golf-facility/vallee-des-forts-club-de-golf-en/
,18,"https://www.google.com/maps/place/70 Westchester Avenue 70 Westchester Avenue St. Catharines,ON L2R 3P4",,Private,Par 72,,"St. Catharines, ON",,(905) 682-8206,6766,,,,https://www.stgcc.com,St. Catharines Golf & Country Club,https://www.golfcanada.ca/golf-facility/st-catharines-golf-country-club-en/
,18,"https://www.google.com/maps/place/4612 Blackcomb Way  Whistler,BC V8E 0Z5",,Semi-private,Par 72,,"Whistler, BC",,(604) 938-2092,6635,,,,,Chateau Whistler Golf Club,https://www.golfcanada.ca/golf-facility/chateau-whistler-golf-club-en/
,18,"https://www.google.com/maps/place/4 Avenue SW  Carman,MB R0G 0J0",,Semi-private,Par 71,,"Carman, MB",,2047452366,5969,,,,https://www.carmangolfandcurlingclub.com,Carman Golf & Curling Club,https://www.golfcanada.ca/golf-facility/carman-golf-curling-club-en/
,18,"https://www.google.com/maps/place/P.O. Box 8  Belle River,ON N0R 1A0",,Semi-private,Par 71,,"Belle River, ON",,(519) 728-2361,5819,,,,https://www.rochesterplace.com,Rochester Place Golf Course,https://www.golfcanada.ca/golf-facility/rochester-place-golf-course-en/
,9,"https://www.google.com/maps/place/Box 337  Canwood,SK S0J 0K0",,Public,Par 70,,"Canwood, SK",,(306) 468-2663,5726,,,,,Canwood Pines Golf Club,https://www.golfcanada.ca/golf-facility/canwood-pines-golf-club-en/
,18,"https://www.google.com/maps/place/3290-9Th Street South  St. Catharines,ON L2R 6P7",,Semi-private,Par 72,,"St. Catharines, ON",,(905) 641-4536,6907,,,,,Rockway Vineyards Golf Club,https://www.golfcanada.ca/golf-facility/rockway-vineyards-golf-club-en/
,9,"https://www.google.com/maps/place/PO Box 84  Manning,AB T0H 2M0",,Public,Par 72,,"Manning, AB",,780-836-2176,6376,,,,,Condy Meadows Golf & RV Park,https://www.golfcanada.ca/golf-facility/condy-meadows-golf-rv-park-en/
,18,"https://www.google.com/maps/place/PO Box 1011  Wilkie,SK S0K 4W0",,Public,Par —,,"Wilkie, SK",,(306) 843-2035,—,,,,,Wilkie Golf Club,https://www.golfcanada.ca/golf-facility/wilkie-golf-club-en/
,9,S0A 1B0,,Public,Par 0,,—,,(306) 534-4724,0,,,,,Carlton Trail Reg. Park Golf Club,https://www.golfcanada.ca/golf-facility/carlton-trail-reg-park-golf-club-en/
,18,"https://www.google.com/maps/place/200 Summerhill Row  Fredericton,NB E3G 0C4",,Public,Par 72,,"Fredericton, NB",,—,6765,,,,,West Hills Golf Course,https://www.golfcanada.ca/golf-facility/west-hills-golf-course-en/
,27,"https://www.google.com/maps/place/3700 Beaverdale Rd  Cambridge,ON N3H 4R7",,Semi-private,,,"Cambridge, ON",,1-888-833-8787,,,,,https://www.golfbrookfield.ca,Brookfield Golf Club,https://www.golfcanada.ca/golf-facility/brookfield-golf-club-en/
,18,"https://www.google.com/maps/place/2135 County Road 12 2135 County Road 12 Essex,ON N8M 2X6",,Public,Par 72,,"Essex, ON",,(519) 726-6179,6901,,,,https://www.suttoncreekgolf.com,Sutton Creek Golf Club,https://www.golfcanada.ca/golf-facility/sutton-creek-golf-club-en/
,18,"https://www.google.com/maps/place/2680 Boulevard du Saguenay  Jonquière,QC G7S 4L1",,Semi-private,Par 70,,"Jonquière, QC",,(418) 548-9353,6243,,,,https://www.golfsaguenayarvida.com,Saguenay Arvida (Club de golf),https://www.golfcanada.ca/golf-facility/saguenay-arvida-club-de-golf-en/
,18,"https://www.google.com/maps/place/6177 Ripple Way  Sechelt,BC V7Z 0R2",,Public,Par 72,,"Sechelt, BC",,(604) 885-2700,6553,,,,,Blue Ocean Golf Club,https://www.golfcanada.ca/golf-facility/blue-ocean-golf-club-en/
,36,"https://www.google.com/maps/place/625 Rockway Drive  Kitchener,ON N2G 3B5",,Public,Par 70,,"Kitchener, ON",,(519) 741-2583,5512,,,,,Rockway Golf Course,https://www.golfcanada.ca/golf-facility/rockway-golf-course-en/
,18,"https://www.google.com/maps/place/1217 North Muldrew Lake Road 1217 North Muldrew Lake Road Gravenhurst,ON P1P 1T9",,Semi-private,Par 72,,"Gravenhurst, ON",,(866) 361-7529,7367,,,,,Muskoka Bay Resort,https://www.golfcanada.ca/golf-facility/muskoka-bay-resort-en/
