# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,url
18,"https://www.google.com/maps/place/11550 Ladner Trunk Rd Delta,BC V4K 3N3",Public,Par 68,"Delta, BC",(604) 594-1414,4954,https://www.deltagolfcourse.com,https://www.golfcanada.ca/golf-facility/delta-golf-club-en/
18,"https://www.google.com/maps/place/1170, Chemin Aylmer Gatineau,QC J9H 7L3",Public,Par 70,"Gatineau, QC",(819) 777-8870,5679,,https://www.golfcanada.ca/golf-facility/chateau-cartier-en/
—,"https://www.google.com/maps/place/19131 Main Street 19131 Main Street Caledon,ON L7K 1R1",Public,Par 70,"Caledon, ON",(519) 927-903,6790,,https://www.golfcanada.ca/golf-facility/tpc-toronto-at-osprey-valley-en-2/
—,"https://www.google.com/maps/place/BOX 33 Frontier,SK S0N 0W0",Public,Par 70,"Frontier, SK",—,5632,,https://www.golfcanada.ca/golf-facility/frontier-golf-club-en/
18,—,Public,Par 70,", SK",—,6116,,https://www.golfcanada.ca/golf-facility/lac-pelletier-golf-course-en/
9,"https://www.google.com/maps/place/3028 Red Bluff Road Quesnel,BC V2J 6C6",Public,Par 64,"Quesnel, BC",(250) 747-2915,4602,,https://www.golfcanada.ca/golf-facility/richbar-nursery-golf-gardens-en/
9,X0E 0P0,Public,Par 72,"Fort Smith, AB",—,5707,,https://www.golfcanada.ca/golf-facility/pelican-rapids-golf-country-club-en/
18,"https://www.google.com/maps/place/1000 Montée Ste-Marthe Trois-Rivières,QC G8V 2P7",Semi-private,Par 72,"Trois-Rivières, QC",(819) 697-1214,6756,https://www.chronogolf.fr,https://www.golfcanada.ca/golf-facility/marthelinois-club-de-golf-le-en/
—,"https://www.google.com/maps/place/6937 Highway Six Winlaw,BC V0G 2J0",Public,Par 70,"Winlaw, BC",250 226-7241,5450,https://www.golfvalleyview.ca,https://www.golfcanada.ca/golf-facility/valley-view-golf-club-en/
—,P0B 1J0,—,,"Port Carling, ON",—,,,https://www.golfcanada.ca/golf-facility/lake-joseph-golf-club-academy-9-en/
—,—,—,,—,—,,,https://www.golfcanada.ca/golf-facility/gameti-golf-course-en/
18,—,—,,", ON",—,,,https://www.golfcanada.ca/golf-facility/st-andrews-east-en/
—,—,Public,Par 54,"Sooke, BC",—,2184,,https://www.golfcanada.ca/golf-facility/demamiel-creek-golf-course-en/
9,"https://www.google.com/maps/place/8 Deer Ridge Road Brandon,MB R7C 0B9",Public,Par 70,"Brandon, MB",204-726-1545,5532,,https://www.golfcanada.ca/golf-facility/deer-ridge-golf-course-en/
—,—,Public,Par 54,"Prince George, BC",—,2408,,https://www.golfcanada.ca/golf-facility/alder-hills-golf-course-en/
