addr:housenumber,addr:postcode,addr:street,name,building,addr:city,opening_hours,phone,website,addr:province,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,sport,indoor,source,operator,note,fax,landuse,addr:full,golf,golf:course,golf:par,surface,layer,start_date,description,old_name,email,mapillary,wheelchair,winter_service,operator:type,operator:wikidata,addr:hamlet,tourism,facebook,image,barrier,addr:country,designation,demolished,source:name,type,contact:city,contact:housenumber,contact:street,fixme,area,area_m2,lat,lon,province,gcid
,,,Trestle Creek Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337457.0623409944,53.56284004790244,-114.89760787037186,Alberta,AA00216
,,,The Glencoe Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990205.1969662525,51.026613937131174,-114.30118706367696,Alberta,AA00178
,,,Cold Lake Golf and Winter Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865404.9120145477,54.42060895346585,-110.2429059024689,Alberta,AA00183
,,,Kananaskis Country Golf Course,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1835840.4827309928,50.902951265525594,-115.14601496740762,Alberta,AA00026
,,,Eagle Point Golf Course,,,Tu-Fr 14:00-22:00; Sa-Su 12:00-20:00,+1-780-891-3475,https://golfwabasca.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719729.1811276195,56.02321672136466,-113.89763953838948,Alberta,AA00261
,,,Hinton Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271457.0394154692,53.381028393191826,-117.61196845275998,Alberta,AA00231
,,,Coyotte Creek Golf & RV Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258581.5138444533,51.76230594447027,-114.67487830956408,Alberta,AA00280
,,,Unknown Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226679.658109697,52.95249464320844,-114.03239325024946,Alberta,AA00099
,,,Coal Creek Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215366.7479415815,53.22511900206377,-112.52560443967184,Alberta,AA00154
,,,Silverwing Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191919.5704958648,51.10236860124749,-113.99092518354178,Alberta,AA00085
,,,Jasper Park Lodge Golf Club,,,,,,,,,,,golf,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.fairmont.com/jasper/golf/,,,,,,,1174354.3581406819,52.88277177081424,-118.04613188355235,Alberta,AA00115
945,T5Y 6L2,167 Avenue NE,The Quarry,,Edmonton,,+1-780-477-8437,https://thequarryedmonton.com/,AB,,,,,,,Bing,The Quarry Edmonton,,+1-780-669-7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170206.2531055082,53.620354730985035,-113.3271551137274,Alberta,AA00227
,,,Links of GlenEagles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1166902.5608112111,51.186545354429285,-114.43395326969832,Alberta,AA00028
53541,T8A 4V2,Range Rd 232,The Legends Golf and Country Club,,Sherwood Park,Mo-Su 06:00-21:30,+1-780-449-4911,https://www.legendsgolf.ca/,AB,,,,,,,,,,,,,,,,,,,27 Holes,,,,,,,,,,,,,,,,,multipolygon,,,,,,1161748.1073373498,53.62508394666368,-113.29458880914565,Alberta,AA00045
34122,T3Z 0G8,East Harmony Trail,Mickelson National Golf Club,,Rocky View County,,,https://www.mickelsonnational.com/,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158156.948039509,51.121635377273094,-114.37254953064217,Alberta,AA00274
61,T3R 1A2,Hamilton Drive,Bearspaw Country Club,,Calgary,,,,,,,,,,,,,,,,,,,,,,,18-Hole Private Golf Course & Country Club,,,,,,,,,,,,,,,,,,,,,,,1098988.1234224548,51.15807158241447,-114.26783373073174,Alberta,AA00240
,,,Speargrass Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092737.1251356737,50.838652154804315,-113.42988188972761,Alberta,AA00267
,,,Northern Bear Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080476.2663416832,53.374206872900196,-113.14175107287817,Alberta,AA00238
,,,Country Hills Golf Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047010.2560651737,51.14511833501145,-114.08566056030845,Alberta,AA00059
,,,Miquelon Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033343.7401373058,53.26084043865804,-112.86332600164627,Alberta,AA00167
,,,Three Sisters Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,1030471.1898801624,51.05856255236032,-115.33957157850774,Alberta,AA00297
,,,Jagare Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,Edmonton,14931,9th Avenue SW,,,1024337.3662661258,53.42035211127947,-113.57794722592595,Alberta,AA00036
,,,Jagare Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,Edmonton,14931,9th Avenue SW,,,1024337.3662661258,53.42035211127947,-113.57794722592595,Alberta,AA00035
,,,Wolf Creek Golf Resort,,,,,https://www.wolfcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016832.3210835824,52.58294734594968,-113.65068110895255,Alberta,AA00270
,,,Wolf Creek Golf Resort,,,,,https://www.wolfcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016832.3210835824,52.58294734594968,-113.65068110895255,Alberta,AA00271
6080,T4G 1S7,Lakewood Drive,Innisfail Golf Club,,Innisfail,,,,,,,,,golf,,,Semi Private,,,,,,27_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005449.343800558,52.039734586913674,-113.97199151391946,Alberta,AA00111
241155,T3Z 2W4,Range Road 34,River Spirit Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988413.7215032924,51.03669363599157,-114.38053273101899,Alberta,AA00251
,,,Strathmore Golf Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986520.3631367197,51.05527573646985,-113.40574367584736,Alberta,AA00147
22336,,Township Road 540,Fox Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979822.6684862267,53.63553532360895,-113.17989268950616,Alberta,AA00237
,,,Priddis Greens Golf & Country Club - Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,976972.9904761873,50.89706214628485,-114.39461409216516,Alberta,AA00039
