name,lat,lon,area_m2
Silverwing Golf Course,51.10236860124749,-113.99092518354178,1191919.5704958648
Country Hills Golf Club,51.14511833501145,-114.08566056030845,1047010.2560651737
Elbow Springs Golf Club,51.012470346343626,-114.248015795166,924786.5764849439
McCall Lake Golf Club,51.086392720292736,-114.02203775351806,882288.7277450647
Sirocco Golf Club,50.8483471312125,-114.08389547902453,863879.0896366918
Blue Devil Golf Club,50.884004447284255,-114.00716585253295,796087.2238747602
Canyon Meadows Golf Course,50.944787952209495,-114.0997845692381,795571.0878415406
McKenzie Meadows Golf Course,50.90296046626215,-114.00311284316915,794659.1680001358
Maple Ridge Golf Course,50.95676034102488,-114.03368997097895,736154.3957436106
Winston (Calgary Elks) Golf Club,51.07472768236034,-114.04130136499597,733769.9204594818
Valley Ridge Golf Club,51.09789185473879,-114.25427477494809,638360.014602755
Inglewood Golf & Curling Club,51.02804536374401,-114.0052067371328,598891.27853266
Lynx Ridge Golf Course,51.116489535780794,-114.26303426097112,591414.9885056549
Earl Grey Golf Club,50.992903332382305,-114.1110841615366,552902.4997202508
Willow Park Golf Course,50.95564536109295,-114.05221971907802,542627.8977532538
Calgary Golf & Country Club,51.00425694229925,-114.08854790900045,488949.9061503197
Shaganappi Point Golf Course - 18 Holes,51.045089350936976,-114.12649445781,463989.86461059493
Fox Hollow Golf Club,51.07465644168433,-114.03181806937108,443786.7120056896
Silver Springs Golf & Country Club,51.09645682774124,-114.17378049478144,394749.66064634756
Confederation Park Golf Course,51.078485953111326,-114.09981167100416,359738.62186139764
Silver Springs Golf & Country Club,51.10195570000226,-114.17288553941096,330743.2813215727
,50.846726267670554,-113.98370392373498,192161.04041320042
Highland Golf & Country Club (Closed),51.09293474240235,-114.06798166333705,182928.7661536866
Golfuture YYC,50.99230855697049,-114.02637252587475,165479.76158950082
Shaganappi Point Golf Course - Valley 9,51.04427037807621,-114.12753912462563,131981.74655482726
Lakeview Golf Course,51.00047307093338,-114.10669464130936,112254.87279871665
,50.94621763150435,-114.00286538983985,99722.15122336234
,50.944363107459075,-113.9959952727251,93464.31400397421
Country Hills Golf Club,51.15158193815578,-114.08008372969051,79165.4272112452
,50.84705951758471,-113.99978169542018,70590.44779093275
Baker Park Disc Golf Course,51.10077037512085,-114.22343379439825,68947.78443960845
Country Hills Golf Club,51.15132016812442,-114.07377960631132,64261.26848578548
Silver Springs Golf & Country Club,51.10532418120858,-114.17992558767534,61862.27867389042
,50.94259355210312,-113.98654885760901,56560.53847479694
,50.93771201596786,-113.98802985563768,52747.44781678411
Thorncliffe Disc Golf Course,51.09801388324272,-114.05964772278524,45138.31126777691
,50.940218385905176,-113.99559996307019,45112.95066089763
Beddington Golf Park,51.13547481493758,-114.0661303603809,35834.081057874115
Harvest Hills Driving Range and Mini Golf,51.15252231061091,-114.03852108683493,34807.68400961736
Confederation Park Driving Range,51.08090613385061,-114.10284626117524,33880.96318688084
eaglequest Driving Range,50.94859327567346,-114.01645144526849,33335.193644641855
