name,addr:city,addr:housenumber,addr:street,club,sport,source,addr:postcode,addr:province,website,phone,golf:course,operator,opening_hours,url,contact:facebook,contact:instagram,contact:phone,contact:website,wikidata,email,type,wikipedia:en,area_m2,lat,lon,province,gcid
Quarry Oaks Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,1898477.8910018916,49.55269322840209,-96.60328833556748,Manitoba,MA00110
Unknown Golf Course,,,,,golf,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,1379781.0299556726,49.802139423350376,-99.61413300202427,Manitoba,MA00052
Unknown Golf Course,,,,,golf,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,1301208.7359197934,49.67044581571804,-96.51978345979757,Manitoba,MA00066
Hecla Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,1001262.1185014332,51.181649386532136,-96.62487309066105,Manitoba,MA00096
Bridges Golf Course,,,,,,,,,,,,,,,,,,,,,,,984717.6467292784,49.76486544864964,-97.58114225454446,Manitoba,MA00117
St Charles Country Club,,100,Country Club Boulevard,,,,R3K 1Z3,,,,,,,,,,,,Q7587514,,,,982337.4893377977,49.86719000334117,-97.28370264866496,Manitoba,MA00100
Lake of the Sandhills,,,,,golf,,,,,,,,,,,,,,,,,,973959.9305448007,49.007851895490916,-95.24060545447259,Manitoba,MA00098
Southwood Golf & Country Club,,,,,,MLI_Imagery;Bing,,,,,,,,,,,,,,,,,970609.9725520888,49.75323231739134,-97.15888260912222,Manitoba,MA00069
Grand Pines,Traverse Bay,,Provincial Trunk Highway 59,,,,R0E 2A0,MB,https://www.grandpines.ca,,,,,,,,,,,,,,959949.4903995595,50.64995598818662,-96.5229892196079,Manitoba,MA00123
Mars Sandhills Golf Course,,,,,golf,NRCan-CanVec-10.0,,,https://golfmars.ca/,,18_hole,,,,,,,,,,,,956701.3198846428,50.252052278686826,-96.57913459648158,Manitoba,MA00092
Thompson,,,,,golf,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,948964.0165860462,55.7766578614179,-97.82773674569262,Manitoba,MA00070
Falcon Lake Golf Course,,,,,golf,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,891899.8063030392,49.68367212375976,-95.34030506283125,Manitoba,MA00058
Granite Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,873945.7182980239,50.37771446079599,-95.85244405818479,Manitoba,MA00116
John Blumberg Golf Course,,4540,Portage Avenue,,,,R4H 1C8,,http://www.johnblumberggolfcourse.com/,,,,,,,,,,,,,,787010.0826356938,49.87162953412076,-97.36750439557649,Manitoba,MA00056
The Meadows at East St. Paul Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,784451.6145447926,49.95079583962247,-97.0130320261072,Manitoba,MA00078
Unknown Golf Course,,,,,golf,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,781985.3234151853,50.678641805427375,-99.91273361467285,Manitoba,MA00026
Lundar,,,,,golf,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,768083.9009437263,50.70714863360629,-98.04605546052161,Manitoba,MA00028
Poplar Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,715575.9884134943,50.629085724260655,-99.98122132991753,Manitoba,MA00113
Dauphin Lake Golf Club,,258,la,,golf,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,711478.6658760506,51.145033544457505,-99.84791710187743,Manitoba,MA00030
