addr:street,name,phone,addr:city,addr:housenumber,addr:postcode,website,sport,source,email,mobile,wikidata,addr:province,golf:course,operator,name:en,opening_hours,name:fr,type,area_m2,lat,lon,province,gcid
,Aroostook Valley Country Club,,,,,,golf,NRCan-CanVec-8.0,,,Q4795577,,,,,,,,1240040.4353927786,46.8034208625205,-67.7831230716647,New Brunswick,NK00036
,Kingswood,,,,,,,,,,,,,,,,,multipolygon,1133941.0275792922,45.927019141392186,-66.70702736747612,New Brunswick,NK00005
,Pine Needles Golf & Country Club,,,,,,,NRCan-CanVec-8.0,,,,,,,,,,multipolygon,929189.970188335,46.18774865282165,-64.41196891726585,New Brunswick,NK00008
,Algonquin Golf Course,,,,,,,,,,,,,,,,,,900923.2795134264,45.08149702539646,-67.07349474506888,New Brunswick,NK00047
Summerhill Row,West Hills Golf,,Fredericton,200,E3G,,,,,,,,,,,,,,827131.087887565,45.99993542094515,-66.63659122673816,New Brunswick,NK00048
,Covered Bridge Golf & Country Club,+1-506-375-1112,Hartland,,E7P 3K4,,,,,,,New Brunswick,,,,,,,812878.0620939354,46.30242316618988,-67.54908524585144,New Brunswick,NK00046
,Hillsborough Golf Course,,,,,,,,,,,,,,,,,,811899.3312608628,45.90237711602991,-64.66256882522684,New Brunswick,NK00042
,River Bend Golf Course,,,,,,golf,,,,,,,,,,,,810653.8987234322,46.100963136426195,-66.60684969127023,New Brunswick,NK00023
,Unknown Golf Course,,,,,,golf,,,,,,,,,,,,805445.8698917833,47.65751270167427,-64.98856970400509,New Brunswick,NK00043
,Sussex Golf and Curling Club,,,,,,golf,NRCan-CanVec-8.0,,,,,,,,,,,764208.0957412259,45.711133916175925,-65.4404041487774,New Brunswick,NK00033
,Magnetic Hill Golf Club,,,,,,golf,,,,,,,,,,,,762287.2930680373,46.1356616456823,-64.87382387532705,New Brunswick,NK00022
,Royal Oaks Golf Club,,,,,,,,,,Q7374632,,,,,,,multipolygon,747617.8965581974,46.154290065733065,-64.79200531669919,New Brunswick,NK00002
Rue Victoria,Club de Golf Fraser Edmundston,+1-506-735-7266,,570,,https://www.golfedmundston.com/,,NRCan-CanVec-8.0,,,,,,,Fraser Edmundston Golf Club,,Club de Golf Fraser Edmundston,,744538.7222131197,47.379503288651996,-68.34040598111773,New Brunswick,NK00032
