addr:city,addr:housenumber,addr:postcode,addr:province,addr:street,amenity,email,name,phone,website,opening_hours,source,sport,description,addr:housename,golf:course,operator,addr:district,designation,building,golf,fax,disused,type,addr:suburb,operational_status,landuse,fence_type,area_m2,lat,lon,province,gcid
,,,,,,,Highland Links Golf Course,,,,NRCan-CanVec-7.0,golf,,,,,,,,,,,,,,,,1665635.7636835868,46.65664604973959,-60.40477880760242,Nova Scotia,NA00036
Timberlea,120,B3T0G9,,Brunello Boulevard,,,The Links at Brunello,+1 902-422-3500,https://www.thelinksatbrunello.com/,,,,,,,,,,,,,,multipolygon,,,,,1272276.3253439046,44.64308623403818,-63.72190987424873,Nova Scotia,NA00009
,,,,,,,Le Portage Golf Club,,,,NRCan-CanVec-7.0,golf,,,,,,,,,,,,,,,,1085844.277459581,46.64049228786807,-60.990006565446315,Nova Scotia,NA00037
,,,,,,,Cabot Cliffs,,,,,,,,,,,,,,,,,,,,,1066655.1674514888,46.251322464371555,-61.28555277966184,Nova Scotia,NA00079
,,,,,,,Bell Bay Golf Club,,,,,,,,,,,,,,,,,,,,,1004210.2032922413,46.11184923893907,-60.73749170065135,Nova Scotia,NA00058
,,,,,,,Northumberland Links,,,,NRCan-CanVec-10.0,golf,,,,,,,,,,,,,,,,962904.8003238542,45.87026801954291,-63.57785809899175,Nova Scotia,NA00055
Eastern Passage,2400,B3G 1H6,Nova Scotia,Shore Road,,,Hartlen Point Forces Golf Club,,,,NRCan-CanVec-8.0,golf,,,,,,,,,,,multipolygon,,,,,922618.8949809384,44.59929734474486,-63.449621699175104,Nova Scotia,NA00018
Pubnico,,,,Greenwood Road,,,West Pubnico Golf & Country Club,+1 902-762-2007,,closed,NRCan-CanVec-7.0,golf,,,,,,,,,,,,,,,,873037.5458372823,43.72262316185839,-65.7837312208279,Nova Scotia,NA00028
,500,B0J 1J0,,Sherwood Road,,,Sherwood Golf and Country Club,+1 902-275-4956,http://www.golfnovascotia.com/golf-courses/south-shore/sherwood-golf-country-club/,,,,,,,,,,,,,,,,,,,843248.7045146713,44.72464628619795,-64.30848167597875,Nova Scotia,NA00064
,,B4V7Y8,,Harold Whynot Road,,gmospreyridge@gmail.com,Osprey Ridge Golf Course,,https://www.ospreyridge.ca/,,,golf,,492,18_hole,,,,,,,,,,,,,828871.907631319,44.40493394736763,-64.50147782639694,Nova Scotia,NA00067
Fall River,60,B2T 1Z2,Nova Scotia,Golf Club Road,,,Ashburn Golf Club - New Course,,,,,golf,,,,Ashburn Golf Club,,,,,,,,,,,,787136.3677542843,44.81519848393347,-63.6542392352171,Nova Scotia,NA00040
Oakfield,6055,B2T 1E3,Nova Scotia,Highway 2,,,Oakfield,,,,NRCan-CanVec-7.0,golf,,,,,,,,,,,,,,,,773602.94873752,44.91229089446312,-63.574310386775785,Nova Scotia,NA00035
,,,,,,proshop@claregolf.ca,Clare Golf and Country Club,902-769-2124,https://claregolf.ca/,,,golf,,,,,,,,,,,,,,,,753868.5084867704,44.28345655009587,-66.11031587876097,Nova Scotia,NA00088
Bayside,4441,B3Z 1L6,Nova Scotia,Prospect Road,,,Granite Springs Golf Club,,,,CanVec 6.0 - NRCan,golf,,,,,,,,,,,,,,,,736232.5154351173,44.54119618861178,-63.80588461271731,Nova Scotia,NA00023
,3060,,,Highway 221,,,Berwick Heights Golf Course,,,,,golf,,,,,,,,,,,,,,,,725272.1310742985,45.06386645803334,-64.80730067618573,Nova Scotia,NA00069
,,,,,,,The Lakes Golf Club at Ben Eoin,,,,,,,,,,,,,,,,multipolygon,,,,,714317.5455607215,45.9734746766916,-60.43510982996953,Nova Scotia,NA00014
Hammonds Plains,40,B4B 1T4,Nova Scotia,Club House Lane,,golfshop@glenarbour.com,Glen Arbour,+1 902-835-4653,https://www.glenarbour.com/,,,,,,,,,,,,,,,,,,,708911.2862252346,44.75377791574684,-63.7726662749005,Nova Scotia,NA00063
Hubbards,376,B0J 1T0,Nova Scotia,Parkwood Drive,,,Aspotogan Ridge,+1 902-857-1333,https://aspotoganridge.com/,,,,,,,,13,,,,,,,,,,,694622.4758502321,44.59195366019235,-64.08380885422818,Nova Scotia,NA00062
Stewiacke,802,B0N 2J0,,Highway 2,,,Fox Hollow Golf Club,+1 902-639-2535,,,,golf,,,,,,,,,,,,,,,,692643.033648543,45.11828557450115,-63.36597964376196,Nova Scotia,NA00070
,,,,,,,Grandview Golf and Country Club,,,,NRCan-CanVec-8.0,golf,,,,,,,,,,,,,,,,665532.4665293787,44.71469391077597,-63.451472868616236,Nova Scotia,NA00043
Digby,111,B0V 1A0,,Culloden Road,,proshop@digbypines.ca,Digby Pines Golf Course,+1 902-245-7709,https://www.digbypines.ca/golf-at-digby-pines-golf-resort-and-spa,,NRCan-CanVec-10.0,golf,,,,,,,,,,,,,,,,653466.5397770756,44.62733132546778,-65.77956794424495,Nova Scotia,NA00057
,,,,,,,Cabot Links Golf Resort,,,,,,,,,,,,,,,,,,,,,632117.9743527079,46.2348872335474,-61.30800590699782,Nova Scotia,NA00080
,,,,,,info@dundeeresort.com,Dundee Resort & Golf Club,+1 902 3452649; +1 844 6386333,https://www.dundeeresort.com,,NRCan-CanVec-10.0,golf,,,,,,,,,,,,,,,,628874.871065732,45.6954701629018,-61.0793675674724,Nova Scotia,NA00049
,,,,,,info@dundeeresort.com,Dundee Resort & Golf Club,+1 902 3452649; +1 844 6386333,https://www.dundeeresort.com,,NRCan-CanVec-10.0,golf,,,,,,,,,,,,,,,,628874.871065732,45.6954701629018,-61.0793675674724,Nova Scotia,NA00048
Frasers Mountain,151,,,Frasers Mountain Branch Road,,,Glen Lovat Golf Club,,https://glenlovat.com/,,,,,,,,,,,,,,multipolygon,,,,,628691.9327298512,45.60643011007479,-62.57125612643473,Nova Scotia,NA00020
Shubenacadie,14049,B0N 2H0,,Highway 215,,golf@linksatpennhills.com,The Links At Penn Hills,+1 902-758-1406,http://linksatpennhills.com/,,,golf,,,,,,,,,,,,,,,,622328.6840159778,45.11940220271816,-63.404249878044645,Nova Scotia,NA00071
,,,,,,,Paragon Golf and Country Club,,,,,,,,,,,,,,,,,,,,,618425.2948642744,44.97990067561978,-64.95665793819086,Nova Scotia,NA00031
,,,,,,,Abercrombie Country Club Golf Course,+1 902 7526249,https://abercrombiegolf.com,,NRCan-CanVec-10.0,,,,18_hole,,,,,,+1 902 7523114,,,,,,,618018.8774438017,45.61013724494218,-62.66967499575989,Nova Scotia,NA00051
,,,,,,,Unknown Golf Course,,,,NRCan-CanVec-8.0,golf,,,,,,,,,,,,,,,,610828.7124759428,45.8447180104957,-64.17035042396434,Nova Scotia,NA00042
Chester,53,B0J 1J0,,Quaker Drive,,,Mill Ridge Golf Course,+1 902-275-4748,,,,golf,,,,,,,,,,,multipolygon,,,,,607565.2452455718,44.592602002259866,-64.25849585366234,Nova Scotia,NA00007
,,,,,,,East Mountain,,,,NRCan-CanVec-7.0,golf,,,,,,,,,,,,,,,,586256.5836268297,45.41601369959873,-63.18719280621236,Nova Scotia,NA00041
,,,,,,,Clare Golf and Country Club,,,,NRCan-CanVec-10.0,golf,,,,,,,,,,,,,,,,580564.891513213,44.28832740552211,-66.1144163235222,Nova Scotia,NA00050
,,,,,,,Linacy Greens,,,,,,,,,,,,,,,yes,,,,,,565372.9262902784,45.59044003575149,-62.566207233529866,Nova Scotia,NA00089
