addr:city,addr:housenumber,addr:postcode,addr:street,name,phone,website,opening_hours,source,sport,wikidata,wikipedia:en,operator,type,email,area_m2,lat,lon,province,gcid
,,,,Brudenell River Golf Course,,,,NRCan-CanVec-10.0,golf,Q28233164,Brudenell River Golf Course,,,,1114200.5029416978,46.206793434088446,-62.59340370848026,Prince Edward Island,PD00013
,,,,Green Gables Golf Club,+1 888 8705454,https://greengablesgolf.com,,,golf,,,,multipolygon,greengablesgolfclub@gmail.com,1109780.846408361,46.4852622189943,-63.380951626188576,Prince Edward Island,PD00003
,,,,The Links at Crowbush Cove,,,,,,,,,,,990663.330766499,46.430421785117545,-62.795060048460535,Prince Edward Island,PD00012
,,,,Unknown Golf Course,,,,,,,,,,,962028.2993794926,46.41806845218005,-63.355169040286555,Prince Edward Island,PD00018
,,,,Mill River Golf Course,,,,NRCan-CanVec-10.0,golf,,,Mill River Resort,,,921388.6744298884,46.742382885119,-64.1578869328477,Prince Edward Island,PD00010
,,,,Eagles Glenn of Cavendish,,,,,,,,,,,762751.287648195,46.47356841691658,-63.40190021984091,Prince Edward Island,PD00019
,,,,Belvedere Golf & Country Club,,http://www.belvederegolf.com,,,,,,,,,751729.9739912235,46.257988354063905,-63.10676172999312,Prince Edward Island,PD00006
Stratford,167,C1B 1J7,Kinlock Road,Fox Meadow Golf & Country Club,,,sunrise-sunset,,,,,,,,741131.1473726461,46.21154195623487,-63.094967066272766,Prince Edward Island,PD00005
,,,,Stanhope Golf & Country Club,,,,NRCan-CanVec-10.0,golf,,,,multipolygon,,709242.9006538065,46.40818294541459,-63.11493586481984,Prince Edward Island,PD00004
,,,,Avondale Golf Course,,,,,,,,,,,707346.0602801485,46.22738886376288,-62.8306056606105,Prince Edward Island,PD00020
,,,,Unknown Golf Course,,,,,,,,,,,600234.5555964521,46.44853667605414,-63.44361376449591,Prince Edward Island,PD00014
,,,,Rustico Resort Golf & Tennis Club,,,,NRCan-CanVec-10.0,golf,,,,,,543009.0153773605,46.41654576620578,-63.250804412111286,Prince Edward Island,PD00009
,,,,PEI Ocean View Resort and Golf Course,,,,,,,,,,,503080.1700076222,46.402022911833775,-63.825636814002145,Prince Edward Island,PD00017
,,,,Belfast Highland Greens,,,,,,,,,,,387680.9547046797,46.098481301828,-62.90834693185352,Prince Edward Island,PD00015
,,,,Countryview Golf Club,,,,,,,,,,,305335.4523952886,46.188251879030176,-63.17906441008819,Prince Edward Island,PD00021
,,,,Unknown Golf Course,,,,NRCan-CanVec-10.0,golf,,,,,,298588.33364226663,46.15761072765709,-63.20693779789545,Prince Edward Island,PD00011
,,,,Unknown Golf Course,,,,NRCan-CanVec-10.0,golf,,,,,,243805.563229922,46.47293711725062,-63.387286780434145,Prince Edward Island,PD00008
,,,,Countryview Golf Club,,,,,,,,,,,237286.8404246758,46.181210630821234,-63.17578746600416,Prince Edward Island,PD00022
,,,,Peakes Tee,,,,,,,,,,,98085.21793978104,46.29449127739338,-62.76212447025174,Prince Edward Island,PD00016
,,,,Unknown Golf Course,,,,NRCan-CanVec-10.0,golf,,,,,,50938.77602090044,46.493485150413626,-63.48160511623931,Prince Edward Island,PD00007
