name,created_by,sport,addr:unit,opening_hours,phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:province,operator,source,layer,name:en,golf,surface,contact:website,addr:borough,alt_name,email,contact:city,contact:housenumber,contact:postcode,contact:province,contact:street,golf:course,name:fr,wikidata,access,contact:phone,attribution,building,canvec:CODE,canvec:UUID,abandoned,addr:suburb,internet_access,phone:mnemonic,wikipedia,landuse,note,opening_hours:signed,type,wheelchair,addr:source,disused,contact:facebook,addr:country,area_m2,lat,lon,province,gcid
Club de Golf Le Blainvillier,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,2287823.2611896107,45.7148911418952,-73.87010596816091,Quebec,QC00029
Club de Golf Royal Montreal,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,Q1420672,,,,,,,,,,,fr:Club de golf Royal Montréal,,,,,,,,,,1825250.9982174526,45.49517385532006,-73.90464781244073,Quebec,QC00153
Golf Continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608944.3348387324,45.982364110919306,-73.12689276045872,Quebec,QC00350
Club de golf La Tempête,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608034.3711959247,46.66906841154616,-71.21156646483529,Quebec,QC00310
Parcours Du Cerf,,,,,,http://www.parcoursducerf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1603140.194804531,45.55691669632282,-73.45047143361788,Quebec,QC00018
Le Club de Golf Summerlea,,golf,,,,,Route de Lotbinière,Vaudreuil-Dorion,1000,,QC,,,,Summerlea Golf & Country Club,,,,,,,,,,,,,Le Club de Golf Summerlea,,,,,,,,,,,,,,,,multipolygon,,,,,,1602124.5300232396,45.33584171858965,-73.98570933075362,Quebec,QC00055
Club de golf Le Versant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587213.469947215,45.69932462425028,-73.7083083644576,Quebec,QC00407
Golf Lachute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556620.8851574573,45.64780648183636,-74.31942513885883,Quebec,QC00408
Unknown Golf Course,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543635.846509595,46.90273389946545,-71.15040923002299,Quebec,QC00309
Club de Golf Hillsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490656.5113956225,45.64866709206259,-73.90195922082593,Quebec,QC00270
Elm Ridge Country Club,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480380.0426363933,45.4828790606395,-73.91577860291794,Quebec,QC00154
Club de golf le Mirage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430671.678317296,45.74364812126061,-73.72220068948627,Quebec,QC00110
