name,addr:city,addr:housenumber,addr:postcode,addr:street,gnis:feature_id,phone,website,addr:state,operator,contact:website,holes,wikidata,opening_hours,start_date,description,alt_name,old_name,sport,golf,lit,email,check_date,contact:facebook,golf:course,short_name,wikipedia,area,building,dog,fee,source,type,contact:instagram,contact:twitter,fax,ele,name:etymology:wikidata,official_name,par,wheelchair,landuse,area_m2,lat,lon,province,gcid
RTJ Oxmoor Valley Golf,Birmingham,100,35211,SunBelt Parkway,,,,AL,,,,,,,,Robert Trent Jones Golf Trail Oxmoor Valley,,,,,,,,,Oxmoor Valley Golf,,,,,,,,,,,,,,,,,4219836.484380011,33.41763999641594,-86.87782719985013,Alabama,AL00142
RTJ Grand National Golf,Opelika,3000,36801,Robert Trent Jones Trail,,,,AL,,,,,,,,Robert Trent Jones Golf Trail Grand National,,,,,,,,,Grand National Golf,,,,,,,,,,,,,,,,,4111475.585826213,32.67859788054287,-85.4222131458157,Alabama,AL00125
Robert Trent Jones Golf Trail at the Shoals,,,,,,,https://www.rtjgolf.com/theshoals/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4094013.2851350876,34.80958491690184,-87.5391635950156,Alabama,AL00181
Robert Trent Jones - Hampton Cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,Q1771239,,,,,3722689.305730796,34.65521914469006,-86.46258677550026,Alabama,AL00029
Magnolia Grove Golf Course,Mobile,7001,36618,Magnolia Grove Parkway,2579933,+1 251-645-0075,https://www.rtjgolf.com/magnoliagrove/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,2808374.3163407426,30.73811791005283,-88.20201891996876,Alabama,AL00026
FarmLinks Golf Course at Pursell Farms,Sylacauga,386,35151,Talladega Springs Road,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426675.437206759,33.123048642168676,-86.4198368095714,Alabama,AL00198
FarmLinks Golf Course at Pursell Farms,Sylacauga,386,35151,Talladega Springs Road,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426675.437206759,33.123048642168676,-86.4198368095714,Alabama,AL00197
The Links at Redstone,Restone Arsenal,4140,35809,Goss Road,,+1 256 842 7977,http://www.redstonemwr.com/recreation/golfing.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348781.389352229,34.697384753849626,-86.6643623832147,Alabama,AL00056
Silver Lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2302657.2955851275,33.88017443820036,-85.92780428539102,Alabama,AL00065
Glenlakes Golf Club,,,,,2579716,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,2128368.2336846413,30.363872198492604,-87.62996599375137,Alabama,AL00012
Lakewood Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,2090299.129318323,30.48547687049767,-87.91887342369053,Alabama,AL00053
Ol' Colony Golf Complex,,,,,,,,,Tuscaloosa Park and Recreation Authority,,,Q7082807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999435.4623774225,33.25512548673399,-87.53785908703284,Alabama,AL00058
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1949194.4153884328,30.304549611541706,-87.66853661807566,Alabama,AL00009
