description,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,gnis:feature_id,old_name,phone,website,alt_name,note,opening_hours,operator,golf:course,sport,short_name,type,facebook,wikidata,wikipedia,area_m2,lat,lon,province,gcid
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,2399076.970386528,35.179039850608426,-90.71416728458907,Arkansas,AR00112
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,2207620.224245886,34.85759290336423,-92.57705290498279,Arkansas,AR00143
,Diamante Country Club,Hot Springs Village,2000,71909,AR,Country Club Dr,,,,,,,,Hot Springs Village,,,,,,,,2141083.7380262343,34.64329958171314,-92.87298618597751,Arkansas,AR00129
,Chenal Country Club,,,,,,,,,,,,,,,,,,,,,1555531.5616118389,34.7790166940563,-92.4762953603277,Arkansas,AR00113
,Chenal Country Club,,,,,,,,,,,,,,,,,,,,,1555531.5616118389,34.7790166940563,-92.4762953603277,Arkansas,AR00114
,Lonoke Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,1428003.1634823484,34.78810346982884,-91.92388053622722,Arkansas,AR00027
,Isabella Golf Course,Hot Springs Village,110,71909,AR,Inciador Way,,,+1 501-922-5505,http://hsvpoa.org/golf/courses/isabella-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,1408172.6792786978,34.63161063656114,-92.86315241638543,Arkansas,AR00019
,Chamberlyne Country Club,Danville,10614,72833,AR,Country Club Drive,,,+1-479-495-4110,https://chamberlynecountryclub.com/,,,,,,,,multipolygon,,,,1313258.869822076,35.107882448135385,-93.36648688657502,Arkansas,AR00013
,Cypress Creek Golf Club,,,,,,,,,,,,,,,,,,,,,1284136.3538870984,35.02659386506798,-92.03180507048987,Arkansas,AR00120
,Ben Geren Golf Course,,,,,,,,,,,,,,,,,,,,,1264617.178662373,35.31569897784,-94.36304833948964,Arkansas,AR00101
,Greystone Country Club,,,,,,,,,,,,,,,,,,,,,1241236.2560712514,35.02143672518077,-92.06125791630126,Arkansas,AR00119
,Big Creek,,,,,,,,,,,,,,,,,multipolygon,,,,1204922.2593476397,36.319704385709855,-92.42369888316583,Arkansas,AR00036
