addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,golf:course,golf:links,golf:par,name,operator,phone,access,source,website,gnis:feature_id,old_name,alt_name,magic:DESC_,sport,wikidata,wikipedia,magic:CATEGORY,note,email,start_date,opening_hours,owner,ownership,bar,carts,cost,driving_range,food,holes,membership,smoking,abandoned,fax,type,golf:course:tee_names,golf:length:blue,golf:length:gold,golf:length:green,golf:length:white,golf:length_unit,golf:stroke_index,url,operator:type,operator:wikidata,operator:wikipedia,area_m2,lat,lon,province,gcid
,,,,,"Two 18-hole courses; North Course is public, South Course is private",18;18,North Course;South Course,72;72,Lake of Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3454499.320146609,41.48480818107436,-71.94664628377215,Connecticut,CT00174
Middlefield,70,06455,CT,Lyman Road,,18;18;9,Jones Course; Player Course; Appple Nine,72;71;29,Lyman Orchards Golf Club,,860-349-6031,,,https://www.lymangolf.com/,1923954,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,1644980.9744312435,41.49266459027083,-72.71160388011212,Connecticut,CT00032
Farmington,87,06032,CT,Town Farm Road,,,,,Tunxis Plantation Country Club,,860-677-1367,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.tunxisgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,1519642.8849432194,41.7390162727482,-72.82934353513598,Connecticut,CT00017
Fairfield,2390,06825,CT,Easton Tpke,"Comprises two 18-hole courses, Red and Black",18;18,Red;Black,72:71,Fairchild Wheeler Golf Course,City of Bridgeport,+1-203-3735911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395156.195941746,41.214488725034386,-73.2407862593962,Connecticut,CT00038
Fairfield,2390,06825,CT,Easton Tpke,"Comprises two 18-hole courses, Red and Black",18;18,Red;Black,72:71,Fairchild Wheeler Golf Course,City of Bridgeport,+1-203-3735911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395156.195941746,41.214488725034386,-73.2407862593962,Connecticut,CT00037
,,,,,,18,,72,Bull's Bridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381643.603217113,41.67103194325261,-73.48307897750496,Connecticut,CT00186
Hebron,180,06248,CT,West Street,,18;18,Andersons Glen Course; Gilead Highlands Course,72;72,Blackledge Country Club,,+1 860 228 0250,,,https://www.blackledgecc.net,,,,,,,,,,Kevin@blackledgecc.net,,,,,,,,,,,,,,,,,,,,,,,,,,,1114479.8143205498,41.68102495140424,-72.44335834888574,Connecticut,CT00097
Waterbury,1,06708,CT,Oronoke Road,"Private, Members Or Owners Only",,,,Country Club Of Waterbury,,203-753-4171,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ccwaterbury.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077298.0280709642,41.53289131365065,-73.07210215515155,Connecticut,CT00114
,,,,,Golf course and residential houses,18,,71,The Club at River Oaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042884.1335673946,41.653177856677914,-73.49454681480691,Connecticut,CT00162
East Haddam,1,06423,CT,Hopyard Road,,18,,71,Fox Hopyard Golf Club,,860-434-6644,,,https://golfthefox.com/fox-hopyard/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026775.1305146817,41.440096806405926,-72.3453712555968,Connecticut,CT00134
Avon,160,06001,CT,Country Club Road,"Facility includes three 9-hole courses - Red, White and Blue. Any two can be played sequentially for an 18-hole round.",9;9;9,,36;36;36,Golf Club of Avon,,860-673-3216,,,https://www.golfclubofavon.com/,212926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982173.1380697474,41.79087512119738,-72.85387688455455,Connecticut,CT00119
Pawcatuck,220,06379,CT,Elmridge Road,"Three 9-hole courses, which can be played in various combinations for an 18-hole round",9;9;9,Red South;White West;Blue North,35;36;36,Elmridge Golf Course,,860-599-2248,,,https://www.elmridgegolf.com/,1930834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935999.9717066543,41.39590046769668,-71.86159952502348,Connecticut,CT00107
Avon,65,06001,CT,Nod Road,"Three 9 hole courses - Red, White and Blue. Can play two sequentially for 18 hole round.",9;9;9,,34;36;36,Blue Fox Run Golf Course,,860-678-1679,,,https://www.bluefoxent.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,932867.9662670589,41.813039660148235,-72.82015868645982,Connecticut,CT00008
,,,,,Private - members or owners only; Three 9-hole courses that can be combined for an 18-hole round.,9;9;9,Red;Blue;Green,35;36;35,Hartford Golf Club,,,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),,,,,,,,,General Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932008.8600033749,41.794707028668554,-72.72518792860996,Connecticut,CT00099
