addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,opening_hours,takeaway,gnis:feature_id,phone,website,wikidata,payment:cash,golf,natural,surface,source,landuse,old_name,operator,url,access,type,area_m2,lat,lon,province,gcid
Long Neck,32267,19966,,Clubhouse Way,Baywood Greens Golf Course,,,2379005,+1 302-947-9225,https://www.baywoodgreens.com/,Q4875038,,,,,,,,,,,,1412317.4042575425,38.64292845410221,-75.18462107022935,Delaware,DE00025
Wilmington,4825,19807,,Kennett Pike,Wilmington Country Club,,,,+1 302-655-6171,https://wilmingtoncc.com/,,,,,,,,,,,,,1341916.3502997223,39.794189959190675,-75.59733632344025,Delaware,DE00029
Ocean View,7,19970,DE,Clubhouse Drive,Bear Trap Dunes Golf Course,,,2379028,+1 302-537-5600,https://www.beartrapdunes.com/,,,,,,,,,,,,multipolygon,1054013.0892065302,38.52997764584702,-75.10629266578883,Delaware,DE00011
Bridgeville,1,19933,DE,Heritage Shores Circle,Heritage Shores Club,Mo-Su 10:00-18:00,,,+1 302-337-9926,https://www.heritageshores.com/golf,,,,,,,,,,,,,1016623.3589481276,38.720421591965206,-75.60054888416103,Delaware,DE00039
Millsboro,32981,19966,,Peninsula Esplanade,The Peninsula Golf and County Club,,,2379011,+1 302-945-4768,http://www.peninsula-delaware.com/golf,,,,,,,,,,,,multipolygon,880373.6982048501,38.61166414936072,-75.16805265614796,Delaware,DE00008
Wilmington,601,19807,,Adams Dam Road,Bidermann Golf Course,,,2340096,+1 302-655-3333,https://www.vicmead.com/,,,,,,,,,,,private,,862586.3431577978,39.8146647667489,-75.59913065938046,Delaware,DE00026
,,,,,Plantation Lakes Golf Course,,,,,,,,,,,,,,,,,,815225.7400504912,38.589771196901765,-75.31944983927067,Delaware,DE00034
,,,,,Delcastle Golf Course,,,,,https://www.delcastlegc.com/,,,,,,,,,Billy Casper Golf,,,,786966.0470242939,39.74636068424046,-75.66544207391486,Delaware,DE00022
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,781946.7317781551,39.467676806022524,-75.71188987304635,Delaware,DE00012
Magnolia,1309,19962,DE,Ponderosa Drive,Jonathan's Landing Golf Course,07:00-dusk,,,,https://www.jonathanslandinggolf.com/,,,,,,,,,jonathanslandinggolf.com,,,,742610.3222401595,39.09157909356275,-75.4727590317645,Delaware,DE00040
