club,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,contact:facebook,phone,website,ele,gnis:feature_id,operator,fixme,USGS-LULC:CLASS,note,source,url,alt_name,USGS-LULC:CNTYNAME,USGS-LULC:LEVEL_I,USGS-LULC:LEVEL_II,USGS-LULC:STATECTY,wikidata,wikipedia,access,opening_hours,wheelchair,sport,description,fax,golf,building,LandPro08:DE3,LandPro08:LC_NAME,LandPro08:LU_NAME,LandPro08:reviewed,old_name,start_date,ownership,mobile,golf:course,golf:par,contact:website,owner,type,addr:country,LandPro08:DE5,LandPro08:LC,LandPro08:LCLU,LandPro08:LU,facebook,area,area_m2,lat,lon,province,gcid
,Ohoopee Match Club,,,,,,,,https://www.ohoopeematchclub.com/,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,10352049.224760428,32.2498822911414,-82.20403777894856,Georgia,GA00106
,Jekyll Island Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3790584.5530586755,31.06865574777028,-81.41378917941122,Georgia,GA00298
,Chateau Elan Golf Club,Braselton,6060,30517,GA,Golf Club Drive,,+1-678-425-6050,https://golf.chateauelan.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,AU,171,171171,171,,,3029949.3945439924,34.09908031440894,-83.8349823378049,Georgia,GA00049
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567874.703516334,32.54916323992609,-84.84864312425587,Georgia,GA00429
,Southern Landings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355371.0860900646,32.571051225696934,-83.57289984380999,Georgia,GA00401
,Atlanta National Golf Club,,350,,,Tournament Players Drive,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,2332198.390864146,34.12673789766742,-84.36165503693194,Georgia,GA00253
,Ricefields Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231677.874650807,31.711020968366707,-81.37399832264045,Georgia,GA00381
,Reynolds Great Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013563.8117009196,33.39417793533426,-83.23208929570959,Georgia,GA00375
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000446.2619316932,31.572805006905995,-84.2813100592057,Georgia,GA00322
,Atlanta Athletic Club,Johns Creek,1930,30097,,Bobby Jones Drive,,+1-770-448-2166,https://www.atlantaathleticclub.org/,,,,,,,LandPro08,,,,,,,Q2377861,,private,,,,,,,,,,,no,,,,,,,,,,,,,,,,,1990751.6472890421,34.000684335049556,-84.18984491017295,Georgia,GA00177
