name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,source,website,sport,phone,operator,wikidata,gnis:feature_id,old_name,operator:type,operator:wikidata,operator:wikipedia,contact:facebook,opening_hours,access,type,surface,area_m2,lat,lon,province,gcid
Teton Springs Resort & Club,,,,,,,http://www.tetonsprings.com/,,,,,,,,,,,,,,,3016555.1941648507,43.57737624612132,-111.10991358715441,Idaho,ID00049
Tributary,,,,,,,,,,,,,Huntsman Springs Golf Club,,,,,,private,,,1567461.5194906634,43.734287203045774,-111.12276922582589,Idaho,ID00083
White Cloud Nine at Sun Valley,Sun Valley,,,ID,,,,,,,,,,,,,,,,,,1564671.9347062174,43.70276785986056,-114.35630775598871,Idaho,ID00103
White Cloud Nine at Sun Valley,Sun Valley,,,ID,,,,,,,,,,,,,,,,,,1564671.9347062174,43.70276785986056,-114.35630775598871,Idaho,ID00102
Falcon Crest Golf Club,Kuna,11102,83634,ID,South Cloverdale Road,,,,+1-208-362-8897,,,,,,,,,08:00-18:00,,multipolygon,,1439496.3562546896,43.502461967256,-116.32554313547713,Idaho,ID00019
The Links at Teton Peaks,,,,,,,http://linksgc.com/,golf,+1 208-456-2777,,,,,,,,,,,,,1366808.8863625568,43.73679300730491,-111.17488367767294,Idaho,ID00085
Elkhorn Golf Course,Sun Valley,100,83353,ID,Badeyana Drive,Bing,,,,,,,,,,,,,,,,1290048.660829224,43.67606899557823,-114.33123308290924,Idaho,ID00055
Ridgecrest Golf Club,Nampa,3730,,ID,Ridgecrest Drive,,http://www.ridgecrestgolf.com/,,+1 208-468-5888,,,,,,,,,,,,,1162024.493517779,43.60486307083198,-116.52424638652465,Idaho,ID00070
Trail Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,1161742.9096919328,43.70344145905253,-114.34395997217337,Idaho,ID00104
Trail Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,1161742.9096919328,43.70344145905253,-114.34395997217337,Idaho,ID00105
Blue Lakes Country Club,Twin Falls,1940,83303,ID,Blue Lakes Grade Road,,https://www.bluelakescc.com/,,+1-208-733-2330,,,,,,,,,,,,,1100566.8583621518,42.605835552880826,-114.46655992013642,Idaho,ID00043
The Club at Rock Creek,,,,,,,,,,,,,,,,,,,,multipolygon,,1041479.0905435961,47.531342749965766,-116.86940130456,Idaho,ID00035
The Club at SpurWing Golf Course,Meridian,6800,83646,ID,North Spurwing Way,,,,,,,,,,,,,,,multipolygon,,982688.6432274595,43.669547067415216,-116.43000435492044,Idaho,ID00018
Circling Raven Golf Course,,,,,,,,,,Coeur d'Alene Casino,,,,,,,,,,multipolygon,,977887.4887475022,47.42523939058592,-116.95844655144401,Idaho,ID00026
The Golf Club at Black Rock,,,,,,,,,,,,,,,,,,,,multipolygon,,892590.7900219046,47.5137612020811,-116.87368929015076,Idaho,ID00034
Sand Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,881567.2480282647,43.445142443096685,-111.98753794227851,Idaho,ID00048
Gozzer Ranch Golf & Lake Club,,,,,,,,,,,,,,,,,,,,multipolygon,,877989.8493759809,47.61589652507865,-116.75842973185861,Idaho,ID00033
Links Golf Club,,,,,,,,,,,,,,,,,,,,,,864843.2205157232,47.765318708554005,-116.96944214246324,Idaho,ID00059
Centennial Golf Course,Nampa,2600,83687,ID,Centennial Drive,,,,+1 208-468-5889,,,,,,,,,,,,,844459.9205887578,43.60379186042887,-116.53806290416969,Idaho,ID00067
River Birch Golf Course,Star,3740,83669,ID,North Pollard Lane,,,,,,,,,,,,,,,multipolygon,,809127.6363015355,43.7239396127254,-116.46447324114094,Idaho,ID00020
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,796535.7206641225,44.909638775483266,-116.1385765714214,Idaho,ID00032
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,752124.71830395,42.698252031475846,-114.43682224523828,Idaho,ID00073
Sage Lakes Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,730840.0044314526,43.547757635221046,-112.03463486474358,Idaho,ID00024
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,727190.5628742139,43.046088702544814,-115.8459427333407,Idaho,ID00088
Galena Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,699005.7131831928,47.535247185806284,-116.16380438027505,Idaho,ID00063
RedHawk Golf Course,Nampa,11826,83686,ID,West Nettle Way,,http://www.redhawkidaho.com/,,+1 208-461-4295,,,,,,,,,,,,,681697.0077640968,43.54973129273572,-116.62396176449117,Idaho,ID00054
The Coeur d'Alene Resort Golf Course,Coeur d'Alene,900,83814,ID,South Floating Green Drive,,,,,,,,,,,,,,,,,669874.0001423311,47.665836759518946,-116.75609645511233,Idaho,ID00087
Stoneridge Golf Club,,355,,ID,Stoneridge Road,,,,,,,,,,,,,sunrise-sunset,,multipolygon,,666082.0223365301,48.01004887144256,-116.99740688269021,Idaho,ID00030
McCall Golf Club,McCall,925,83638,ID,Fairway Drive,,https://www.mccallgolfclub.com/,,,City of McCall,,,,,,,,,,multipolygon,,665397.8311186424,44.91762419175911,-116.08016829653563,Idaho,ID00003
Canyon Springs Golf Course,Twin Falls,199,83301,ID,Canyon Springs Road,,https://www.canyonspringsgolf.com/,,+1 208-734-7609,,,,,,,,,,,,,659899.1817920554,42.603598490049436,-114.47774395185341,Idaho,ID00044
Timberstone Golf Course,,,,,,,https://playtimberstone.com/,,+1 208 639 6900,,,,,,,,,,,multipolygon,,659792.8740903275,43.63679829886899,-116.84301140750111,Idaho,ID00011
Banbury Golf Course,Eagle,2626,83616,ID,South Marypost Place,,http://www.banburygolf.com/,,+1-208-939-3600,,,,,,,,,,,multipolygon,,647061.245563567,43.671887334751254,-116.3666824911768,Idaho,ID00004
Highlands Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,631390.9088298422,47.71276496734589,-116.87952933482224,Idaho,ID00016
River Bend Golf Course,Wilder,18539,83676,ID,Fish Road,bing,http://golfriverbend.net/,,,,,,,,,,,,,,,626912.4392869365,43.644516806460445,-116.9554717745978,Idaho,ID00042
Crane Creek Country Club,Boise,500,83702,ID,West Curling Drive,,https://www.cranecreekcountryclub.com/,,,,,,,,,,,,,multipolygon,,623745.5585990829,43.652073691190424,-116.18347340213958,Idaho,ID00014
Purple Sage Golf Course,Caldwell,15192,83607,ID,Purple Sage Road,,https://purplesagegolfcourse.com/,,,,,,,,,,,,,multipolygon,,617367.9749510719,43.73919576302068,-116.69736094021833,Idaho,ID00009
Jerome Country Club,Jerome,649,83338,ID,Golf Course Road,,https://www.jeromecountryclub.com/,,+1-208-324-5281,,,,,,,,,,,multipolygon,,608171.2838531794,42.634249328355104,-114.50909539087684,Idaho,ID00021
Juniper Hills Country Club,Pocatello,6600,83204,ID,Bannock Highway,,https://jhcc.us/,,+1 208 233 0269,,,,,,,,,,,multipolygon,,604454.0974033003,42.81351613312919,-112.39369606084522,Idaho,ID00010
Mountain Home Golf Course,,,,,,,,,,,,,,,,,,,,,,582925.6414111006,43.141209999497846,-115.67282093905062,Idaho,ID00075
Warm Springs Golf Course,Boise,2495,83712,ID,East Warm Springs Avenue,,,,,City of Boise,,,,public,Q35775,"en:Boise, Idaho",,,,,,573175.2613798757,43.59479279621322,-116.16878210754696,Idaho,ID00041
Hillcrest Country Club,Boise,4610,83705,ID,West Hillcrest Drive,,https://www.hillcrest.cc/,,,,Q15224055,,,,,,,,,multipolygon,,571831.695102464,43.58412845227185,-116.23694278967615,Idaho,ID00006
Rupert Country Club,Rupert,85,83350,ID,South 200 West,,https://www.rupertcc.com/,,+1-208-436-9168,,,,,,,,,,,,,568873.5254747724,42.60707621892324,-113.70627995572674,Idaho,ID00074
Boise Ranch Golf Course,Boise,6501,83709,ID,South Cloverdale Road,,http://www.boiseranchgc.com/,,+1-208-362-6501,,,,,,,,,,,multipolygon,,561498.2128480644,43.54292107336239,-116.33989992194617,Idaho,ID00012
Blackfoot Golf Course,,,,,,,,,,,,,,,,,,,,,,554561.5097455352,43.21747374382596,-112.34300301372564,Idaho,ID00053
Blackfoot Golf Course,,,,,,,,,,,,,,,,,,,,,,554561.5097455352,43.21747374382596,-112.34300301372564,Idaho,ID00052
Bryden Canyon Golf Course,Lewiston,445,83501,ID,O'Conner Road,,https://brydencanyongolf.com/,,+1 208-746-0863,,,,,,,,,,,,,540238.3035213854,46.38045126127364,-117.02509173618449,Idaho,ID00057
Bryden Canyon Golf Course,Lewiston,445,83501,ID,O'Conner Road,,https://brydencanyongolf.com/,,+1 208-746-0863,,,,,,,,,,,,,540238.3035213854,46.38045126127364,-117.02509173618449,Idaho,ID00058
Quail Hollow Golf Course,Boise,4720,83703,ID,North 36th Street,,,,,,,,,,,,,,,,,526743.2470162859,43.66207833246112,-116.22312649029293,Idaho,ID00095
Shadow Valley Golf Course,Boise,15001,83714,ID,North Horseshoe Bend Road,,https://www.shadowvalley.com/,,,,,,,,,,,,,,,520276.3951021835,43.74535643141975,-116.29349801593048,Idaho,ID00040
Shadow Valley Golf Course,Boise,15001,83714,ID,North Horseshoe Bend Road,,https://www.shadowvalley.com/,,,,,,,,,,,,,,,520276.3951021835,43.74535643141975,-116.29349801593048,Idaho,ID00039
Lakeview Golf Course,Meridian,4200,83646,ID,West Talamore Boulevard,,https://www.lakeview-golf.com/,,+1 208-888-4080,,,,,,,,,,,multipolygon,,512283.9831823053,43.62599374128167,-116.44457231607456,Idaho,ID00028
University Golf Course,,,,,,,,,,,Q7895519,,,,,,,,,,,510975.85345551296,46.721671661832985,-117.0211506452613,Idaho,ID00086
Hayden Lake Country Club,Hayden Lake,2362,83835,ID,East Bozanta Drive,,https://www.haydenlakecc.com/,,+1 208-772-3211,,,,,,,,,,,,,508201.5757148739,47.762051590364436,-116.76219697627498,Idaho,ID00068
Terrace Lakes Resort Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,501730.5383571007,44.157961089338926,-115.98150488389962,Idaho,ID00023
Prairie Falls Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,499573.2849939099,47.73912748288216,-116.94356296116253,Idaho,ID00029
Preston Golf and Country Club,,,,,,,,,,,,,,,,,,,,multipolygon,,496102.5823602021,42.1161267653431,-111.86348070186328,Idaho,ID00027
Priest Lake Golf Course,,,,,,,https://golfpriestlake.com/,,,Priest Lake Golf Club Inc.,,,,,,,,,,multipolygon,,494896.1727277875,48.521984497349116,-116.92581618813597,Idaho,ID00036
Lewiston Golf & Country Club,Lewiston,3985,83501,ID,Country Club Drive,,https://golflgcc.com/,,+1 208-746-2801,,,400283,,,,,,,,multipolygon,,490675.12322203827,46.37335426237094,-117.03803689702308,Idaho,ID00007
Lewiston Golf & Country Club,Lewiston,3985,83501,ID,Country Club Drive,,https://golflgcc.com/,,+1 208-746-2801,,,400283,,,,,,,,multipolygon,,490675.12322203827,46.37335426237094,-117.03803689702308,Idaho,ID00008
Pinecrest Municipal Golf Course,Idaho Falls,701,83401,ID,East Elva Street,,https://golfif.com/pinecrest-golf-course/,,+1-208-612-8485,,,,,,,,https://www.facebook.com/PinecrestGolfCourseIdahoFalls,Mo-Su 07:00-20:00,,,,479804.6287075196,43.50683668537836,-112.01796601761055,Idaho,ID00038
Highland Golf Course,Pocatello,201,83201,ID,South Von Elm Street,,https://www.pocatellogolfcourses.com/,,+1 208 232 0992,,,,,,,,,,,,,473480.8048166989,42.90713831194849,-112.42002832669806,Idaho,ID00072
River's Edge Golf Club At Burley,Burley,131,83311,ID,East Highway 81,,https://www.riversedgeburley.com/,,+1-208-878-9807,,,,,,,,,,,,,469740.840837674,42.53474249879689,-113.76317823884443,Idaho,ID00076
Plantation Country Club,Garden City,6515,83714,ID,West State Street,,,,,,,,,,,,,,,multipolygon,,463762.0223125464,43.65900268362868,-116.26951235124135,Idaho,ID00015
Eagle Hills Golf Course,Eagle,605,83616,ID,North Edgewood Lane,,,,,,,,,,,,,,,multipolygon,,459701.8950158457,43.701114795354236,-116.33486465801926,Idaho,ID00017
Coeur d'Alene Golf Club,"Coeur d""Alene",2321,83815,ID,West Fairway Drive,,https://www.cdagolfclub.com/,,+1 208-765-0218,,,399151,,,,,,,,multipolygon,grass,455262.2128944271,47.70609300697377,-116.81845762585246,Idaho,ID00005
Riverside Golf Course,Pocatello,3500,83204,ID,Bannock Highway,,https://www.pocatellogolfcourses.com/,,+1 208 232 9515,,,,,,,,,,,,,452209.7892087214,42.83509209180921,-112.4231435138309,Idaho,ID00047
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,436712.41333153466,42.66955686896332,-114.77120971367884,Idaho,ID00031
Jefferson Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,423358.4726834125,43.69582075454959,-111.88837408845134,Idaho,ID00079
Twin Falls Golf Club,Twin Falls,545,83301,ID,Grandview Drive,,http://twinfallsgc.com/,,+1 208-733-3326,,,,,,,,,,,,,419749.4476589737,42.55666885912221,-114.49344893971636,Idaho,ID00045
Avondale Golf Club,Hayden Lake,10745,83835,ID,North Avondale Loop,,https://avondalegolfcourse.com/,,+1 208-772-5963,,,,,,,,,,,multipolygon,,419087.93133993255,47.77397870212606,-116.76077098301404,Idaho,ID00002
