name,operator,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,addr:state,opening_hours,wikidata,source,gnis:feature_id,disused:amenity,email,disused,note,contact:facebook,fax,golf:course,golf:par,sport,access,residential,golf:course:holes,golf:course:par,golf:course:tee_names,golf,landuse,fixme,name:es,contact:phone,building,description,type,par,surface,wheelchair,check_date,area_m2,lat,lon,province,gcid
Stonecrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276603.890021899,38.98191867393785,-86.58040542840956,Indiana,IN00312
Eagle Creek Golf Club,,Indianapolis,8802,46234,West 56th Street,+1-317-297-3366,https://www.eaglecreekgolfclub.com/,,,,,2109477,,,,,,,,,,,,,,,,,,,,,,,,,,,2171750.9495191337,39.86020385838826,-86.32168533631308,Indiana,IN00120
Stonycreek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1869817.803671181,40.02939216678106,-85.96990977142744,Indiana,IN00027
Pebble Brook Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622899.9072675582,40.05521150592561,-86.08083764965241,Indiana,IN00325
Victoria National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1597702.6631964792,38.00104471742613,-87.34110605147464,Indiana,IN00035
White Hawk Country Club,,Crown Point,1001,46307,White Hawk Drive,+1 219 661 1300,https://www.whitehawkcountryclub.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1591434.3111668932,41.438508929113326,-87.38344889079495,Indiana,IN00050
Otter Creek Golf Course,,,,,,,,,,,TIGER/Line® 2008 Place Shapefiles (http://www.census.gov/geo/www/tiger/),,,,,,,,,,,,,,,,,,,,,,,,,,,,1575012.9731800815,39.21687453468513,-85.79704695238144,Indiana,IN00083
Champions Pointe Golf Club,,Henryville,1820,47126,Champions Pointe Club Lane,+1-812-294-1800,https://www.cbcpgolf.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493534.0409960656,38.51351063057897,-85.7914803148177,Indiana,IN00408
The Legends Golf Club,,Franklin,2555,46131,North Hurricane Road,317-736-8186,https://www.thelegendsgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1428351.9874543287,39.50700362123282,-86.0342157455811,Indiana,IN00020
Chippendale Golf Course,,,,,,,,,,,,,,,,,,,,,,,areas,,,,,,,,,,,,,,,,1341170.7099015014,40.407422135541715,-86.15599620503126,Indiana,IN00358
Bridgewater Golf Club,,Auburn,1818,46706,Morningstar Road,+1-260-925-8184,https://www.bridgewatergc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332836.4207845528,41.384803664553544,-85.03403205157034,Indiana,IN00167
Pete Dye Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323277.454972431,38.57141346994315,-86.63612358642206,Indiana,IN00118
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1308230.0899608706,41.51418109847798,-87.49574765744416,Indiana,IN00060
The Hawthorns Golf & Country Club,,Fishers,12255,46037,Club Point,+1-317-845-9100,https://www.hawthornscountryclub.com/,,,,,2106816,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1307887.9831701205,39.949077531133625,-85.95288481193718,Indiana,IN00037
Rock Hollow Golf Course,,Peru,669,46970,South 250 West,,https://www.rockhollowgolf.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273726.501960128,40.75686989133812,-86.11684513172271,Indiana,IN00317
Swan Lake Golf Courses,,Plymouth,5203,46563,Plymouth Laporte Trail,+1 574-935-5680; +1 574-936-9798,https://www.swanlakeresort.com/,IN,,,,,,,,Shape based on Marshal Co. Assessor’s data,https://www.facebook.com/swanlakeresort?fref=ts,+1 574-935-3048,,,,,,,,,,,,,,,,,,,,,1214517.2215139866,41.39633659007054,-86.42825285782493,Indiana,IN00417
Swan Lake Golf Courses,,Plymouth,5203,46563,Plymouth Laporte Trail,+1 574-935-5680; +1 574-936-9798,https://www.swanlakeresort.com/,IN,,,,,,,,Shape based on Marshal Co. Assessor’s data,https://www.facebook.com/swanlakeresort?fref=ts,+1 574-935-3048,,,,,,,,,,,,,,,,,,,,,1214517.2215139866,41.39633659007054,-86.42825285782493,Indiana,IN00416
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200607.9604274498,40.08756776682739,-86.05319063991848,Indiana,IN00326
Glendarin Hills Golf Club,,Angola,3333,46703,Glendarin Way,+1-260-624-3550,https://www.glendarinhills.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195355.398261951,41.68017505080571,-84.99070664691956,Indiana,IN00169
Sultan’s Run Golf Club,,Jasper,1490,47546,North Meridian Road,+1 812 482 1009,https://www.sultansrun.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175631.2997410442,38.40171683361744,-86.89738934776157,Indiana,IN00258
