gnis:feature_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,addr:state,linncounty:objectid,alt_name,old_name,source,name:etymology,sport,fixme,golf:course,operator,email,ele,opening_hours,facebook,note,wikidata,fee,description,wikipedia,access,holes,addr:housename,addr:country,building,building:levels,type,landuse,area_m2,lat,lon,province,gcid
,Amana Colonies Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008036.901592534,41.813986108245025,-91.90892236327156,Iowa,IA00378
,Amana Colonies Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008036.901592534,41.813986108245025,-91.90892236327156,Iowa,IA00377
,Des Moines Golf & Country Club,West Des Moines,1600,50266,Jordan Creek Parkway,+1 515-440-7500,https://www.dmgcc.org/,,,,,,,,,,,,,,,,,,,en:Des Moines Golf and Country Club,,,,,,,,,1992221.011168557,41.59485863062069,-93.81895477510493,Iowa,IA00063
,The Harvester Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413875.1738981078,41.870207215121496,-93.21312047907303,Iowa,IA00316
,Spirit Hollow Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1350176.9083890973,40.76014360419744,-91.14485632945163,Iowa,IA00038
,Spirit Hollow Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1350176.9083890973,40.76014360419744,-91.14485632945163,Iowa,IA00037
,Blue Top Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348805.693325672,41.50048508334166,-91.53328208158491,Iowa,IA00171
,Echo Valley Country Club,Norwalk,3150,50211,Echo Valley Drive,+1 515-285-0101,https://echovalleycc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1305390.860257065,41.50562904558381,-93.6619271435698,Iowa,IA00016
,Echo Valley Country Club,Norwalk,3150,50211,Echo Valley Drive,+1 515-285-0101,https://echovalleycc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1305390.860257065,41.50562904558381,-93.6619271435698,Iowa,IA00017
,Tournament Club of Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1272203.3478499139,41.78389049940488,-93.72081051575617,Iowa,IA00004
1906873,Willow Creek Golf Course,Le Mars,935,51031,Park Lane,+1 712-546-6849,https://www.lemarsiowa.com/cvb/willowcreek.htm,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1220867.898950227,42.806163103996575,-96.14757900567001,Iowa,IA00042
,Honey Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203316.8101373503,40.88187096438436,-92.93120035619282,Iowa,IA00385
,Deer Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1045360.3592525832,41.34953906737003,-93.59014013360431,Iowa,IA00014
,Brooks Golf Club,Okoboji,1201,51355,Brooks Park Drive,+1 712-332-5011,https://www.brooksgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022343.2202225637,43.389570977834765,-95.13397184647646,Iowa,IA00197
,Hunters Ridge Golf Course,Marion,2901,52302,Hunters Ridge Road,,,IA,18,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1020840.7461453693,42.07162290096911,-91.58458353913691,Iowa,IA00027
,Finkbine Golf Course,,,,,,,,,,,,W.O. Finkbine,,,,,,,,,,,,,,,,,,,,,,990420.5134663803,41.66079099553072,-91.56773000761702,Iowa,IA00394
465918,Willow Creek Golf Course,West Des Moines,140,50265,Army Post Road,+1 515-285-4558,https://www.willowgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,968224.508340826,41.52368356214483,-93.70477896519374,Iowa,IA00043
