name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,opening_hours,operator,building,golf:course,gnis:feature_id,source,website,phone,contact:website,addr:unit,amenity,amenity_1,amenity_2,closed,golf,source:outline,facebook,sport,email,start_date,operational_status,ref,wikidata,wikipedia,landuse,surface,contact:facebook,golf:par,type,natural,description,area_m2,lat,lon,province,gcid
Falcon Lakes Golf Club,Basehor,4605,66007,KS,Clubhouse Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2830173.1355780517,39.16507587816065,-94.91011851147218,Kansas,KS00212
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282478.477809295,38.065975122680904,-97.76699733813263,Kansas,KS00190
Colbert Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1698368.83552322,39.21295591364807,-96.642703793633,Kansas,KS00039
Sand Creek Station,Newton,920,67114,,Meadowbrook Drive,,,,,,,https://www.sandcreekgolfclub.com/,+1-316-284-6161,,,,,,,,,,,,,,,Q7415778,,,,,,multipolygon,,,1581975.8059183965,38.019467008361964,-97.36615967310618,Kansas,KS00025
Crestview Country Club,Wichita,1000,67206,,North 127th Street East,,,,,,,https://www.crestviewcountryclub.com/,+1-316-733-1344,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1493529.6977390535,37.70239895379731,-97.1813606212459,Kansas,KS00022
The Jayhawk Club,Lawrence,1809,66047,KS,Birdie Lane,,,,,2510757,USGS GNIS,https://www.thejayhawkclub.com/,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1432548.462506739,38.95067197495745,-95.29093242162698,Kansas,KS00014
Canyon Farms Golf Club,Lenexa,17501,66219,KS,West 87th Street Parkway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1329095.2439093634,38.964840766332266,-94.79179294236796,Kansas,KS00044
Sykes/Lady Overland Park Golf Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1322601.0619162756,38.90087190887737,-94.72309312830106,Kansas,KS00008
Flint Hills National Golf Club,Andover,1,67002,,Flint Hills National Drive,,,,,,,https://flinthillsnational.com/,+1-316-733-7272,,,,,,,,,,,,,,,,,,,,,multipolygon,,,1282944.55040854,37.64344040372749,-97.1265239646791,Kansas,KS00023
Eagle Bend Golf Course,,,,,,,,,,2509881,USGS GNIS,,,,,,,,,,bing,,,,,,,,,,,,,,,,1237149.450165918,38.92288198065688,-95.3196129388742,Kansas,KS00087
Sycamore Ridge Golf Club,,,,,,,,,,2509984,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,,,,1191677.8634512732,38.75616742508634,-94.84106364011717,Kansas,KS00091
Tomahawk Hills Golf Course,Shawnee,17501,66217,KS,Midland Drive,,"Johnson County, Kansas",,,,,https://jcprd.com/329/Tomahawk-Hills,+1-913-631-8000,,,,,,,,,,,,,,,,,,,,,,,,1162114.085863688,38.996694939706494,-94.79076803064113,Kansas,KS00069
Crazy Horse Golf club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084300.1536971473,38.16646358273098,-97.94850027127183,Kansas,KS00222
Prairie Dunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071786.5908683613,38.09239068224078,-97.84740937008,Kansas,KS00191
Oak Country Golf Club,Desota,8800,66018,KS,Scott Drive,,,,,,,https://www.oakcountrygolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,1020519.4860817939,38.96915279872105,-94.96358647776552,Kansas,KS00149
Buffalo Dunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993408.7788651928,37.87744398044771,-100.870584557481,Kansas,KS00192
Overland Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965729.2461029601,38.90361982427786,-94.71906628209393,Kansas,KS00056
Stagg Hill Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959699.7900464918,39.15325198075447,-96.62952423669908,Kansas,KS00061
Falcon Lakes Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953910.6175931331,39.16518648497518,-94.91010019510104,Kansas,KS00150
Shawnee Golf Course & Country Club,Shawnee,6404,66226,KS,Hedge Lane Terrace,,Lindsey Golf Courses,,,,,https://www.shawneegolfcc.com/,+1-913-422-8357,,,,,,,,,,,,,,,,,,,,,multipolygon,,,953370.2655159475,39.0124334325066,-94.8610501453067,Kansas,KS00030
Heritage Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944670.8016400897,38.82769208345393,-94.75502182866758,Kansas,KS00111
Dub's Dread Golf Club,Kansas City,12601,66109,KS,Hollingsworth Road,,,,,,,https://www.dubsdreadgolfclub.com/,+1 913 871 7616,,,,,,,,,,,,,,,,,,,,,,,,941736.0947898909,39.16861895242119,-94.87616954723381,Kansas,KS00152
Metcalf Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905986.2808726428,38.5956186323452,-94.66285671852175,Kansas,KS00187
Falcon Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,897290.9853626452,38.95404724952613,-94.82274413380162,Kansas,KS00016
Tex Consolver Golf Course,Wichita,1931,67209,,South Tyler Road,,,,,,,https://www.golfwichita.com/courses/consolver/,+1 316 337 9494,,,,,,,,,,,,,,,,,,,,,,,,893074.7654155995,37.65861606190716,-97.44702078233665,Kansas,KS00120
Willowbend Golf Club,,,,,,,,,,2510209,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,892221.3498336305,37.759567314781314,-97.24488551230837,Kansas,KS00012
Willowbend Golf Club,,,,,,,,,,2510209,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,892221.3498336305,37.759567314781314,-97.24488551230837,Kansas,KS00011
Sunflower Hills Golf Course,Bonner Springs,12200,66012,,Riverview Avenue,,,,,,,http://www.sunflowerhillsgolfcourse.com/,+1 913-573-8570,,,,,,,,,,,,,,,,,,,,,,,,872589.4786516618,39.103115083947536,-94.86665249660618,Kansas,KS00123
Rolling Hills Country Club,Wichita,223,67209,KS,S Westlink St,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,864378.5368933799,37.683321576421946,-97.45691761895236,Kansas,KS00206
Wolf Creek Golf,Olathe,18695,66062,KS,South Lackman Road,,,,,2510776,USGS GNIS,https://wolfcreekks.com/,+1-913-592-4020,,,,,,,,,,,,,,,,,,,,,,,,849009.1240540893,38.79223497171879,-94.7540917573912,Kansas,KS00093
Tamarisk Golf Course,Syracuse,811,67878,KS,East Golf Course Road,,"Hamilton County, KS",,,,,https://www.tamariskgc.com/,+1-620-384-7832,,,,,,,,,,,,,,,,,,,,,,,,841685.0115106176,37.965146864679426,-101.74845880866809,Kansas,KS00193
Nicklaus Golf Club at LionsGate,Overland Park,14225,66223,,Dearborn Avenue,,,,,,,https://www.clubcorp.com/Clubs/Nicklaus-Golf-Club-at-LionsGate,+1-913-402-1000,,,,,,,,,,,,,,,,,,,,,multipolygon,,,837307.7749260602,38.87412854057379,-94.65500719820935,Kansas,KS00020
Prairie Highlands Golf Course,Olathe,14695,66061,KS,South Inverness Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,834941.7014732262,38.86241549635099,-94.88468451029291,Kansas,KS00034
Auburn Hills Golf Course,,,,,,,,,,2509729,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,834731.3227605734,37.67182556914928,-97.49789039307647,Kansas,KS00009
St Andrews Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833476.4802027133,38.87887466958548,-94.71201429141685,Kansas,KS00059
Tall Grass Country Club,Wichita,2400,67226,,North Tallgrass Street,,,,,,,http://www.tallgrasscc.com/,+1-316-684-4110,,,,,,,,,,,,,,,,,,,,,multipolygon,,,825064.3520006682,37.72938592927945,-97.23591067849284,Kansas,KS00007
The Derby Golf and Country Club,,,,,,,,,,2510042,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,815224.5645288208,37.56919575103216,-97.2542342292804,Kansas,KS00042
The Derby Golf and Country Club,,,,,,,,,,2510042,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,815224.5645288208,37.56919575103216,-97.2542342292804,Kansas,KS00041
Firekeeper Golf Course,Mayetta,12524,66509,,150 Road,,,,,,,https://www.firekeepergolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,813655.00852476,39.32156306786362,-95.7465454953222,Kansas,KS00185
Ironhorse Golf Club,Leawood,15400,66224,,Mission Road,,Troon Golf,,,,P. Todd Decker,https://www.ironhorsegolf.com/,+1 913-685-4653,,,,,,,,,,,,,,,,,,,,,,,,806172.9848181322,38.851015547222154,-94.63543660250846,Kansas,KS00110
Turkey Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804927.1057819852,38.354578982887105,-97.65300225022479,Kansas,KS00055
Shadow Glen Golf Club,Olathe,26000,66061,KS,Shadow Glen Drive,,,,,,,https://www.shadowglen.org/,+1-913-764-2299,,,,,,,,,,,,,,,,,,,,,multipolygon,,Private Golf Club,803926.8685349682,38.93728965048817,-94.89390686357171,Kansas,KS00031
Hallbrook Country Club,Leawood,11200,66211,KS,Overbrook Road,,,,,,,https://www.hallbrookcc.org/,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,797485.3985942241,38.92244033881725,-94.6161872142934,Kansas,KS00036
Crestwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785201.7565084089,37.38684005775086,-94.74849639608121,Kansas,KS00221
Hillcrest Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777122.5479008373,37.061788144078626,-95.64451039903835,Kansas,KS00186
Quail Ridge Golf Course,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,768927.3882848339,37.20721282334307,-96.99093510980924,Kansas,KS00046
Lake Shawnee Golf Course,,,,,,,,,,2509702,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,763844.4350129758,38.993276453870166,-95.62625436351674,Kansas,KS00013
Coffeyville Country Club,,,,,,,,,,,,https://www.coffeyville.cc/,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,760519.4444909474,37.057349882558846,-95.6780156907522,Kansas,KS00037
Coffeyville Country Club,,,,,,,,,,,,https://www.coffeyville.cc/,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,760519.4444909474,37.057349882558846,-95.6780156907522,Kansas,KS00038
Hidden Lake Golf Course,,,,,,,,,,2510065,USGS GNIS,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,744631.8594078843,37.58132641756736,-97.20308909571642,Kansas,KS00035
Winfield Country Club,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,743329.5778068955,37.21955657501533,-97.01710695311334,Kansas,KS00102
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742875.9532607017,38.13767176231314,-97.41525934874592,Kansas,KS00052
