addr:housenumber,addr:street,name,website,fee,addr:city,addr:postcode,addr:state,opening_hours,operator,phone,gnis:feature_id,fixme,golf:course,golf:par,sport,source,wikidata,alt_name,ele,email,contact:website,old_name,designation,building,facebook,barrier,mobile,abandoned:leisure,type,area_m2,lat,lon,province,gcid
,,Eagle Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,2967000.279504862,38.072186452867754,-82.69425080476127,Kentucky,KY00188
6807,Foxcroft Road,Hunting Creek Golf Course,https://www.huntingcreekcc.com/,,Prospect,40059,KY,,,+1-502-228-1106,,,,,,,,,,,,,,,,,,,,2368889.7102460423,38.348476911848095,-85.6034306117366,Kentucky,KY00203
1050,Valley View Drive,Heritage Hill Golf Course,https://www.hhgolfclub.com/,,Shepherdsville,40165,KY,,,+1-502-531-0606,,,,,,,,,,,,,,,,,,,,2089112.3014906393,37.993107792919595,-85.66918945774681,Kentucky,KY00118
6501,Summit Drive,The Pearl Club,,,Owensboro,42303,KY,,,,,,,,,,,,,,,,,,,,,,,1871856.5240399782,37.80616155887561,-87.00186550966619,Kentucky,KY00212
,,French Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782591.832355428,38.52247551989278,-82.75752638991254,Kentucky,KY00222
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770357.0166644687,38.20308780283938,-83.02515265057797,Kentucky,KY00186
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770357.0166644687,38.20308780283938,-83.02515265057797,Kentucky,KY00185
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629254.8726617827,39.092799064591546,-84.75578402167207,Kentucky,KY00057
15503,Shelbyville Road,Valhalla Golf Club,https://www.valhallagolfclub.com/,,Louisville,40245,KY,,,+1-502-245-4475,,,,,,,Q7911574,,,,,,,,,,,,,1548290.9058356592,38.24218734550427,-85.47195279125371,Kentucky,KY00044
,,Raven Rock Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493943.0617236914,37.17714189807862,-82.65239372071481,Kentucky,KY00227
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393664.564138641,37.143106356067754,-84.56895392034255,Kentucky,KY00190
,,University Club of Kentucky,,,,,,,University of Kentucky,,,,,,,,,,,,,,,,,,,,,1383770.3234669915,38.115751458994644,-84.60926264837778,Kentucky,KY00082
13201,Reading Road,Harmony Landing,https://www.bigspringcc.com/,,Goshen,40026,KY,,,+1-502-228-1161,,,,,,,,,,,,,,,,,,,,1322179.9101614195,38.40313645646861,-85.60307481697184,Kentucky,KY00177
