addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,operator,opening_hours,phone,website,wikidata,gnis:feature_id,wikipedia,sport,heritage,heritage:operator,historic,ref:nrhp,fee,area,source,ele,golf:course,description,type,area_m2,lat,lon,province,gcid
,,,,,Unknown Golf Course,,,,,,,,golf,,,,,,,,,,,,2630254.071177611,29.686964924324993,-90.53386503307368,Louisiana,LA00043
Shreveport,200,71106,LA,Southern Trace Parkway,Southern Trace Country Club,,,,,,,,,,,,,,,,,,,,2370704.476288884,32.34024726698723,-93.7242565931837,Louisiana,LA00114
Gonzales,6300,70737,,Championship Court,Pelican Point Golf and Country Club,,,+1 225-746-9900,https://www.golfthepoint.com/,,2601368,,,,,,,,,,,,,multipolygon,1972986.6385618222,30.161438553350408,-90.93163994754693,Louisiana,LA00014
,,,,,Le Triomphe Golf & Country Club,,,,,,,,,,,,,,yes,,,,,,1941972.4209697219,30.08955490262097,-91.94727365814128,Louisiana,LA00123
Kinder,300,70648,LA,Kosati Drive,Kosati Pines,,,,,,,,,,,,,,,,,,,,1917513.6675020717,30.56032683411058,-92.81134478693915,Louisiana,LA00101
,,,,,Mallard Cove Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,1768626.7223448493,30.172799941405902,-93.13949299644302,Louisiana,LA00027
La Place,111,70068,LA,Fairway Dr,Belle Terre Country Club,,,,https://www.belleterregolf.com/,,,,,,,,,,,,,,,,1592900.8510676124,30.094453590308603,-90.49549097006314,Louisiana,LA00097
Haughton,60,71037,,Golf Club Drive,Olde Oaks Golf Course,,,+1 318-742-0333,http://www.oldeoaksgolfclub.com/,,,,,,,,,,,,,,,multipolygon,1589637.0971068232,32.44145007575245,-93.57638275343228,Louisiana,LA00008
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,1577232.5471566615,30.44369330898221,-90.93125526855579,Louisiana,LA00106
,,,,,The National Golf Club,,,,,,,,,,,,,,,,,,,multipolygon,1561270.9709840792,30.273550782734866,-93.268088933993,Louisiana,LA00026
Westlake,1400,,LA,National Drive,The National Golf Club,,,,,,,,,,,,,,,,,,,,1561270.9709840792,30.273550782734866,-93.268088933993,Louisiana,LA00110
Delhi,253,71232,,Black Bear Drive,Black Bear Golf Club,,,+1 318 878 2162,http://crt.louisiana.gov/louisiana-state-parks/black-bear-golf-club/index,,,,,,,,,,,,,,,,1368828.0565640624,32.54892318782109,-91.48684276910734,Louisiana,LA00085
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,1316548.9563033923,30.283446221673227,-91.2531856333979,Louisiana,LA00105
Choudrant,289,71227,LA,Squire Creek Parkway,Squire Creek Country Club,,We-Mo 07:00-21:00,,,,,,,,,,,,,,,,,,1270473.4633307145,32.573043756934986,-92.50996146131929,Louisiana,LA00113
New Iberia,500,70560,,Darby Lane,Squirrel Run Golf Club,,,+1 337-367-0863,https://www.squirrel-run.com/,,2601376,,,,,,,,,,,,,multipolygon,1237467.3665778688,30.034418468440023,-91.83285002990509,Louisiana,LA00013
Lake Charles,6150,70605,,Graywood Parkway,Gray Plantation Golf Course,,,+1 337-562-1663,https://grayplantationgolf.com/,,2601357,,,,,,,,,,,,,multipolygon,1181822.1192478866,30.14387146551153,-93.29922280017337,Louisiana,LA00012
,,,,,Tournament Players Club of Louisiana,,,,,,,,,,,,,,,,,,,multipolygon,1177498.1602218945,29.899194378581143,-90.19372529794992,Louisiana,LA00021
,,,,,Tournament Players Club of Louisiana,,,,,,,,,,,,,,,,,,,multipolygon,1177498.1602218945,29.899194378581143,-90.19372529794992,Louisiana,LA00022
,,,,,City Park Golf Course,,,,,,,,,,,,,,,,,,,,1172564.4073648925,30.006794945093965,-90.09074292473815,Louisiana,LA00121
Monroe,1484,71203,LA,Fenchmans Bend Rd,Frenchmans Bend,,,,,,,,,,,,,,,,,,,,1130420.6272534223,32.63891057504342,-92.0499547115452,Louisiana,LA00102
Monroe,8475,71203,,Millhaven Road,Chennault Park Golf Course,,,+1 318-329-2454,http://www.ci.monroe.la.us/golf.php,,,,,,,,,,,,,,,,1114488.4957845986,32.512603056442195,-92.02563006886108,Louisiana,LA00051
Alexandria,2345,71303,,Vandenburg Drive,Oak Wings Golf Club,,,+1 318 561 0260,http://oakwinggolf.greensidegolfer.com/,,,,,,,,,,,,,,,,1108038.275885915,31.31977444102004,-92.52847770692543,Louisiana,LA00034
New Orleans,1,70131,LA,Clubhouse Drive,English Turn,,,,,,,,,,,,,,,,,,,,1089795.663885063,29.905412451251415,-89.95249070189672,Louisiana,LA00103
Patterson,400,70392,LA,Cotton Road,The Atchafalaya at Idlewild,,,+1-985-395-4653,https://www.atchafalayagolf.com/,,2601378,,,,,,,,,,,,,,1056015.28646356,29.666030800128205,-91.29607496122483,Louisiana,LA00065
Belle Chasse,7427,70037,,Highway 23,Bayou Barriere Golf Course,,,+1 504-394-9500,http://www.bayoubarriere.com/,,546760,,,,,,,,,,,,,,947367.8523199506,29.875635803446908,-90.00252426934019,Louisiana,LA00042
Gretna,1500,70056,,Stonebridge Drive,Stonebridge Golf Club of New Orleans,,,+1 504 394 1300,https://www.stonebridgegolfofno.com/,,,,,,,,,,,,,,,multipolygon,937826.2564593061,29.855845400647517,-90.03535707961859,Louisiana,LA00025
Youngsville,340,70592,,Rue Des Vieux Chenes,Les Vieux Chenes Municipal Golf Course,,,+1 337-837-1159,https://www.lesvieuxchenesgolfcourse.com/,,557344,,,,,,,,,,,,,,934104.9335725342,30.138244306893625,-91.9987601257073,Louisiana,LA00061
Springfield,23475,70462,LA,Carter Trace,Carter Plantation,,,+1 225-294-7555,https://www.carterplantation.com/,,2601347,,,,,,,,,,,,,multipolygon,932131.5343094029,30.412593768722513,-90.57516585675546,Louisiana,LA00015
Baton Rouge,18460,70817,,Santa Maria Parkway,Santa Maria Golf Course,,,+1 225-752-9667,http://www.brec.org/index.cfm/park/detail/155,,542849,,,,,,,,,,,,,multipolygon,931006.0127926569,30.341206476295056,-91.00658314495669,Louisiana,LA00016
New Orleans,4801,70131,,General Degaulle Drive,Lakewood Country Club,,,+1 504-373-5926,https://www.lakewoodgolf.com/,Q15755343,,,,,,,,,,,,,,,918881.5640624898,29.908577449588538,-90.00444686709132,Louisiana,LA00040
Lafayette,2129,70507,,North University Avenue,Wetlands Golf Course,,,+1 337-291-7151,https://wetlandsgc.com/,,2601380,,,,,,,,,,,,,,917216.7683305598,30.260466111390294,-92.04961164796525,Louisiana,LA00062
Fort Polk,1321,71459,,Corps Road,Warrior Hills Golf Course,,,+1 337 531 1982,https://polk.armymwr.com/us/polk/programs/warrior-hills-golf-course,,,,,,,,,,,,,,,,901056.0704087284,31.054403952621023,-93.2150998607663,Louisiana,LA00084
Houma,3319,70360,LA,Hwy 311,Ellendale Country Club,,,+1-985-876-4394,https://ellendalecountryclub.net/,,,,,,,,,,,,,,,,900148.8134105451,29.633738174216948,-90.80366484749561,Louisiana,LA00117
Lake Charles,4300,70602,,Mallard Cove Golf Course,Mallard Cove Golf Course,,,+1 337-491-1204,https://www.cityoflakecharles.com/department/?fDD=10-0,,551178,,,,,,,,,,,,,,895071.6912253005,30.20815710859252,-93.1568089183628,Louisiana,LA00056
Saint Francisville,14233,70775,,Sunrise Way,The Bluffs on Thompson Creek,,,+1 225 634 6400,https://www.thebluffs.com/,,,,,,,,,,,,,,,multipolygon,881763.1918770478,30.804212730626944,-91.24801503245182,Louisiana,LA00024
,,,,,The Country Club at Golden Nugget,,,,,,,,,,,,,,,,,,,,876971.3422217345,30.20122350496248,-93.26739442126193,Louisiana,LA00088
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,844575.0905429723,32.33886520905442,-93.72331497196072,Louisiana,LA00030
,,,,,Unknown Golf Course,,,,,,,,golf,,,,,,,,,,,multipolygon,824540.0932601555,30.428694548205293,-90.13294606042396,Louisiana,LA00023
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,821462.4550141162,30.250652292042865,-93.15899163408767,Louisiana,LA00079
Lake Charles,777,70601,LA,Avenue L'Auberge,Contraband Bayou Golf Club at L'Auberge Du Lac,,,+1 337-395-7220,https://www.llakecharles.com/amenities/golf-course/,,2601349,,,,,,,,,,,,,multipolygon,815619.0751292531,30.20328606062446,-93.25497635977156,Louisiana,LA00028
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,814433.2658630838,30.399470720964203,-91.18486452264273,Louisiana,LA00116
Slidell,201,70448,LA,Oak Harbor Boulevard,Oak Harbor Golf Club,,,+1-985-646-0110,http://www.oakharborgolf.com/,,2601366,,,,,,,,,,,,,multipolygon,813333.8487525822,30.2362457053248,-89.78116376167699,Louisiana,LA00018
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,788844.9891618927,30.26349845093482,-92.02533906814166,Louisiana,LA00057
Shreveport,1000,71106,,Stewart Drive,East Ridge Country Club,,,+1 318-868-6571,https://www.eastridgecc.com/,,,,,,,,,,,,,,,,787259.5982930968,32.40217459722544,-93.72708268095431,Louisiana,LA00045
Calhoun,515,71225,,Hodge Watson Road,Southern Pines Golf Club - Calvert Crossing,,,+1-318-397 0064,http://sopinesgolf.com/calvert,,,,,,,,,,,,,,,multipolygon,779732.2189182505,32.545252682099125,-92.29486208610467,Louisiana,LA00011
Shreveport,3101,71109,,Esplanade Avenue,Shreveport Country Club,,,+1 318-631-1200,https://www.shreveportcountryclub.org/,,,,,,,,,,,,,,,,777707.2316669648,32.481528050791056,-93.80776256124152,Louisiana,LA00050
,,,,,Oakbourne Country Club,,,,,,,,golf,,,,,,,,,,,,773260.688451756,30.21966012840588,-91.97650379287566,Louisiana,LA00037
Benton,4200,71006,,Palmetto Road,Palmetto Country Club,,,+1 318-965-2244,http://www.palmettocountryclub.com/,,,,,,,,,,,,,,,,742974.4342271565,32.65464854814762,-93.7229259938432,Louisiana,LA00046
,,,,,Grand Ridge Golf Club,,,,,,,,,,,,,,,,,,,multipolygon,739902.2988779498,29.894506796726837,-90.33840986463531,Louisiana,LA00031
Gretna,1,70056,,Timberlane Drive,Timberlane Country Club,,,+1 504-367-5010,http://www.timberlanecc.com/,,,,,,,,,,,,,,,multipolygon,736952.872782907,29.879984665311177,-90.04077229233208,Louisiana,LA00007
Shreveport,8300,71129,,Pines Road,Huntington Golf Course,,,,,,540986,,,,,,,,,,,,,multipolygon,724085.082621234,32.42116649053624,-93.86081440956752,Louisiana,LA00029
Monroe,3501,71201,LA,Forshythe Ave,Bayou Desiard Country Club,,,,,,,,,,,,,,,,,,,,717471.5735633553,32.55045220962053,-92.09443493852771,Louisiana,LA00122
,,,,,Royal Golf Course,,,,,,1629015,,,,,,,,,,,,,multipolygon,701152.9766157372,30.33290096182515,-89.83264383132168,Louisiana,LA00019
,,,,,Oaak Knoll Country Club,,,,,,,,golf,,,,,,,,,,,,695654.1853047682,30.52047939323541,-90.4024531171406,Louisiana,LA00071
Destrehan,10,70047,LA,Villere Drive,Cypress Lakes Country Club,,,,,,,,,,,,,,,,,,,,690241.8350164051,29.976305255581142,-90.36894213069377,Louisiana,LA00087
,,,,,Northwood Hills Golf Club,,,,,,,,,,,,,,,,,,,multipolygon,688970.0013830138,32.600419165770454,-93.87360619021396,Louisiana,LA00009
,,,,,Northwood Hills Golf Club,,,,,,,,,,,,,,,,,,,multipolygon,688970.0013830138,32.600419165770454,-93.87360619021396,Louisiana,LA00010
La Place,500,70068,LA,Fairway Drive,Riverland Country Club,,,,https://www.riverlandscountryclub.com,,,,,,,,,,,,,,,,660234.0119349019,30.08886640979364,-90.48542648717604,Louisiana,LA00044
Kenner,3600,70065,,Chateau Boulevard,Chateau Golf & Country Club,,,+1 504-467-1351,https://chateaugcc.com/,,557446,,,,,,,,,,,,,multipolygon,658997.8052565223,30.02755068169477,-90.25563474662889,Louisiana,LA00020
Abita Springs,73433,70420,,Oliver Street,Abita Springs Golf Club,,,+1 985-893-2463,http://www.abitagolf.com/,,2601338,,,,,,,,,,,,,multipolygon,653326.2474908327,30.50003716065306,-89.95217847734051,Louisiana,LA00017
Shreveport,3500,71104,,Beverly Place,Querbes Golf Course,,,318-673-777,,,552228,,,,,,,,,,,,,,624751.4365301086,32.47180847494471,-93.72863678400286,Louisiana,LA00049
New Orleans,1051,70124,,Filmore Avenue,New Orleans City Park North Course,,,+1 504-483-9410,https://www.cityparkgolf.com/,Q5123353,2601365,en:City Park Golf Courses (New Orleans),,,,,,,,,,,,,623601.2698894873,30.014592331889514,-90.09148591314701,Louisiana,LA00069
,,,,,Jennings Golf Course,,,,,,545849,,,,,,,,,,,,,,623350.0314853684,30.216436334354423,-92.64168872256634,Louisiana,LA00060
Natchitoches,6604,71457,LA,Highway 1,Northwestern Hills Golf Course,Northwestern State University,,+1 318-357-6300,https://reccomplex.nsula.edu/golf-course/,,549599,,,,,,,,,,,,,,621347.8930706993,31.738664917648702,-93.11542424458375,Louisiana,LA00038
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,610879.4105748233,30.42428575131568,-91.09434944788357,Louisiana,LA00089
,,,,,Spanish Trail Golf Course,,,,,,,,,,,,,,,,,,,,602390.5397960632,30.08291779307855,-91.89418766211058,Louisiana,LA00075
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,599059.2445411712,30.836788673066504,-93.32729857289594,Louisiana,LA00078
Metairie,580,70005,LA,Woodvine Avenue,Metairie Country Club,,Tu-Su 10:00-21:00,,https://www.metairiecc.org/,,,,,,,,,,,,,,,,597728.8308800473,29.97608149612688,-90.13371789403028,Louisiana,LA00041
,,,,,New Orleans Country Club,,,,,,,,,,,,,,,,,,,,579528.578740083,29.977503607813418,-90.11808529160598,Louisiana,LA00033
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,577862.6638614944,32.79594157145261,-91.92415774467148,Louisiana,LA00070
Barksdale Air Force Base,180,71110,LA,Bossier Road,Bomber Bayou Golf Course,,,+1 318-456-2263,http://www.barksdaleservices.com/index.php?src=gendocs&ref=Golf&category=Recreati,,,,,,,,,,,,,,,,568581.5232445678,32.499748770834174,-93.68780532402747,Louisiana,LA00048
Sulphur,400,70663,LA,Picard Road,Frasch Golf Course,Sulphur Parks and Recreation,,+1 337-527-2515,https://www.sulphurparks.com/frasch-golf-course,,2601355,,,,,,,,,,,,,,568079.4204189008,30.230944411561264,-93.39030610817534,Louisiana,LA00055
