name,golf:course,golf:par,phone,website,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,golf:par:ladies,gnis:feature_id,addr:unit,note,operator,source,sport,contact:facebook,access,description,golf:links,fixme,disc_golf:course,disc_golf:par,golf,wikidata,phone_number,old_name,type,disused,area_m2,lat,lon,province,gcid
Sugarloaf Golf Club,18_hole,72,+1-800-843-5623,https://www.sugarloaf.com/,Carrabassett Valley,5071,04947,ME,West Mountain Road,,,,,Sugarloaf Golf Club,,,,,,,,,,,,,,multipolygon,,1805598.514807071,45.068285444157056,-70.32887584418819,Maine,ME00009
Natanis Golf Course,18_hole;18_hole,72;72,+1-207-622-3561,http://www.natanisgc.com/,Vassalboro,735,04989,ME,Webber Pond Road,,,,,,,,,,,Arrowhead;Tomahawk,,,,,,,,multipolygon,,1494535.5046202966,44.41787606415274,-69.67566944747259,Maine,ME00017
Boothbay Harbor Country Club,,,,,Boothbay,50,04537,ME,Sugar Maple Lane,,,,,Boothbay Harbor Country Club,,,,,,,,,,,,,,,,1072653.7863918417,43.875651975218375,-69.62330408913031,Maine,ME00101
Poland Spring Resort,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,1060216.7182179776,44.03024015053157,-70.36403752986523,Maine,ME00078
Riverside Golf Course,18_hole;9_hole,72;35,+1-207-797-3524,https://www.riversidegolfcourseme.com/,Portland,1158,04103,ME,Riverside Street,,581595,,,,,,,,,North;South,,,,,,,,,,1047324.6293933102,43.71452196982618,-70.31401260219265,Maine,ME00060
Bangor Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028277.5401976578,44.79049424331851,-68.79761846945793,Maine,ME00019
Sunset Ridge Golf Links,18_hole,70,+1-207-854-9463,https://sunsetridgegolflinks.com/,,,,,,,,,,,,,,,,,2024-06-05: Back nine holes are relatively recent - need to be checked when more up-to-date imagery is available.,,,,,,,,,907648.7800293484,43.70634861972932,-70.37079928520434,Maine,ME00063
Old Marsh Country Club,18_hole,70,+1 207 251 4653,https://oldmarshcountryclub.com/,Wells,445,04090,ME,Clubhouse Road,,,,,,,,,,,,,,,,,,,multipolygon,,904482.8762159357,43.30570988676404,-70.62609900531983,Maine,ME00014
Belgrade Lakes Golf Club,18_hole,71,+1-207-495-9253,https://belgradelakesgolf.com/,Belgrade,955,04918,ME,West Road,,,,,,,,,,,,,,,,,,,,,899006.790440755,44.514430169294265,-69.87943417334436,Maine,ME00079
Nonesuch River Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,Q14715325,,,multipolygon,,880349.0739154663,43.61693476743371,-70.36682436895525,Maine,ME00004
Sunday River Golf Club,18_hole,72,+1-207-824-4653,https://www.sundayriver.com/summer-and-fall-activities/sunday-river-golf-club,Newry,18,04261,,Championship Drive,,,,,,,,,,,,,,,,Q7639541,,,multipolygon,,870023.348818149,44.488786533927055,-70.89082665529324,Maine,ME00010
Falmouth Country Club,18_hole,72,+1 207 878 2864,https://www.falmouthcc.org,,1,,,Congressional Drive,,,,,,,,,,,,,,,,,,,multipolygon,,843286.2035682665,43.76962086375529,-70.27167054369446,Maine,ME00003
York Golf and Tennis Club,18_hole,70,+1-207-363-0130,https://www.yorkgolfandtennis.com/,York,62,03909,ME,Organug Road,,,,,,,,,,,,,,,,,,,multipolygon,,827351.8669297587,43.14026050892195,-70.66694415522375,Maine,ME00002
The Ledges Golf Club,18_hole,72,+1-207-351-3000,https://www.ledgesgolf.com/,York,1,03909,ME,Ledges Drive,,,,,,,,,,,,,,,,,,,,,823114.0557369777,43.19514615619695,-70.74122998690486,Maine,ME00034
Springbrook Golf Club,18_hole,71,+1 207 946 5900,https://www.angelfire.com/me2/springbrook/,Leeds,141,04263,ME,US 202,,,,,,,,https://www.facebook.com/people/Springbrook-Golf-Club/100063660248378/,,,,,,,,,,,,,786978.9123841334,44.222059943703854,-70.08092275607683,Maine,ME00090
The Bethel Resort & Suites Golf Course,,,,,Bethel,21,04217,ME,Broad Street,,,,,The Bethel Resort & Suites,,,,,,,,,,,,,,,,760740.7348024072,44.396836980431836,-70.7879253411775,Maine,ME00114
Province Lake Golf Course,18_hole,71,,https://www.provincelakegolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,756782.3500571571,43.69105945283635,-70.97517270176442,Maine,ME00087
Mars Hill Country Club,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,724542.827309836,46.53199291821941,-67.8329721354505,Maine,ME00020
Brunswick Golf Club,,,,,Brunswick,165,04011,ME,River Road,,,,,Brunswick Golf Club,,,,,,,,,,,,,,,,710055.5461614527,43.917205640647445,-69.99699806196803,Maine,ME00028
The Woodlands Club,18_hole,72,+1 207 781 3104,https://thewoodlands.org,,,,,,,,,,,,,,,,,,,,,,,,,,708704.8316492105,43.73728587061736,-70.25990467565349,Maine,ME00119
Gorham Country Club,18_hole,71,,,,,,,,,,,,,,,,,Closed Jan 2022,,,,,,,,,multipolygon,yes,707443.6225371396,43.65464839026453,-70.40833545408701,Maine,ME00006
Rocky Knoll Country Club,18_hole,72,+1 207 989 0109,https://www.rockyknollcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,698122.2753745912,44.756208232145084,-68.77984619476342,Maine,ME00094
