addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,sport,addr:floor,check_date,internet_access,level,opening_hours,wheelchair,designation,old_name,alt_name,landuse,fixme,addr:country,golf:course,golf:par,operator,access,email,operator:type,umn:landuse,disused,gnis:feature_id,abandoned,addr:postbox,holes,addr:unit,description,wikidata,building:levels,operator:wikidata,surface,golf,ref,note,type,area,fax,start_date,wikipedia,area_m2,lat,lon,province,gcid
,,,,,Legacy Courses at Cragun's,,,,,,,,,,,,,,,,,,,Cragun's Resort,,,,,,,,,,,,,,,,,,,multipolygon,,,,,2547703.367658565,46.387355443603596,-94.33535103940801,Minnesota,MN00069
,,,,,The Refuge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141605.5604942166,45.34951051802676,-93.29869833421651,Minnesota,MN00381
,,,,,The Refuge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141605.5604942166,45.34951051802676,-93.29869833421651,Minnesota,MN00380
Red Wing,409,55066,,Golf Links Drive,Mississippi National Golf Links,+1-651-388-1874,https://www.golfredwing.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073515.610090644,44.5495684645599,-92.4823980093784,Minnesota,MN00221
Stillwater,6667,55082,MN,Keats Avenue North,Indian Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056466.466945563,45.04640405891081,-92.89781011885975,Minnesota,MN00417
,,,,,Bearpath,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1763659.8222388332,44.84157416043729,-93.50919736702699,Minnesota,MN00013
,,,,,Emerald Greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481959.7409532042,44.736415426872234,-92.96687848743497,Minnesota,MN00171
,,,,,Victory Links Golf Course,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466790.797362622,45.15284685751931,-93.221572454692,Minnesota,MN00255
Ham Lake,701,55304,MN,Bunker Lake Boulevard Northeast,Majestic Oaks Golf Club,+1-763-755-2140,https://www.majesticoaksgolfclub.com,,,,,,,sunrise-sunset,,,,,,,,,72+72+29,Majestic Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,1408472.827187746,45.22200031305258,-93.24902677206542,Minnesota,MN00172
Lutsen,5731,55612,MN,Highway 61,Superior National at Lutsen-Golf Course,+1-218-663-7195,https://superiornational.com/,,,,,wlan,,Mo-We 16:00-21:00; Th-Su 12:00-21:00,,,,Superior National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372069.28648232,47.64136351629044,-90.71740518503002,Minnesota,MN00376
,,,,,Enger Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276590.1610227108,46.78108590649893,-92.13189994490125,Minnesota,MN00071
Aurora,6325,55705,MN,Wynne Creek Dr,The Ledgend,,,,,,,,,,,,,,,,,,,Giant's Ridge,,,,,,,,,,,,,,,,,,,,,,,,1262688.3696078719,47.586043405035426,-92.30654499724982,Minnesota,MN00250
,,,,,Deacon's Lodge,,https://breezypointresort.com/deacons-lodge-golf-course/,,,,,,,,,,,,,,,,,Breezy Point Resort,,,,,,,,,,,,,,,,,,,,,,,,1181442.0377965553,46.60780319586825,-94.20384206655106,Minnesota,MN00405
,,,,,Albion Ridges Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162593.4385509589,45.18138657607037,-94.04886282534811,Minnesota,MN00369
,,,,,Albion Ridges Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162593.4385509589,45.18138657607037,-94.04886282534811,Minnesota,MN00368
,,,,,The Pines,,,,,,,,,,,,,,,,,,,Grand View Resort,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1140147.6194638633,46.503748503691014,-94.31297928244972,Minnesota,MN00043
Coon Rapids,12800,55448,MN,Bunker Prairie Road NW,Bunker Hills Golf Course,+1-763-755-4141,https://www.bunkerhillsgolf.com/,,,,,,,sunrise-sunset,,,,,,,,27_hole,72,Bunker Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,1137750.8325708685,45.204540285438824,-93.28769926258735,Minnesota,MN00162
Blaine,11444,55449,MN,Tournament Players Parkway,TPC Twin Cities,,,,,,,,,,,,,,,"Many course changes since last mapped, outlines need to be added/updated/deleted.",,,,PGA Tour,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1127472.9377015438,45.17630144856042,-93.21384244589852,Minnesota,MN00061
Perham,2727,56573,,450th Street,Perham Lakeside Golf Club,+1-218-346-6070,https://www.perhamlakeside.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122014.0050423867,46.61523903135831,-95.57105383486586,Minnesota,MN00177
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101732.9584827374,45.67647492362561,-92.99709217717303,Minnesota,MN00421
,,,,,The Wilderness at Fortune Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100527.850374943,47.81957700974238,-92.34761331960065,Minnesota,MN00300
,,,,,Chaska Town Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1090370.670535068,44.82974404881774,-93.63113446433884,Minnesota,MN00019
,,,,,Geneva Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080241.594841658,45.902804189257644,-95.31219413461595,Minnesota,MN00447
,,,,,The Jewel Golf Club,,,"Bing, http://jewelgolfclub.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074581.3322693026,44.44254059570008,-92.29320935941948,Minnesota,MN00192
,,,,,Lakeside Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074576.2826191091,44.099469019929316,-93.48444795881996,Minnesota,MN00299
,,,,,Braemar Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072384.3261450194,44.867696177986055,-93.38500389033081,Minnesota,MN00113
Prior Lake,8670,55372,MN,Credit River Boulevard,Legends Golf Club,,https://www.legendsgc.com/,,,,,,,,,,,,,,,,,,,,,,,2092619,,,,,,,,,,,,,multipolygon,,,,,1058338.0256024944,44.674047017882735,-93.34585338980018,Minnesota,MN00046
,,,,,Wedgewood Cove Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1051927.326842656,43.63762782470487,-93.40097341684488,Minnesota,MN00032
Frontenac,32420,55026,,Ski Road,Mount Frontenac Golf Course,800-488-5826,https://mountfrontenac.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046866.6855042322,44.51047857861525,-92.39195515706108,Minnesota,MN00222
Detroit Lakes,19790,56501,MN,Co Hwy 20,Wildflower GC,,,,,,,,,sunrise-sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1031693.3896962353,46.72011879283847,-95.99301352439238,Minnesota,MN00045
,,,,,Tanner's Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023052.5589349297,45.22538829536091,-92.9911870530299,Minnesota,MN00373
,,,,,Inver Wood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013430.7492262955,44.841503572663505,-93.07369076131138,Minnesota,MN00294
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012312.6882264597,45.098358311141446,-93.52115520575937,Minnesota,MN00426
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972840.1024067618,46.952145672687095,-95.04103915956283,Minnesota,MN00407
Aurora,,55705,MN,Co Rd 138,The Quarry,,,,,,,,,,,,,,,,,,,Giant's Ridge,,,,,,,,,,,,,,,,,,,,,,,,969440.4290113325,47.542626503329934,-92.29501460429898,Minnesota,MN00249
,,,,,Golden Eagle Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965541.1679573356,46.7571476289682,-94.06560699420297,Minnesota,MN00382
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935103.1529319414,46.849938626160714,-91.99781639920339,Minnesota,MN00174
,,,,,Eagle Ridge Gold Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926343.0799096477,47.27609677712012,-93.43493631124944,Minnesota,MN00256
,,,,,North Oaks Golf Course,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913153.2408502782,45.083273368791424,-93.09519599412138,Minnesota,MN00159
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,912546.9890190944,44.49226162578864,-92.95080459536742,Minnesota,MN00025
Two Harbors,1349,55616,MN,Highway 61,Lake View National Golf Course,+1-218-834-2664,https://www.lakeviewnationalgolfcourse.com/,,,,,,,,,,,,,,,,,City of Two Harbors,,,,,,,,,,,18 Holes,,,,,,,,,,,,,905554.6379650751,47.033770062601604,-91.66101894689147,Minnesota,MN00072
Ramsey,9333,55303,MN,Alpine Drive Northwest,Links at Northfork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,892888.9581526038,45.253116985860764,-93.5027922945983,Minnesota,MN00016
St. Cloud,488,56304,MN,55th Avenue Southeast,Territory Golf Club,+1-320-258-4653,https://www.territorygc.com/,,,,,,,,,,,,,,,,,St. Cloud Ventures LLC,,,,,,,,,,,,,,,,,,,,,,,,891022.9448096695,45.56487756320894,-94.04062005826123,Minnesota,MN00357
,,,,,Pioneer Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887099.0900102179,44.991833267543214,-93.75222772711973,Minnesota,MN00430
,,,,,Tepetonka Golf Club,,https://tepetonka.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Under Development, Fall 2024",,,,,,885507.4587933746,45.29305609114356,-95.03196341745371,Minnesota,MN00453
,,,,,Eagle's Landing Golf Club and Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882169.7367628622,46.13924054514012,-94.34231096534704,Minnesota,MN00435
East Bethel,1788,55011,MN,Viking Boulevard NE,Viking Meadows Golf Club,+1-763-434-4205,https://www.vikingmeadows.com/,Mapbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,871798.5050162019,45.31313456876564,-93.22610778023294,Minnesota,MN00063
Independence,18,55359,MN,Golf Walk,Windsong Farm Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868270.286388858,44.98321419286968,-93.74058312531439,Minnesota,MN00123
Lake Elmo,11455,55042,,20th Street North,Royal Golf Club,+1-651-505-9050,https://royalclubmn.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867471.9305364776,44.973239909533525,-92.87119404505876,Minnesota,MN00226
Minneapolis,1301,55422,MN,Theodore Wirth Parkway,Theodore Wirth Golf Course,,https://www.minneapolisparks.org/golf/courses/theodore_wirth_golf_club/,,,,,,,,,,,,,,,,,Minneapolis Park and Recreation Board,,,public,,,,,,,,,,,Q46750735,,,,,,,,,,863772.4895812852,44.99417908179761,-93.32487133591167,Minnesota,MN00433
,,,,,Dacotah Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863340.4794885081,44.49746193972342,-94.93126583267289,Minnesota,MN00452
,920,55963,,8th Street SE,Pine Island Golf Course,+1-507-356-8252,https://www.pineislandgolf.com/,MOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863122.4895812641,44.19855811855582,-92.62955065512021,Minnesota,MN00136
,,,,,Northland Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7059515,,,,,,,,,,,,861617.5897639297,46.83041982565845,-92.05014375916068,Minnesota,MN00093
