addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,old_name,phone,website,landuse,operator,operator:wikidata,contact:phone,contact:website,sport,url,access,opening_hours,contact:facebook,golf,surface,type,golf:course:holes,golf:course:par,golf:course,golf:par,area_m2,lat,lon,province,gcid
Saucier,24400,,MS,Highway 15,Fallen Oak Golf Course,,,,,,,,,,,,,,,,,,,,,2054954.331736495,30.651232250190947,-88.89922912468919,Mississippi,MS00080
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1757957.523310889,32.34169148677155,-89.99430330819425,Mississippi,MS00081
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1757957.523310889,32.34169148677155,-89.99430330819425,Mississippi,MS00082
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,1432808.6340008446,34.9749979056094,-89.82297809558376,Mississippi,MS00026
Jackson,345,39211,MS,Saint Andrews Drive,The Country Club of Jackson,,601-956-1411,https://www.ccjackson.com/,,,,,,,,,,,,,,,,,,1401939.5367513353,32.395868048403315,-90.09465434485203,Mississippi,MS00039
,,,,,Dancing Rabbit Golf Club,,,,,Pearl River Resort,,,,,,,,,,,,,,,,1252313.5840133475,32.77115974809256,-89.21793677433007,Mississippi,MS00075
Madison,150,39110,,Greensward Drive,Reunion Golf and Country Club,,601-605-8784,http://www.reuniongolfandcc.com/,,,,,,,,,,,,,multipolygon,,,,,1251305.0617154308,32.506345489623016,-90.17809368975314,Mississippi,MS00013
Madison,100,39110,,Annandale Golf Club Drive,Annandale Golf Club,,,https://www.theannandalegolfclub.com/,,,,,,,,,,,,,multipolygon,,,,,1235978.3631185826,32.49510631373648,-90.19566748521271,Mississippi,MS00012
,,,,,Big Oaks Colf Course,,,,,,,,,,,,Mo-Su 07:00-19:00,,,,,,,,,1179061.5430686374,34.30719405108765,-88.69063333301696,Mississippi,MS00083
Oxford,147,38655,,Golf Club Drive,The Ole Miss Golf Course,,662-234-4816,https://www.theolemissgolfcourse.com/,,,,,,,,,,,,,,,,,,1148492.0508232315,34.38940460538451,-89.53253060094208,Mississippi,MS00044
Hattiesburg,22,39401,,Clubhouse Drive,Timberton Golf Club,,601-584-4653,https://timbertongolf.com/,,,,,,,,,,,,,multipolygon,,,,,1133695.74797113,31.26871890403151,-89.32316295801283,Mississippi,MS00014
Tunica Resorts,1,38664,MS,Champions Lane,Tunica National Golf & Tennis,,,,,,,,,,,,08:00-22:00,,,,,,,,,1113698.087739136,34.82880755844815,-90.30009314407685,Mississippi,MS00066
,,,,,Wedgewood Golfer's Club,,,,,,,,,,,,,,,,,,,,,1101343.448177288,34.95226810136104,-89.89673420999041,Mississippi,MS00094
,,,,,The Bridges Golf Club,,,,,,,,,,,,,,,,,,,,,1088489.3158379556,30.333662149619183,-89.35000433026461,Mississippi,MS00104
West Point,1,39773,,Magnolia Drive,Old Waverly,,+1 662 494 6463,https://www.oldwaverly.com/,,,,,,,,,,,,,multipolygon,,,,,1078332.572665619,33.57049230673291,-88.60895444849287,Mississippi,MS00022
West Point,1,39773,,Magnolia Drive,Old Waverly,,+1 662 494 6463,https://www.oldwaverly.com/,,,,,,,,,,,,,multipolygon,,,,,1078332.572665619,33.57049230673291,-88.60895444849287,Mississippi,MS00021
Pearl,300,39208,,Clubhouse Drive,Patrick Farms Golf Club,,+1 601 664 0304,http://www.randywatkinsgolf.com/golf-courses/patrick-farms.aspx,,Randy Watkins Golf Group,,,,,,,,,,,multipolygon,,,,,1064799.7682514251,32.253668907337236,-90.0582446521768,Mississippi,MS00019
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1060520.4220057118,31.67813409371443,-89.60081016531117,Mississippi,MS00097
,,,,,Unknown Golf Course,,,,,Pearl River Resort,,,,,,,,,,,,,,,,1034311.7691526716,32.76424893485296,-89.20460011268614,Mississippi,MS00074
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1015027.2776236222,32.46899941244487,-88.66565920701503,Mississippi,MS00093
Olive Branch,6635,38654,,Crumpler Boulevard,Cherokee Valley Golf Course,,+1 662 893 4444,https://www.olivebranchgolf.com/,,,,,,,,,,,,,multipolygon,,,,,985663.4868512282,34.95416567208742,-89.85938114096302,Mississippi,MS00024
,,,,,Tupelo Country Club,,,,,,,,,,,,,,,,,,,,,973975.454288241,34.29062465179461,-88.77975868495902,Mississippi,MS00035
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,953951.2243315288,32.36437510553319,-90.71940863185715,Mississippi,MS00085
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,928669.1421763274,32.42545857052425,-90.29022893366714,Mississippi,MS00086
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,917972.8572958565,30.868671832407703,-89.15931720746154,Mississippi,MS00090
Hattiesburg,1,39402,MS,Cane Drive,Canebrake Country Club,,+1-601-271-2010,https://canebrakecountryclub.com/golf/,,,,,,,,,,,,,,,,,,898604.3759773148,31.329269743461595,-89.46870064400379,Mississippi,MS00103
Sardis,3037,38666,,State Park Road,Mallard Pointe Golf Course,,+1 662 487 2400,https://www.mdwfp.com/parks-destinations/golf/mallard-pointe-golf-course.aspx,,,,,,,,,,,,,,,,,,877892.7887898616,34.43541237994594,-89.80510710863368,Mississippi,MS00062
,,,,,Duncan Park Golf,,+1 601 442 5955,http://cityofnatchez.us/Facilities/Facility/Details/Duncan-Park-Golf-21,,,,,,,,,,,,,,,,,,868014.1886496108,31.54081773636484,-91.38968054682408,Mississippi,MS00054
,,,,,Laurel Country Club,,,https://www.laurelcountryclub.com/,,,,,,,,,,,,,,,,,,809667.2785373299,31.69611314080955,-89.15449755640944,Mississippi,MS00084
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,806060.0614461354,30.459303442581554,-88.63281726053546,Mississippi,MS00031
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,794905.034630042,34.98761221443515,-90.06896617404304,Mississippi,MS00025
Canton,183,39046,MS,Country Club Road,Country Club of Canton,,+1 601 859 6359,http://countryclubofcanton.net/,,,,,,,,,,,,,,,,,,788131.2975956593,32.60810899085289,-89.99030828744807,Mississippi,MS00073
,,,,,Grand Bear Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,784777.8787775683,30.509664493167946,-89.05943669161812,Mississippi,MS00004
