addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,opening_hours,operator,building,phone,website,source,check_date,start_date,note,email,sport,golf,landuse,old_name,alt_name,golf:course,official_name:en,wikidata,abandoned,type,addr:country,golf:par,area_m2,lat,lon,province,gcid
,,,,,Paradise Point Golf Course,,,,,,,,,,,,,,,,,,,,,,,2316827.6638507107,39.42603630682331,-94.54786003713805,Missouri,MO00128
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,2299028.1059288434,36.563629616675,-93.201166974873,Missouri,MO00302
Saint Albans,3165,63073,,Saint Albans Road,The Country Club of Saint Albans,,,,+1 636 458 3060,http://www.ccstalbans.com/,,,,,,,,,,,,,,,multipolygon,,,1811464.000028999,38.58081063331955,-90.75366524266339,Missouri,MO00028
Pleasant Hill,21601,64080,,East State Route P,Country Creek Golf Club - The Rock & The Quarry,,,,816-540-5225,https://www.countrycreekgolf.com/,,,,,,,,,,,,,,,,,,1645800.5047795896,38.737500368057084,-94.34371207128977,Missouri,MO00139
,,,,,Royal Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,1611554.5665130888,38.73793956322804,-93.58613643682968,Missouri,MO00130
Branson West,1600,65737,MO,Ledgestone Way,LedgeStone Championship Golf Course,,,,+1 417-335-8187,https://www.ledgestonegolf.com/,,,,,,,,,,,,,,,,,,1527770.2538530834,36.688566040253995,-93.31866293341517,Missouri,MO00131
Branson,1001,65672,,Branson Creek Boulevard,Buffalo Ridge Springs Golf Course,,,,+1 417 339 5430,https://www.topoftherock.com/buffalo-ridge-golf-course/,,,,,,,,,Branson Creek Golf Club,,,,,,,,,1411196.1288082788,36.57660262361505,-93.19478664771817,Missouri,MO00266
Saint Louis,1,63121,,Norwood Hills Country Club Drive,Norwood Hills Country Club,,,,+1 314-521-0682,https://www.norwoodhills.com/,,,,,,,,,,,,,,,,,,1385366.6894617984,38.72286433813525,-90.28460643020816,Missouri,MO00087
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,1385255.4609280247,38.29109761821224,-90.3849718423962,Missouri,MO00323
,,,,,Tiffany Greens Golf Club,,,,,,,,,,,golf,,,,,,,,,multipolygon,,,1361925.5398541517,39.2811917679669,-94.64456216159775,Missouri,MO00011
