addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,gnis:feature_id,layer,golf,operator,note,source,sport,opening_hours,fixme,golf:course,access,type,start_date,wheelchair,not:name,email,height,area_m2,lat,lon,province,gcid
,,,,,The Reserve at Moonlight Basin,,,,,,,very rough polygon guess based on Bing imagery,,,,,,,,,,,,,1957335.3581989026,45.31899399346441,-111.46233943258494,Montana,MT00031
,,,,,The Reserve at Moonlight Basin,,,,,,,very rough polygon guess based on Bing imagery,,,,,,,,,,,,,1957335.3581989026,45.31899399346441,-111.46233943258494,Montana,MT00032
,,,,,Huntley Golf Course,,,,,,,,,,,,,,multipolygon,,,,,,1320010.7166715767,45.87442896389187,-108.30704719512572,Montana,MT00021
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,1208143.5123012064,45.25567424956714,-111.36818351192059,Montana,MT00091
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,1208143.5123012064,45.25567424956714,-111.36818351192059,Montana,MT00090
Missoula,1268,59802,MT,Bandmann Trail,Canyon River Golf Club,+14067210222,https://canyonrivergolfclub.com,,,,,,,,sunrise-sunset,,18_hole,,multipolygon,,yes,,ed@canyonrivergolfclub.com,,1195228.2944443966,46.88066391032053,-113.9229379730631,Montana,MT00012
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,1091995.0237282861,45.23193797912851,-111.39455842568965,Montana,MT00089
Frenchtown,17775,59834,MT,Mullan Road,King Ranch Golf Course,+14066264000,https://www.kingranchmt.com/,,,,,,,,,,,,,,,,,,1061340.5261777414,47.01304062262502,-114.24841789702226,Montana,MT00098
,,,,,Fox Ridge Golf Course,,,,,,,,,,,,,,,,,,,,1011218.9888447921,46.65474184081056,-111.89865831902355,Montana,MT00028
Bigfork,279,59911,MT,Eagle Bend Drive,Eagle Bend Golf Club,,,,,,,,,,,,,,multipolygon,,,,,4,982621.7600437143,48.07455302765677,-114.10570278413422,Montana,MT00014
Bigfork,279,59911,MT,Eagle Bend Drive,Eagle Bend Golf Club,,,,,,,,,,,,,,multipolygon,,,,,4,982621.7600437143,48.07455302765677,-114.10570278413422,Montana,MT00015
Anaconda,1205,59711,MT,Pizzini Way,Old Works Golf Club,+1 406-563-5989,https://oldworks.org/,,,,,,,,,,,,,,,,,,957674.5887092933,46.13375427893337,-112.93423537084762,Montana,MT00047
,,,,,Stock Farm Club,,,,,,,,,,,,,,multipolygon,,,,,,955026.9738754596,46.250689766493146,-114.05564623420173,Montana,MT00013
Billings,5624,59105,MT,Larimer Lane,Eagle Rock Golf Course,,,,,,,,,,,,,,,,,,,,934365.9513983654,45.90371467098386,-108.41537926854984,Montana,MT00092
Missoula,8501,59808,MT,Ranch Club Road,The Ranch Club Golf Course,,,,,,,,,,,,,,multipolygon,,,,,,888200.1545385299,46.89855139087077,-114.11453266932715,Montana,MT00017
,,,,,Indian Springs Golf Course,,,,,,,,,,,,,,,,,,,,873022.4199207757,48.929338116303065,-115.05308806746734,Montana,MT00078
Fairmont,1500,59711,,Fairmont Road,Fairmont Golf,+1 406-797-3000,https://www.fairmontmontana.com/Fairmont_Golf,,,,,,,,,,,,multipolygon,,,,,,809852.992116725,46.03782567705577,-112.81700686382446,Montana,MT00001
Laurel,1020,59044,MT,Golf Course Road,Laurel Golf Club,+1 406-628-4504,https://www.laurelgolfclub.com/,,,,,,,,,,,,,,,,,,793467.9714086171,45.679312539217406,-108.81537618586417,Montana,MT00053
Billings,1930,59105,,Clubhouse Way,Lake Hills Golf Club,+1 406-252-9244,https://www.lakehillsgolf.com/,,,,,,,,,,,,multipolygon,,,,,,781135.049963197,45.83468648625993,-108.49569009542262,Montana,MT00006
,,,,,Green Meadow Country Club,,,,,,,,,,,,,,,,,,,,780447.7037946753,46.62052038534727,-112.07124990687504,Montana,MT00027
Billings,3200,59106,MT,Paul Allen Way,Yellowstone Country Club,+1 406-656-1701,https://yellowstonecc.com/,,,,,,,,,,,,,,,,,,769265.1964178947,45.804966088889806,-108.66524549884109,Montana,MT00051
Kalispell,1176,59901,MT,North Main Street,Buffalo Hill Golf Course,+1 406-756-4530,https://www.golfbuffalohill.com/,,,,,,,,,,,,,,,,,,753483.2747712564,48.2163509404801,-114.31547938021747,Montana,MT00049
,,,,,Marias Valley Golf & Country Club,,,,,,,,,,,,,,,,,,,,751483.8793878031,48.43017140454488,-111.90923805340968,Montana,MT00030
Kalispell,3230,59901,,Highway 93 North,Northern Pines Golf Club,+1 406-751-1950,https://northernpinesgolfclub.com/,,,,,,,,,,,,multipolygon,,,,,,751303.0129332942,48.2615281591897,-114.33593278816946,Montana,MT00003
,,,,,Black Bull,,https://www.blackbullbozeman.com/,,,,,,,,,,,,,,,,,,720666.8232876054,45.6895875215746,-111.15403808455754,Montana,MT00071
,,,,,Black Bull,,https://www.blackbullbozeman.com/,,,,,,,,,,,,,,,,,,720666.8232876054,45.6895875215746,-111.15403808455754,Montana,MT00072
Whitefish,2150,59937,MT,Iron Horse Drive,Iron Horse Golf Club,+1 406-863-3100,https://ironhorsegolfclub.com/,,,,,,,,,,,customers,,,,,,,690877.1515048691,48.447997855810165,-114.34461830762429,Montana,MT00050
Billings,1390,59102,MT,Zimmerman Trail,Yegen Golf Club,+1 406-656-8099,https://www.yegengolfclub.com/,,,,,,,,,,,,,,,,,,686248.055865011,45.77938386740745,-108.60201032168729,Montana,MT00037
Bozeman,2710,59715,MT,McIlhattan Road,Bridger Creek Golf Courser,+1-406-586-2333,https://www.bridgercreek.com/,,,,,,,,Mo-Su 06:15-21:00,,,,multipolygon,,,,,,650253.8695432048,45.71017370875395,-111.02845639135259,Montana,MT00008
Billings,1390,59102,MT,Zimmerman Trail,Yegen Golf Club,,,,,,Public club,,,,sunrise-sunset,,,,,,,,,,649490.8273452045,45.77921739700457,-108.60200930636256,Montana,MT00095
,3200,,MT,Fort Missoula Road,Larchmont Golf Course,,,,,,Missoula County,,,,,,,,,,,,,,630252.8151659193,46.84230302638133,-114.04404470920319,Montana,MT00074
Sidney,16,59270,MT,Highway North,Sidney Country Club,+1 406-433-1894,https://www.sidneycountryclub.com/,,,,,,,,,,,,,,,,,,612440.4966567234,47.71696945626311,-104.19464259048637,Montana,MT00048
,,,,,Bill Roberts Municipal Golf Course,,,,,out_of_bounds,City of Helena,,,,,,,,,,,,,,597852.8116656508,46.61102821114854,-112.03680788769053,Montana,MT00069
,,,,,Cottonwood Hills Golf Course,,,,,,,,,,,,,,,,,,,,593633.7490933791,45.673881273736384,-111.21770208131949,Montana,MT00024
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,591181.7909116558,45.973665059825244,-112.49520228010063,Montana,MT00043
,,,,,Polson Bay Championship Course,,https://www.polsonbaygolf.com/golf/championship,,,,Polson Bay Golf Course,,,,,,,,,,,,,,589897.2954990366,47.698682604296216,-114.12241350081678,Montana,MT00077
Columbia Falls,490,59912,,Saint Andrew's Drive,Meadow Lake Golf Club,+1 406-892-2111,https://meadowlakegolf.com/,,,,,,,,,,,,multipolygon,,,,,,583748.0802184055,48.391249156122434,-114.20838924376706,Montana,MT00002
Red Lodge,828,59068,,Upper Continental Drive,Red Lodge Mountain Golf Course,+1 406 446 3344,https://www.redlodgemountain.com/golf/red-lodge-mountain-golf-course,,,,,,,,,,,,multipolygon,,,,,,572740.1345781644,45.20407833378161,-109.25300843910404,Montana,MT00009
Ronan,46664,59864,MT,Golf Course Way,Mission Mountain Golf Club,,https://www.golfmissionmountain.com/,,,,,,,,,,,,multipolygon,,,,,,572271.3360199523,47.5369639665783,-114.14630023326652,Montana,MT00020
Great Falls,1025,,MT,25th Street North,Eagle Falls Golf Club,+1 406-761-1078,http://www.greatfallsmt.net/recreation/eagle-falls-golf-club,,,,,,,,,,,,,,,,,,558041.7183592465,47.5183403613592,-111.25096281975925,Montana,MT00023
Great Falls,300,59404,MT,Country Club Boulevard,Meadow Lark Country Club,+1 406-453-6531,https://www.meadowlarkclub.com/,,,,,,,,,,,,,,,,,,550641.5212846531,47.48720115265088,-111.32034656627779,Montana,MT00046
,,,,,Headwaters Public Golf Course,,,,,,,,,,,,,,,,,,,,542900.1887753668,45.89583283575313,-111.53905143921101,Montana,MT00061
Kalispell,500,59901,,Palmer Drive,Village Greens Golf Club,855-752-4666,https://www.montanagolf.com/,,,,,,,,,,,,multipolygon,,,,,,520483.55497756065,48.23216211424479,-114.29909709326384,Montana,MT00004
Bozeman,302,59715,MT,East Kagy Boulevard,Valley View Golf Club,+1 406 587 9751,https://www.vvgcbozeman.com/,,,,,,,,,,,,,,,,,,514692.02211507485,45.65278522649119,-111.0315772172648,Montana,MT00070
Malta,1652,59538-9346,MT,US-191,Marian Hills Country Club,,,,,,,,,,,,9_hole,,multipolygon,,,Marion Hills Country Club,,,510308.1127171456,48.34487795112091,-107.88579613647957,Montana,MT00007
,,,,,Missoula Country Club,,,,,,,,,,,,,,,,,,,,485238.0933032084,46.836779946759435,-114.0506647655202,Montana,MT00025
Colstrip,5000,59323,MT,Pine Butte Drive,Ponderosa Butte Golf Course,+1 406 748 2700,https://mtslim.wixsite.com/ponderosa-butte-gc,,,,,,,,,,,,,,,,,,484227.8177510377,45.912403949491086,-106.63691495983834,Montana,MT00079
Black Eagle,2315,,MT,Smelter Avenue,Anaconda Hills Golf Course,+1 406-761-8459,http://www.greatfallsmt.net/recreation/anaconda-hills-golf-course,,,,,,,,,,,,,,,,,,472639.4533047829,47.52762605640384,-111.26772865673254,Montana,MT00022
Whitefish,1200,59937,MT,Highway 93,Whitefish Lake Golf Club - North Course,+1 406-862-4000,https://golfwhitefish.com/,,,,,,,,,,,,multipolygon,,,,,,470719.5071617479,48.414200652174294,-114.3645268006236,Montana,MT00016
Libby,458,,MT,Cabinet View Road,Cabinet View Golf Club,,,,,,,,,,Mo-Sa 07:00-20:00,,,,multipolygon,,,,,,462090.8179783893,48.365902594269826,-115.55363520918971,Montana,MT00010
,"301 Lodge Way Seeley Lake, MT 59868",,MT,,Double Arrow Golf Course,,,,,,https://doublearrowresort.com/golf-course/,,Mapbox,,,,,,,,,,,,453978.8812029901,47.15120634849482,-113.46263190673127,Montana,MT00083
,,,,,Judith Shadows Golf Course,,,,,,,,,golf,,,,,,,,,,,448560.56147703354,47.079614708832544,-109.39600138092449,Montana,MT00035
,,,,,Whitefish Lake Golf Club - South Course,+1 406-862-4000,https://golfwhitefish.com/,,,,,,,,,,,,multipolygon,,,,,,433432.43007033836,48.40367903394756,-114.36046052359765,Montana,MT00005
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,430782.51561542467,45.726756168508906,-111.06029911076143,Montana,MT00085
,,,,,Pine Ridge Golf Club,,,,,,,,,,,,,,,,,,,,420054.0696817258,46.458879045977824,-108.55792142157432,Montana,MT00056
,,,,,Rolling Hills Golf Course,,,,,,,,,,,,,,,,,,,,409460.4239884231,45.460313705971686,-105.45963213199428,Montana,MT00054
,,,,,Beaverhead Golf Course,,,,,,,,,,,,,,,,,,,,400391.42122496065,45.22870732111873,-112.61691044170443,Montana,MT00040
,,,,,Deer Park,,,782269,,,,,,,,,,,,,,,,,388736.8262381495,46.388158796205325,-112.7763408450413,Montana,MT00045
Anaconda,1521,59711,MT,Country Club Road,Anaconda Country Club,+1 406-797-3220,http://golfanaconda.com/,,,,,,,,,,,,,,,,,,384186.9473734256,46.11313614276946,-112.83583286584718,Montana,MT00044
,,,,,Sunnyside Country Club,,,,,,,,,,,Boundary approximate,,,,,,,,,369012.0845078438,48.231609192971206,-106.64233573778637,Montana,MT00097
,,,,,Miles City Town and Country Club,,,,,,,,,,,,,,,,,,,,365052.0240437254,46.396162796402095,-105.84147041625712,Montana,MT00057
,,,,,Jawbone Creek Country Club,,,,,,,,,,,,,,,,,,,,364190.41966244456,46.44361330970374,-109.8370519525372,Montana,MT00068
,,,,,Harvest Hills Golf Course,,,,,,,,,,,,,,,,,,,,359492.5035237228,47.60333034268397,-111.98092586974987,Montana,MT00062
,,,,,Pine Meadows Golf Course,,,,,,,,,golf,,,,,,,,,,,356154.42149070447,47.05607616250915,-109.40096864106835,Montana,MT00034
,,,,,Glacier Rim,,,,,,,,,,,,,,,,,,,,353026.7716424382,48.503089179714216,-113.99987655197984,Montana,MT00075
,,,,,Chinook Golf Club,,,,,,,,,,,,,,,,,,,,341355.1110884734,48.61484807570372,-109.250526752137,Montana,MT00064
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,338376.1948024855,46.34899056715615,-104.26736578432055,Montana,MT00099
,,,,,Forsyth Country Club,,,,,,,,,,,,,,,,,,,,334123.00592757715,46.2486897053099,-106.72329871931524,Montana,MT00084
,,,,,Plentywood Golf Club,,,,,,,,,,,,,,,,,,,,326875.60957649467,48.78298193250944,-104.56547937655748,Montana,MT00066
,,,,,Scobey Golf Course,,,,,,,,,,,,9_hole,,,,,,,,323961.47389198135,48.78263720371675,-105.43708906958062,Montana,MT00039
,,,,,Airport Golf Club,,,,,,,,,,,,,,,,,,,,314866.9539773579,48.09081219261074,-105.57304849931467,Montana,MT00065
,,,,,Hamilton Golf Course,,,,,,,,,,,,,,,,,,,,311554.80134370533,46.222143384794144,-114.09482157875678,Montana,MT00059
,,,,,Unknown Golf Course,,,,,,,,Bing 2011,golf,,,,,,,,,,,310759.02644164424,45.263458890768725,-111.30033200661302,Montana,MT00036
,,,,,Overland Golf Course,,,,,,,,,,,,,,,,,,,,305309.8747118809,45.830773849932356,-109.92924382717392,Montana,MT00042
,,,,,Signal Point Golf Course,,,,,,City Of Fort Benton,,,golf,Apr 01-Nov 30 sunrise-sunset,,,,multipolygon,1967,limited,,,,304490.0396167017,47.83741413864686,-110.64800992533733,Montana,MT00011
,,,,,University Golf Course,,,,,,,,,,,,,,,,,,,,303592.1169131153,46.84454614052035,-113.99141429543565,Montana,MT00026
,,,,,Pondera Golf Club,,,,,,,,,,,,,,,,,,,,295874.29456135025,48.17235965414249,-111.97805853538077,Montana,MT00067
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,287814.4963525538,45.62758363090955,-109.24319966103842,Montana,MT00073
,,,,,Hickory Swing Golf Course,,,,,,,,,,,,,,,,,,,,286935.36734441825,47.499682167734214,-111.3308181878731,Montana,MT00080
,,,,,Big Sky Golf Course,,,,,,,,,,,,,,,,,,,,276630.3717662754,45.267362370914235,-111.30159078668886,Montana,MT00082
Choteau,1502,59422,MT,Airport Road,Choteau Country Club,,,,,,,,,,,,,,,,,,,,269492.1625393758,47.8190939941092,-112.16405224421693,Montana,MT00063
,,,,,Hamilton Golf Course,,,,,,,,,,,,,,,,,,,,264578.19866683986,46.22004674717919,-114.10547164716438,Montana,MT00058
,,,,,The Highlands Golf Club,,,,,,,,,,,,,,,,,,,,260613.6561586875,46.830261138334464,-114.00029514303141,Montana,MT00088
,,,,,Old Baldy Golf Course,,,,,,,,,,,,,,,,,,,,245499.10035211817,46.33715803240869,-111.49190452453556,Montana,MT00041
,,,,,Cut Bank Golf & Country Club,,,,,,,,,,,,,,,,,,,,238599.59229730844,48.62293861330155,-112.34634355866591,Montana,MT00029
