addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,contact:website,email,operator,sport,description,opening_hours,alt_name,barrier,dist,old_name,par,pins,note,level,golf,type,fax,access,fixme,area_m2,lat,lon,province,gcid
Valentine,88897,69201,NE,NE 97,The Prairie Club,,http://www.theprairieclub.com/,,,,,,,,,,,,,,,,,multipolygon,,,Check boundaries,8456519.438932458,42.72005327583954,-100.81907692827201,Nebraska,NE00027
,,,,,Dismal River Club,,,,,,,,,,,,,,,,,,,,,,,7433260.010523504,41.85708331872197,-101.27398324797633,Nebraska,NE00189
Valentine,38248,69201,NE,CapRock Lane,CapRock Ranch,,https://www.caprockranch.com/,,,,,,,,,,,,,,,,,multipolygon,,,Check boundaries,3175217.787181946,42.73619200363601,-100.80995904098585,Nebraska,NE00026
Mullen,36430,69152,NE,Crenshaw Drive,Sand Hills Golf Club,,https://www.golf.com/courses/us/nebraska/mullen/sand-hills-golf-club,,,,,,,,,,,,,,,,,,,,,1615548.7725759342,41.87034878822361,-101.09935359278617,Nebraska,NE00188
Ashland,16600,68003,,Quarry Oaks Drive,Quarry Oaks Golf Course,402-944-6000,https://quarryoaks.com/,,,,,,,,,,,,,,,,,,,,,1561107.4028855392,41.01341376596998,-96.27849296701567,Nebraska,NE00103
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,1523869.911173804,40.68789074775203,-95.89458012576776,Nebraska,NE00195
Plattsmouth,3200,68048,NE,Buccaneer Boulevard,Bay Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,1466255.8979987002,41.04707639863919,-95.96626706176401,Nebraska,NE00241
,,,,,The Players Club,,,,,,,,,,,,,,,,,,,multipolygon,,,,1443293.2169336837,41.32660727118885,-96.10671969239543,Nebraska,NE00004
Axtell,592,68924,NE,S Road,Awarii Dunes Golf Course,308-743-1111,https://www.awariidunes.com/,,,,,,,,,,,,,,,,,,,,,1335080.1780849283,40.59646324209705,-99.09143607612859,Nebraska,NE00054
Niobrara,,68760,,Ne 12,Tatanka Golf Club,+1 402 857 3504,https://www.tatankagolfclub.com/,,,,,,,,,,,,,,,,,,,,,1289062.3645976563,42.72826587579255,-97.89588041537559,Nebraska,NE00166
Lincoln,9301,68520,NE,Firethorn Lane,Firethorn Golf Club,,,bing,,,Firethorn Golf Company LLC,,,,,,,,,,,,,multipolygon,,,,1155185.9339195269,40.777619696090035,-96.5941905370583,Nebraska,NE00020
Lincoln,3701,68506,NE,South 70th Street,Holmes Park Golf Course,402-441-8960,http://www.holmesgolfcourse.com/,Bing,,,City of Lincoln,,,,Holmes Park Golf Course,,,Holmes Lake Golf Course,,,,,,multipolygon,,,,1088305.260826663,40.77419275398628,-96.63357399134698,Nebraska,NE00025
Lincoln,1800,68512,NE,Willderness Woods Place,Wilderness Ridge Golf Course,,,,,,Wilderness Ridge LLC,,,,,,,,,,,,,multipolygon,,,,1070196.6928787103,40.720059911743014,-96.68971322742662,Nebraska,NE00002
,,,,,Highlands Golf Course,,,,,,City of Lincoln,golf,,,,,,,,,,,,multipolygon,,,,1057266.4055231214,40.86572455218926,-96.74337919858021,Nebraska,NE00017
,,,,,Highlands Golf Course,,,,,,City of Lincoln,golf,,,,,,,,,,,,multipolygon,,,,1057266.4055231214,40.86572455218926,-96.74337919858021,Nebraska,NE00018
Omaha,6900,68152,NE,Country Club Road,Omaha Country Club,402-571-7777,https://www.omahacc.org/,Bing,,omahacc@omahacc.org,,,,,,,,,,,this polygon represents the entire country club,,,,,,,1042995.6172981504,41.33180601998922,-96.01626309150522,Nebraska,NE00129
,,,,,Tiburon Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,,1038320.1280936343,41.156190982693374,-96.18505234883393,Nebraska,NE00013
,,,,,Centura Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,1029667.7148902172,41.01021721202414,-98.5962218476271,Nebraska,NE00181
Sidney,2616,69162,NE,Hillside Drive,Hillside Golf Course,,,,,,City of Sidney,,,,,,,,,,,,,,,,,987535.1995958617,41.128446353078935,-102.98953182042996,Nebraska,NE00139
Lincoln,9001,68526,NE,Pioneers Boulevard,NuMark Golf Course,,,bing,,,NuMark Golf LLC,,,,HiMark Golf Course,,,,,,,,,multipolygon,,,,979496.8036309003,40.761983578273025,-96.59617398677445,Nebraska,NE00019
Brule,865,69127,NE,W Lakeview Rd,Bayside Golf Club,,,,,,,,,,,,,,,,,,,,,,,960433.9231267556,41.24965330963409,-101.88583912451097,Nebraska,NE00247
,,,,,Prairie Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,958773.1648898823,40.88155594162872,-99.08053828105619,Nebraska,NE00193
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,,957371.0089260363,41.313902619234014,-96.16710353104746,Nebraska,NE00031
,,,,,Wild Horse Golf Club,,,Bing,,,,,,,,,,,,,,,,,,,,927561.5449164294,40.95552940325552,-100.19371792213015,Nebraska,NE00123
Ashland,900,68003,,Clubhouse Drive,Iron Horse Golf Club,402-944-9800,http://www.golfironhorse.com/,,,,,,,,,,,,,,,,,multipolygon,,,,874144.9107976732,41.038554931663306,-96.34922441281175,Nebraska,NE00006
Papillion,501,68133,NE,Eagle Hills Drive,Eagle Hills Golf Course,+1-402-592-7788,https://www.papillion.org/154/Eagle-Hills,bing,,,,,,,,,,,,,,,,,,,,839591.3230312438,41.157154960783636,-95.99547597875065,Nebraska,NE00078
,,,,,Unknown Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,838975.6478432264,41.0873758028269,-95.97938287285075,Nebraska,NE00042
Omaha,1501,68130,NE,South 188th Plaza,Shadow Ridge Country Club,402-333-4020,https://shadowridgecountryclub.com/,,,,,,,,,,,,,,,,,,,,,834229.915621335,41.242489347897255,-96.20661140216487,Nebraska,NE00069
,,,,,Hastings Elks Country Club,,,,,,,,,,,,,,,,,,,,,,,829652.1998804873,40.57958744314534,-98.33773249063947,Nebraska,NE00114
Norfolk,55427,68701,NE,837th St.,Fair Play Golf Course,,https://www.fairplaygolfcourse.com/,,,info@fairplaygolfcourse.com,Fair Play Golf Course,,,,,,,,,,,,,,,,,810342.0399199004,41.963821862192766,-97.43751427612301,Nebraska,NE00182
,,,,,Four Winds Golf Course,,,,,,,,,,,,,,,,,,,,,,,795731.4449626327,41.22437173641629,-103.61376608789192,Nebraska,NE00239
