abandoned,disused:leisure,disused:name,note,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,fixme,golf:course,golf:par,phone,golf,opening_hours,operator,website,access,golf:designer,wikidata,source,email,landuse,name:tr,area,addr:county,type,review,sport,fee,wikimedia_commons,wikipedia,opening_date,area_m2,lat,lon,province,gcid
,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,3237071.5191002972,36.356864821185376,-115.32300668804015,Nevada,NV00065
,,,,Arroyo Golf Club At Red Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725938.1315841298,36.13979885226661,-115.34516391660975,Nevada,NV00101
,,,,The Revere Golf Club,,,,,,,,,,,,,,,private,,,,,,,,,multipolygon,,,,,,,2488052.098501293,35.956891534300745,-115.10644635291789,Nevada,NV00050
,,,,The Revere Golf Club,,,,,,,,,,,,,,,private,,,,,,,,,multipolygon,,,,,,,2488052.098501293,35.956891534300745,-115.10644635291789,Nevada,NV00049
,,,,The Club at ArrowCreek,Reno,2905,89511,NV,Arrowcreek Parkway,18 hole Par 72 Legend Course & 18 hole Par 72 Challenge Course,,36_hole,72 + 72,+1 775-850-4653,,,,http://www.golfarrowcreek.com/,,,,,,,,,,multipolygon,,,,,,,2293471.9105433393,39.410366358795656,-119.81806871042274,Nevada,NV00005
,,,,Red Hawk Golf and Resort,Sparks,6600,89436,NV,North Wingfield Parkway,18 hole Par 72 Lakes Course & 18 hole Par 71 Hills Course,,18_hole,71 + 72,1-866-462-4295; 775-626-6000,,,Red Hawk Golf and Resort,http://resortatredhawk.com/,,,,,,,,,,multipolygon,,,,,,,2199555.246582996,39.61057564377043,-119.68945051395623,Nevada,NV00048
,,,,Boulder Creek Golf Course,,,,,,3 x 9 hole Par 36,,27_hole,36 + 36 + 36,+1-702-294-6534,,,,https://www.bouldercreekgc.com/,private,,,bing_imagery_0.25m_201105;GISMO,,,,,,,,,,,,,2076542.6505030526,35.95814922509839,-114.8564025052717,Nevada,NV00078
,,,,Coyote Springs Golf Club,,,,,,18 hole Par 72,,18_hole,72,+1-877-742-8455;+1-702-422-1400,,,,https://www.coyotesprings.com/,,,,,,,,,,,,,,,,,2069835.5674863516,36.80403154360318,-114.93340288010513,Nevada,NV00081
,,,,Palm Valley Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853381.561308142,36.21161156998467,-115.29606303945674,Nevada,NV00087
,,,,The Summit Club,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,1620690.5572483863,36.102603821586406,-115.3438339938291,Nevada,NV00113
,,,,The Legacy Golf Club,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,1449667.7944003986,36.035600925572126,-115.08131444556578,Nevada,NV00079
,,,,Cascata Golf Course,Boulder City,1,89005,NV,Cascata Drive,18 hole Par 72,,18_hole,72,+1-702-294-2005,,,,https://golfcascata.com/,private,,,,cascatagolf@caesars.com,,,,,,,,,,,,1297747.1035115365,35.977208482720144,-114.88742608965649,Nevada,NV00096
,,,,Genoa Lakes Golf Club,Genoa,1,89411,,Genoa Lakes Drive,18 hole Par 72 Lakes Course & 18 hole Par 72 Ranch Course,,36_hole,72 + 72,+1-866-795-2709; +1 775-782-4653,,,,https://genoalakes.com/,,,,,,,,,,multipolygon,,,,,,,1296648.943375315,39.014510598060184,-119.8309929647368,Nevada,NV00043
,,,,Eagle Valley Golf Course,Carson City,3999,89706,NV,Centennial Park Drive,18 hole Par 72 East Course & 18 hole Par 72 West Course,,36_hole,72 + 72,+1-775-887-2380,,,,http://www.eaglevalleygolf.com/,,,,,,,,,,multipolygon,,,,,,,1262030.105521422,39.19537137273777,-119.71119714181472,Nevada,NV00035
,,,,Mountain Falls Golf Club,Pahrump,5001,89061,,Clubhouse Drive,18 hole Par 72,,18_hole,72,+1-775-537-6553,,,,https://mountainfallsgolfclub.com/,,,,,,,,,,multipolygon,,,,,,,1234728.0524077283,36.15093051055435,-115.9254445154374,Nevada,NV00045
,,,,Badlands Golf Club,Las Vegas,9119,89145,NV,Alta Drive,9 hole Par 36 Desperado Course & 9 hole Par 36 Outlaw Course & 9 hole Par 36 Diablo Course,,27_hole,36 + 36 + 36,,,,,,no,,,,,,,,,multipolygon,,,,,,,1205564.1898250633,36.1647857445223,-115.30253115700317,Nevada,NV00054
,,,,Anthem Country Club,Henderson,1,89052,,Club Side Drive,18 hole Par 72,,18_hole,72,+17026145050,,,,https://www.anthemcc.com/,private,,,,,,,,,multipolygon,,,,,,,1204358.6558375857,35.96606570850039,-115.08422133502143,Nevada,NV00040
,,,,Sierra Sage Golf Course,Reno,6355,89506,NV,Silver Lake Road,18 hole Par 71,,18_hole,71,+1-775-972-1564,,,,http://sierrasagegolf.org/,,,,,,,,,,,,,,,,,1172773.9544449747,39.62944425427974,-119.89091431561036,Nevada,NV00093
,,,,Rio Secco Golf Club,,,,,,,,,,,,,,,private,,,,,,,,,multipolygon,,,,,,,1135785.3347731065,35.97886600498344,-115.10892573502464,Nevada,NV00051
,,,,Rio Secco Golf Club,,,,,,,,,,,,,,,private,,,,,,,,,multipolygon,,,,,,,1135785.3347731065,35.97886600498344,-115.10892573502464,Nevada,NV00052
,,,,Shadow Creek Golf Course,North Las Vegas,5400,89031,NV,Losee Rd,18 hole Par 72; access to MGM customers only,,18_hole,72,1.866.260.0069;(702) 399-7111,,,,http://www.shadowcreek.com,customers,Tom Fazio,Q7460490,,,,,,,,,,,,,,1109237.394208306,36.25794161652981,-115.10613842408121,Nevada,NV00074
,,,,Shadow Creek Golf Course,North Las Vegas,5400,89031,NV,Losee Rd,18 hole Par 72; access to MGM customers only,,18_hole,72,1.866.260.0069;(702) 399-7111,,,,http://www.shadowcreek.com,customers,Tom Fazio,Q7460490,,,,,,,,,,,,,,1109237.394208306,36.25794161652981,-115.10613842408121,Nevada,NV00073
,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097796.7251992773,39.10037933654361,-119.84286987211506,Nevada,NV00097
,,,,TPC Las Vegas,Las Vegas,9851,89144,NV,Canyon Run Drive,18 hole Par 71,,18_hole,71,(888) 321 - 572;(702) 256 - 2000,,,,https://tpc.com/lasvegas-golf,private,,Q7671112,,,,,,,multipolygon,,,,,,,1084461.0325941902,36.17592588860831,-115.30857477941223,Nevada,NV00033
,,,,Wolf Creek Golf Club,Mesquite,403,89027,NV,Paradise Parkway,,,,,,,,,,,,,,,,,,,,,,,,,,1066957.6813385275,36.8384059399152,-114.05885014370637,Nevada,NV00102
,,,,Stallion Mountain Golf Club,Las Vegas,5500,89122,NV,East Flamingo Road,18 hole Par 72,,18_hole,72,+1-702-547-6250,,,,https://www.stallionmountaingolf.com/,private,,,,,,,,,multipolygon,,,,,,,1039441.7733993029,36.12254908548629,-115.04805062318312,Nevada,NV00032
,,,,Sunridge Golf Club,Carson City,1000,89705,,Long Drive,18 hole Par 72,,18_hole,72,+1 775-267-4448,,,,http://www.sunridgegc.com/,,,,,,,,,,multipolygon,,,,,,,1039352.5791976311,39.08598544222035,-119.76784954285712,Nevada,NV00047
,,,,Edgewood Tahoe Golf Course,Lake Tahoe,100,89449,NV,Lake Parkway,18 hole par 72,,18_hole,72,+1 775-588-3566,,,,https://www.edgewoodtahoe.com/,,,,,,,,,,,,,,,,,1039265.0055786098,38.967900828510565,-119.94474027945981,Nevada,NV00071
,,,,Conestoga Golf Club,Mesquite,1499,89034,,Falcon Ridge Parkway,18 hole Par 72,,18_hole,72,+1-702-346-4292,,,,https://www.conestogagolf.com/,,,,,,,,,,multipolygon,,,,,,,1025433.0875463918,36.83608526289805,-114.11329250329716,Nevada,NV00042
,,,,Montreux Golf Course,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,1002130.1516142599,39.363925523872496,-119.83036954629375,Nevada,NV00056
,,,,Sunrise Vista Golf Course (Nellis Air Force Base),Nellis AFB,2841,89191,NV,Kinley Drive,3 x 9 hole Par 36 Falcon & Eagle & Phantom Courses,,,,+1 702-652-4497; +1 702-652-2602,,,,http://www.nellisforcesupport.com/Golf_Course.html,private,,,,,,,,,,,,,,,,1000603.1516009697,36.21559577743827,-115.04766304635207,Nevada,NV00082
,,,,Stallion Mountain,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,992473.1974863218,36.122296680248255,-115.0477781775942,Nevada,NV00086
,,,,TPC Summerlin,Las Vegas,1700,89134,NV,Village Center Circle,18 hole Par 72,,18_hole,72,+1-702-256-0111,,,,https://tpc.com/summerlin,private,,Q7671132,,,,,,,multipolygon,,,,,,,988756.4714928449,36.18712964937455,-115.29371118129937,Nevada,NV00019
,,,,Southern Highlands Golf Club,Las Vegas,1,89141,NV,Robert Trent Jones Lane,18 hole Par 72,,18_hole,72,(877) 261-1010; (702) 263-1000,,,,http://www.southernhighlands.com/,private,,Q7569987,,,,,,,multipolygon,,,,,,,982916.5556210624,35.97440747656638,-115.19330164446605,Nevada,NV00007
,,,,Empire Ranch Golf Course,Carson City,1875,89701,NV,Fair Way,3 x 9 hole par 36 Sierra & Comstock & River Courses,,27_hole,36 + 36 + 36,+17758852100,,,,https://www.empireranchgolf.com/,,,,,,,,,,,,,,,,,959944.7866488687,39.1743227973365,-119.71168114856404,Nevada,NV00075
,,,,Hidden Valley Country Club,Reno,3575,89502,NV,East Hidden Valley Drive,18 hole Par 72,,18_hole,72,+1-775-857-4735,,,,https://www.hvccreno.com/,private,,,,info@hvccreno.com,,,,,,,,,,,,900753.5394018062,39.48624226561796,-119.72477465780446,Nevada,NV00070
,,,,Bear's Best Las Vegas,,,,,,18 hole Par 72,,18_hole,71,+011 702 804 8500,,,,https://www.clubcorp.com/Clubs/Bear-s-Best-Las-Vegas,private,Jack Nicklaus,,,,,,,,multipolygon,,,,,,,892312.0617271846,36.11826007563107,-115.34313275787841,Nevada,NV00024
,,,,Aliante Golf Club,,,,,,18 hole Par 72,,18_hole,72,+1-702-399-4888,,,,https://www.aliantegolf.com/,private,,,,,,,,,multipolygon,,,,,,,885125.5112613803,36.2981613484241,-115.18195725643659,Nevada,NV00011
