description,name,website,golf:course,golf:par,phone,golf:links,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,operator,sport,access,gnis:feature_id,addr:country,check_date,check_date:currency:XBT,currency:XBT,opening_hours,note,old_name,disused,start_date,alt_name,wikidata,landuse,golf,access_fee,source,email,payment:cash,payment:mastercard,payment:visa,type,area_m2,lat,lon,province,gcid
,Crotched Mountain Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831945.2943927485,43.02004029099196,-71.86825308146523,New Hampshire,NH00075
,Atkinson Resort & Country Club,https://www.atkinsonresort.com/,,,+1 603 362 8700,,Atkinson,85,03811,,Country Club Drive,,,,,,,,,,,,,,,,,,,,,,,,,1375221.3241736016,42.81929945287892,-71.17823945690925,New Hampshire,NH00068
,Bretwood Golf Course,https://bretwoodgc.com/,18_hole;18_hole,72;72,+1 603 352 7626,North;South,Keene,365,03431,NH,East Surry Road,,,,,,,,,,,,,,,,,,,,,,,,,1336457.7946426831,42.978858413108924,-72.30851711167641,New Hampshire,NH00079
,The Golf Club of New England,http://www.golfclubne.com/,,,+1-603-772-4900,,Stratham,167,03885,,Winnicutt Road,,,,,,,,,,,,,,,,,,,,,,,,,1100192.3679382822,43.013099172297,-70.86060736404697,New Hampshire,NH00055
,Montcalm Golf Club,https://montcalmgolfclub.com/,18_hole,72,+1-603-448-5665,,Enfield,2,03748,NH,Smith Pond Rd,,,,,,,,,,,,,,,,,,,,assistant@montcalmgolfclub.com,,,,,1087860.8938493712,43.60684250285472,-72.17138052866895,New Hampshire,NH00086
,Pease Golf Course,https://www.peasegolf.com/,,,+1-603-433-1331,,Portsmouth,200,03801,,Grafton Drive,Pease Development Authority,,,,,,,,,,,,,,,recreation,,,,,,,,,951825.3481410505,43.06545922952891,-70.81865681181185,New Hampshire,NH00053
,Portsmouth Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908530.4537387282,43.048033566254695,-70.83518026413184,New Hampshire,NH00054
,Canterbury Woods Country Club,,18_hole,72,,,Canterbury,15,03224,NH,West Road,,,,,,,,,,,,,,,,,,,,,,,,,905522.9814411908,43.34505444918915,-71.60673711623264,New Hampshire,NH00064
,The Oaks,https://candiaoaks.com/,18_hole,71,+1 603 483 2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904827.8248129791,43.27286981451646,-70.90391670142544,New Hampshire,NH00036
,Country Club of New Hampshire,https://countryclubofnh.com/,18_hole,72,+1-603-927-4246,,North Sutton,182,03260,NH,Kearsarge Valley Road,,,,,,,,,Mo-Su 06:30-19:30,,,,,,,,,,,,,,,,875069.7629750498,43.367061563102915,-71.908198839103,New Hampshire,NH00084
,The Shattuck Golf Club,,,,+1 603-532-4300,,Jaffrey,53,03452,NH,Dublin Road,,,,,,,,,,,,,,,,,,,,,,,,,845062.1320261237,42.83528184338031,-72.0651231881889,New Hampshire,NH00090
,The Shattuck Golf Club,,,,+1 603-532-4300,,Jaffrey,53,03452,NH,Dublin Road,,,,,,,,,,,,,,,,,,,,,,,,,845062.1320261237,42.83528184338031,-72.0651231881889,New Hampshire,NH00091
,Baker Hill Golf Club,https://www.bakerhill.org/,,,+1-603-763-8900,,Newbury,101,03255,NH,Baker Hill Road,,,,,US,,,,,,,,,,,,,,,,,,,,809453.4157099528,43.36641568392669,-72.01858856355649,New Hampshire,NH00092
