name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,opening_hours,operator,golf:course,description,email,start_date,website,facebook,source,wikidata,alt_name,golf,landuse,old_name,addr:full,contact:facebook,golf:par,sport,note,wikipedia,layer,surface,addr:country,contact:website,access,hole,tee,opening_hours:signed,owner,type,fixme,designation,ele,gnis:feature_id,area_m2,lat,lon,province,gcid
Pine Valley Country Club,,,,,,,,,,,,,https://pinevalleycountryclub.com/,,,,,,,,,,,,Be careful. There are other ways inside this way including wood and golf related ways. Do not delete this way or the other ways.,en:Pine Valley Golf Club,,,,,,,,,,,,,,,2746920.611121765,39.7870137775337,-74.97410422473396,New Jersey,NJ00312
Fiddler's Elbow Country Club,Bedminster,811,07921,,Rattlesnake Bridge Road,+1 908-439-2123,,,,,,,https://www.fiddlerselbowcc.com/,,NJ2002LULC,Q5446690,,,,,,,,,,,,,,,,,,,,,,,,,2175032.155708431,40.641343668716026,-74.73113070705756,New Jersey,NJ00302
Trump National Golf Club Bedminster,Bedminster,900,07921,,Lamington Road,+1 908-470-4400,,,,,,,https://www.trumpnationalbedminster.com/,,,Q7847773,,,,,,,,,,,,,,,,,,,,,,,,,1966767.3172661804,40.6539527203731,-74.69764944525471,New Jersey,NJ00182
Blue Heron Pines Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882147.5251207203,39.480085473764206,-74.59794258593512,New Jersey,NJ00087
Royce Brook Golf Club (East Course),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838087.1994411617,40.51376026919721,-74.60084956272756,New Jersey,NJ00297
Ridge at Back Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782709.491337897,40.441227908313515,-74.82500223418913,New Jersey,NJ00298
Metedeconk National Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,1682123.5762216127,40.160948962683825,-74.33573078075506,New Jersey,NJ00175
Tamarack Golf Course,East Brunswick Township,97,08816,NJ,Hardenburg Lane,,sunrise-sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459971.7502592304,40.42002692168426,-74.45133331490057,New Jersey,NJ00292
Tamarack Golf Course,East Brunswick Township,97,08816,NJ,Hardenburg Lane,,sunrise-sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459971.7502592304,40.42002692168426,-74.45133331490057,New Jersey,NJ00293
Neshanic Valley Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,1425227.5522282778,40.52784380961798,-74.71589895896922,New Jersey,NJ00300
"Trump National Golf Club, Colts Neck",Colts Neck,One,07722,NJ,Trump National Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403881.2206905328,40.277874050608524,-74.17996804373956,New Jersey,NJ00295
Baltusrol Golf Course,Springfield,201,07081,,Shunpike Road,,,,,,,,,,,Q4853011,,,,,,,,,,,,,,,,,,,,,,,,,1401333.0418903476,40.6979229047434,-74.3330095960009,New Jersey,NJ00152
Cascades Golf Club,,,,,,,,Crystal Springs Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371656.3867293522,41.15921199629236,-74.55257396696267,New Jersey,NJ00270
Trump National Philly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323269.7311552863,39.78785547241564,-75.00663678035835,New Jersey,NJ00335
Mercer Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318197.151032392,40.27671947398604,-74.65735776375976,New Jersey,NJ00082
Great Gorge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296598.4051677343,41.190175815518465,-74.52607237965185,New Jersey,NJ00334
Ballamor Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255829.8624943863,39.37798775742801,-74.65345076284883,New Jersey,NJ00090
Hamilton Farm Golf Club,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,multipolygon,,,,,1231500.7364441904,40.70922605990423,-74.68511210299033,New Jersey,NJ00034
Running Deer Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109255.71389852,39.52704417382532,-75.13408183743108,New Jersey,NJ00333
Twisted Dune Golf Club,Egg Harbor Township,2101,08234,NJ,Ocean Heights Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067574.0756195998,39.376418046871,-74.63443484913626,New Jersey,NJ00091
Cherry Valley Country Club,Skillman,125,08558,NJ,Country Club Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1057707.5095573713,40.3990353486617,-74.70970105220702,New Jersey,NJ00035
Montclair Golf Club,West Orange,25,07052,NJ,Prospect Avenue,+1-973-239-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1050573.608737413,40.81981768352754,-74.24493086837154,New Jersey,NJ00015
Mountain Ridge Country Club,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,1043187.8400315946,40.862570908440794,-74.29502236886846,New Jersey,NJ00148
