name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,phone,website,fixme,note,access,operator,email,opening_hours,source,golf:course,golf:par,addr:country,source:address,sport,payment:cash,payment:credit_cards,payment:debit_cards,fax,start_date,contact:facebook,ele,type,golf,area_m2,lat,lon,province,gcid
The Club at Las Campanas,Santa Fe,132,87506,NM,Clubhouse Drive,18 hole Par 72 Sunrise Course & 18 hole Par 72 Sunset Course,505.995.3500,https://www.theclubatlascampanas.com/,,,,,,,,,,,,,,,,,,,,multipolygon,,2166850.2913141567,35.71430416483263,-106.06357631587554,New Mexico,NM00008
Black Mesa Golf Club,Española,115,,NM,State Rd 399,18 hole Par 72,505-747-8946,http://www.blackmesagolfclub.com/,,,,,,,,,,,,,,,,,,,,,,1628517.6600072223,35.95744814284556,-106.051835577302,New Mexico,NM00055
Red Hawk Golf Club,Las Cruces,7502,88012,NM,Red Hawk Golf Road,18 hole Par 72,+1 575 3738100,http://golflascruces.com/,,,,,,,,,,US,NM RGIS E911 Addresses Oct 2021,,,,,,,,,,,1618068.6229908823,32.42384757621044,-106.74517785869926,New Mexico,NM00068
Angel Fire Country Club,Angel Fire,100,87710,NM,Country Club Drive,,,,,,,,,,,,,,,,,,,,,,,,,1589239.0410795207,36.37469161438503,-105.29210655903523,New Mexico,NM00093
Twin Warriors Golf Club,Santa Ana Pueblo,288,87004,NM,Prairie Star Road,18 hole Par 72,+1 505 7716155,http://mynewmexicogolf.com/twin_home/,,,,,,,,,,,,,,,,,,,,,,1569672.4751887552,35.35525934480494,-106.54868878966131,New Mexico,NM00072
Isleta Eagle Golf Course,,,,,,3 x 9 hole Par 36 Arroyo & Mesa & Lakes Course,(505)-848-1900,https://www.isleta.com/Golf.aspx,,,,,,,,27_hole,36 + 36 + 36,,,,,,,,,,,,,1505014.0545452682,34.93772573544899,-106.67067495733957,New Mexico,NM00060
Coyote Del Malpais Golf Course,Grants,2001,87020,NM,George Hanosh Boulevard,18 hole Par 71,+1-505-285-5544,http://www.cityofgrants.org/coyote_del_malpais_golf_course/index.php,more detailed mapping,,,Grants,,,,,,,,,,,,,,,,,,1490885.53499951,35.14222334844318,-107.80107742403797,New Mexico,NM00058
Sierra del Rio Golf Course,Elephant Butte,101,87935,NM,Clubhouse Road,18 hole Par 72,+1-575-744-7100;+1-575-744-4653,http://www.sierradelriogolf.com/,,,,,,,image,,,,,,,,,,,,,multipolygon,,1384217.6079563631,33.168897541507846,-107.22492365854126,New Mexico,NM00002
Riverview Golf Course,Kirtland,64,87417,NM,County Road 6520,18 hole Par 72,+1 505 5980140,https://www.riverviewgolfnm.com/,,,,,,,,,,,,,,,,,,,,,,1329775.2789355067,36.7526700644478,-108.3731721681349,New Mexico,NM00027
Towa Golf Club,Pojoaque,40,87506,NM,Buffalo Thunder Trail,3 x 9 hole Par 36 Piñon & Boulder & Valley Courses,+1-505-455-9000,http://www.buffalothunderresort.com/santa-fe-golf,,,,,,,,27_hole,36 + 36 + 36,,,,,,,,,,,,,1285438.3420458282,35.86646326570932,-105.99371086861964,New Mexico,NM00077
