addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,note,website,phone,material,check_date,opening_hours,addr:country,source,source:date,operator,wikidata,golf,landuse,ownership,sport,access,contact:website,surface,golf:course,area,fixme,name:en,description,wikipedia,golf:par,ele,gnis:feature_id,type,club,old_name,alt_name,start_date,contact:phone,area_m2,lat,lon,province,gcid
,,,,,Deep Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558756.85579475,36.40600778896392,-79.88176991488518,North Carolina,NC00449
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,3321419.465878457,33.93234993112286,-78.4791111542864,North Carolina,NC00233
,,,,,Cape Fear National at Brunswick Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688815.443915594,34.169276446144515,-78.02781361054303,North Carolina,NC00255
,,,,,Cape Fear National at Brunswick Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688815.443915594,34.169276446144515,-78.02781361054303,North Carolina,NC00256
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486171.615978362,35.377177631586,-83.1208923650442,North Carolina,NC00437
,,,,,Cleghorn Golf & Sports Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172157.944067656,35.30283771593055,-81.975224153619,North Carolina,NC00440
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023299.075283334,35.09533518551051,-79.41989952076537,North Carolina,NC00285
Sunset Beach,75,28468,NC,Clubhouse Road,Sea Trail Golf Links,,https://www.seatrail.com/,+1 888 321 9076,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1940324.8972045498,33.90310984362085,-78.51501815795976,North Carolina,NC00087
Sapphire,19387,28774,,Rosman Highway,Burlingame Country Club,,https://burlingameccwnc.com/,828-966-9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915526.5919341585,35.10722495833575,-82.97982817933719,North Carolina,NC00280
,,,,,Falls Village Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819112.6098728988,35.983114093433414,-78.77172785892444,North Carolina,NC00409
