name,covered,designation,sport,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,golf,operator,phone,website,opening_hours,landuse,source,addr:country,fixme,golf:course,building,fax,pitch,abandoned:leisure,highway,surface,width,addr:housename,created_by,access,type,wikidata,area_m2,lat,lon,province,gcid
The Territory Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417361.7668932513,34.51254679751504,-98.0556768562388,Oklahoma,OK00160
The Patriot Golf Club,,,,Owasso,5790,74055,OK,North Patriot Drive,,,,,,,,,,,,,,,,,,,,,multipolygon,,1985168.0598343506,36.237718898549154,-95.77522546526592,Oklahoma,OK00025
Winter Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712688.5899530586,35.06571081387255,-97.70354798315266,Oklahoma,OK00143
Lake Hefner Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645329.4352114713,35.55138522795908,-97.60313011435508,Oklahoma,OK00038
Lake Hefner Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645329.4352114713,35.55138522795908,-97.60313011435508,Oklahoma,OK00039
Earlywine Golf Club,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,1559811.967199256,35.3548586081207,-97.57726752773601,Oklahoma,OK00070
Lincoln Park West Golf Course,,,,Oklahoma City,4001,73111,OK,Northeast Grand Boulevard,,,405-424-1421,https://www.okcgolf.com/lincoln/,,,Bing,,,,,,,,,,,,,,multipolygon,,1482343.0742338148,35.51298528359119,-97.46756082616474,Oklahoma,OK00011
Pheasant Run Golf Course,,,golf,Enid,1702,73703,OK,Club House Drive,,,+1-580-233-2355,https://pheasantrunok.com/,,,,,,,,,,,,,,,,,multipolygon,,1461079.9213175718,36.41229352621142,-97.94620617251964,Oklahoma,OK00009
Mohawk Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1429409.5630743424,36.21509757342619,-95.91594775573526,Oklahoma,OK00024
Page Belcher Golf Course,,,,Tulsa,6666,74132,,South Union Avenue,,,800-339-2997,https://www.tulsagolf.org/,,,,,,,,,,,,,,,,,,,1393629.5376245768,36.06542856078412,-96.01912350322421,Oklahoma,OK00079
Wolf Mountain Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367580.8744354409,35.03496838212575,-94.6865884432214,Oklahoma,OK00167
The Club at Indian Springs,,,,Broken Arrow,16006,74011,,East 131st Street South,,,918-455-7431,https://www.indianspringsclub.com/,,,,,,,,,,,,,,,,,multipolygon,,1320848.8994151154,35.97029374335187,-95.79738815307256,Oklahoma,OK00014
Gaillardia Golf Course,,,,,,,,,,,,https://www.gaillardia.com,,,,,,,,,,,,,,,,,multipolygon,,1294987.730139639,35.617996941421154,-97.60994448820108,Oklahoma,OK00028
Southern Hills Country Club,,,,Tulsa,2636,74136,,East 61st Street,,,+1 918 492 3351,https://www.southernhillscc.com/,,,,,,,,,,,,,,,,,multipolygon,Q7569992,1271272.8062501496,36.07250106896198,-95.94932710277148,Oklahoma,OK00023
Cedar Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250023.0054996507,34.204494535582235,-94.73187217455519,Oklahoma,OK00106
Shangri La Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234487.6578185235,36.56759845970349,-94.8460990431719,Oklahoma,OK00104
Belmar Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151391.6474771723,35.294342038591125,-97.4305474566581,Oklahoma,OK00139
Cobblestone Golf Course,,,,Muskogee,700,74403,OK,East Smith Ferry Road,,,,,,,,,,,,,,,,,,,,,,,1104168.6977195798,35.703521727094504,-95.3639535046774,Oklahoma,OK00067
Oak Tree Country Club East Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,1072020.7526136655,35.71704078134475,-97.48852425503553,Oklahoma,OK00027
Jimmie Austin Golf Club,,,,Norman,1,73019,,Par Drive,,,405-325-6716,http://ougolfclub.com/,,,,,"Needs geometry fix, probably a multipolygon.",,,,,,,,,,,,,,1069886.406611878,35.19039644816083,-97.42998992958285,Oklahoma,OK00074
The Golf Club of Oklahoma,,,,Broken Arrow,20400,74014,,East 141st Street South,,,918-486-6575,https://www.golfcluboklahoma.com/,,,,,,,,,,,,,,,,,,,1063601.8543332007,35.96623163055543,-95.74112135710773,Oklahoma,OK00041
Fort Sill Golf Course,,,,Fort Still,1270,73503,OK,Quinette Road,,,,,,,,,,,,,,,,,,,,,,,1039942.2856000459,34.68242170209704,-98.39676713975742,Oklahoma,OK00032
Windy Trails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027249.9435813426,34.66724012935297,-99.2865975920661,Oklahoma,OK00108
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,987026.3707048986,34.37406292089928,-98.33686199456096,Oklahoma,OK00031
Crimson Creek Golf Course,,,,El Reno,801,73036,,Babcock Drive,,,+1 405 422 4653,https://www.crimsoncreekgolf.com/,,,,,,,,,,,,,,,,,,,964290.5638860045,35.527066070553026,-97.98393793945289,Oklahoma,OK00114
Cedar Ridge Country Club,,,,Broken Arrow,10302,74011,,South Garnett Road East,,,+1 918 252 2501,http://www.crccok.com/,,,,,,,,,,,,,,,,,multipolygon,,937215.9938398828,36.012456217544326,-95.85816333087999,Oklahoma,OK00015
LaFortune Park Golf Course,,,,Tulsa,5501,74135,,South Yale Avenue East,,,+1 918 496 6200,http://www.lafortunegolfclub.com/,,,,,,,,,,,,,,,,,,,920898.0794358063,36.08283757279833,-95.91806423848678,Oklahoma,OK00076
Trosper Golf Club,,,,Oklahoma City,2301,73129,,Southeast 29th Street,,,,http://okcgolf.com/trosper/,,,Bing,,,,,,,,,,,,,,,,912772.8482169423,35.439372182442995,-97.46950518509277,Oklahoma,OK00059
Rose Creek Golf Club,,,,Edmond,17031,73012,OK,North May Avenue,,,,,,,,,,,,,,,,,,,,,multipolygon,,896807.2591114009,35.64464688026828,-97.57489914595907,Oklahoma,OK00019
