check_date,name,wikidata,golf:course,addr:city,addr:postcode,addr:state,fixme,addr:housenumber,addr:street,contact:facebook,email,phone,website,addr:country,golf:par,operator,access,wikipedia,note,description,sport,wheelchair,fee,source,opening_hours,contact:website,operator:type,operator:wikidata,golf,alt_name,fax,building,building:levels,type,opening_hours:covid19,contact:youtube,area_m2,lat,lon,province,gcid
,"Bandon Dunes, Pacific Dunes & Old McDonald Golf Courses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079730.283950533,43.1990325336975,-124.39106561849785,Oregon,OR00128
,Silvies Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940902.5746512476,44.05737638245894,-118.98719604033916,Oregon,OR00185
,Aspen Lakes Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821280.0210663935,44.3003245694325,-121.48350837098317,Oregon,OR00182
,Crosswater Golf Course,,,,,,,,,,,,,,,Sunriver Resort,,,,,,,,Deschutes County (http://dial.deschutes.org/),,,,,,,,,,multipolygon,,,1514276.8339975236,43.852319823221215,-121.44768280346709,Oregon,OR00034
,Centennial Golf Club,,,Medford,97504,,,1900,North Phoenix Road,,bsackett@centennialgolfclub.com,877-893-4653,https://www.centennialgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,1483894.0402626484,42.30247787622784,-122.8223243938399,Oregon,OR00107
,Meriwether National Golf Course,Q6819598,,,,,,,,,,,,,,Merriwether Corporation,private,en:Meriwether National Golf Club,,,,,,,,,,,,,,,,,,,1452161.45016385,45.481528929417145,-122.94578597051967,Oregon,OR00068
,Pumpkin Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425024.3752125176,45.6164493182907,-123.0006212512624,Oregon,OR00184
,Tetherow Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372081.006480752,44.03246783369647,-121.36110452341522,Oregon,OR00178
,The Reserve,Q7760266,,,,,,,,,,,,,,Reserve Vineyards and Golf Club,private,en:The Reserve Vineyards and Golf Club,,,,,,,,,,,,,,,,,,,1335690.801974192,45.48468644348658,-122.92232137292216,Oregon,OR00055
,Sandelie Golf Course,,,,,,,,,,,,,,,Sandelie Golf Club Incorporated,private,,,,,,,,,,,,,,,,,,,,1148505.0521226318,45.311459289417016,-122.70048287980978,Oregon,OR00062
,Oregon Golf Club,,,,,,,,,,,,,,,National Golf Operating Partnership,private,,,,,,,,,,,,,,,,,multipolygon,,,1111736.608125846,45.32926620141435,-122.67075288687124,Oregon,OR00024
,Shadow HIlls Country Club,,,Junction City,97448,OR,,92512,Shadow Hills Country Club Drive,,,+1 541 998 2365,https://www.shadowhillscc.org/weddings.html,,,,,,Newly built clubhouse as of 2013 - Offers wedding and banquet rentals to the public and can host golf tournaments.,very flat course with challenging greens,golf,yes,,,,,,,,,,,,,,,1106685.752450232,44.173249255839806,-123.18021450934965,Oregon,OR00096
,Bandon Trails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060612.7080642122,43.17937810862937,-124.38692636544177,Oregon,OR00127
,Cougar Canyon Golf Course,,,Myrtle Creek,97457,OR,,1316,Fairway Drive,,,,,,,,,,,,,,,,Mo-Su 07:30-17:00,,,,,,,,,,,,1033283.4024081056,43.014875929003225,-123.26787297664733,Oregon,OR00164
,Glendoveer Golf Course,,,,,,,,,,,,,,,Metro,,,,,,,,,,https://www.playglendoveer.com,public,Q10793118,,,,,,,,,965227.0834105709,45.52981261826448,-122.51720719816284,Oregon,OR00042
,Tokatee Golf Club,,,Blue River,97413,OR,,54947,McKenzie Highway,,,+1-541-822-3220,https://tokatee.com/,,,Giustina,,,"Nestled in the beautiful McKenzie River Valley with glistening views of the Three Sisters Mountains, Tokatee Golf Club offers an incredible mix of postcard vistas and championship golf. http://www.oregongolf.com/courses/blue-river/tokatee/",,,yes,,,,,,,,,,,,,,,952859.5828409286,44.18027664332222,-122.21048743198844,Oregon,OR00121
,Bend Golf & Country Club,,18_hole,,,,,,,,,,https://www.bendgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,938661.8020414494,44.01286530313755,-121.31081337870613,Oregon,OR00125
,Rogue Valley Country Club,,,Medford,97504,OR,,2660,Hillcrest Road,,membership@rvcc.com,541-772-5965,https://www.rvcc.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,https://www.youtube.com/@roguevalleycountryclub576,923821.5449556726,42.32642433233054,-122.82762298461772,Oregon,OR00006
,Stone Ridge Golf Club,,,Eagle Point,97524,,,500,East Antelope Road,,,541-830-4653,https://www.stoneridgegolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,891649.6773728171,42.42233422730403,-122.78256220658736,Oregon,OR00118
,Stone Ridge Golf Club,,,Eagle Point,97524,,,500,East Antelope Road,,,541-830-4653,https://www.stoneridgegolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,891649.6773728171,42.42233422730403,-122.78256220658736,Oregon,OR00117
,Trysting Tree Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885940.6451895556,44.57125343377192,-123.24756680293167,Oregon,OR00049
,Trysting Tree Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885940.6451895556,44.57125343377192,-123.24756680293167,Oregon,OR00048
,Cross Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859953.7447290584,44.97892053351492,-123.30868856849641,Oregon,OR00172
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849702.5134128727,44.51658042966765,-122.80079675007399,Oregon,OR00175
,Bandon Sheep Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808200.3406716752,43.21905525144311,-124.39142144228633,Oregon,OR00181
,Sandpines Golf Link,Q7416514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787675.5817109424,44.00291221799736,-124.11056274786398,Oregon,OR00110
,Sandpines Golf Link,Q7416514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787675.5817109424,44.00291221799736,-124.11056274786398,Oregon,OR00111
,Illahe Hills Country Club,,,Salem,97302,,,3376,Country Club Drive South,,,503-364-0117,https://www.illahehills.com/,,,,,,,,,,,,,,,,,,,,,,,,786839.3406417891,44.910148779165745,-123.10496560232914,Oregon,OR00077
,Salishan Golf Links,,,Gleneden Beach,97388,OR,,7755,N Highway 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,774683.1199781435,44.88732093059812,-124.02786633549931,Oregon,OR00187
,Meadows Golf Course,,,,,,,,,,,,,,,Sunriver Resort,,,,,,,,Deschutes County (http://dial.deschutes.org/),,,,,,,,,,multipolygon,,,767489.6924373975,43.87323233514572,-121.44585888454748,Oregon,OR00009
,Eagle Point Golf Club,,,Eagle Point,97524,,,100,Eagle Point Drive,,,541-826-8225,https://www.eaglepointgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,766929.9866614871,42.45964682188022,-122.80345067367088,Oregon,OR00008
,Quail Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765456.0886893317,43.75811720938182,-121.49573369988694,Oregon,OR00123
,Elkhorn Valley Golf Course,,,Lyons,97358,OR,,32295,North Fork Road,,,,,,,,,,,,,,,,Mo-Fr 06:00-21:00,,,,,,,,,,,,750531.8346002541,44.802643337963346,-122.41712004866913,Oregon,OR00167
,Shield Crest Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742129.0084299229,42.1950175148183,-121.67011231283627,Oregon,OR00136
,Shield Crest Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742129.0084299229,42.1950175148183,-121.67011231283627,Oregon,OR00137
,Wildhorse Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729374.6209652502,45.654424199816184,-118.67065631029574,Oregon,OR00154
,Emerald Valley Golf Course,,,Creswell,97426,OR,,83301,Dale Kuni Road,,laine.golf@yahoo.com,+1 541 895 2174,https://www.emeraldvalleygolf.com/,,,,,,,,,,,,07:00-20:00,,,,,,,,,,,,722411.6588474696,43.92318075882372,-122.99430142489743,Oregon,OR00089
,Juniper Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720113.0403816552,44.22919453154454,-121.19472461707662,Oregon,OR00161
,Woodlands Golf Course,,,,,,,,,,,,,,,Sunriver Resort,,,,,,,,Deschutes County (http://dial.deschutes.org/),,,,,,,,,,multipolygon,,,719445.3991686159,43.9015378274071,-121.43325053212895,Oregon,OR00010
,Chehalem Glenn Golf Course,,,,,,,,,,,,,,,Chehalem Park and Recreation District,,,,,,,,,,,,,,,,,,,,,712694.7977314559,45.294668239554824,-122.9320410071559,Oregon,OR00063
,Heron Lakes Greenback,,18_hole,Portland,97217,OR,,3500,North Victory Boulevard,,,,,,,City of Portland,,,,,,,,,,https://portlandparksgolf.com/heron-lakes-course-info/,public,Q6106,course,,,,,,,,712457.0307436876,45.604805372431876,-122.70534255833893,Oregon,OR00194
,Quail Valley Golf Club,,,,,,,,,,,,,,,Quail Valley Golf Corporation,private,,,,,,,,,,,,,,,,,,,,710568.0269164776,45.614896143979195,-123.09967585922197,Oregon,OR00058
,Lost Tracks Golf Course,,18_hole,,,,,,,,,,https://www.losttracks.com/,,,,,,,,,,,,,,,,,,,,,,,,703307.5540329075,43.99005184320301,-121.31456190435674,Oregon,OR00124
,Diamond Woods Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692452.2356050647,44.2730435691713,-123.29979605593006,Oregon,OR00131
