name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,golf:course,golf:links,golf:par,phone,website,opening_hours,access,email,fax,source,old_name,owner,ownership,wikidata,wheelchair,natural,type,operator,addr:country,landuse,wikipedia,area_m2,lat,lon,province,gcid
The Aquidneck Club,,,,,,,,,,,https://www.aquidneckclub.com/,,,,,,The Carnegie Abbey Club,,,,,,,,,,,1007687.013650188,41.60814183857832,-71.26574253028896,Rhode Island,RD00044
Meadow Brook,Richmond,163,02898,,Kingstown Road,,,,,+1 401-539-8491,https://www.meadowbrookgolfri.com/,,,,,,,,,,,,,,,,,793821.3365443129,41.49573336057349,-71.66734802065974,Rhode Island,RD00037
Exeter Country Club,,,,,,,18,,72,+1-401-295-8212,http://www.exetercc.com/,,,,,,,,,,,,,,,,,788544.7465597793,41.57321587442438,-71.54519818931628,Rhode Island,RD00057
Newport National Golf Club,Middletown,324,02842,RI,Mitchells Lane,,,,,,,,,,,,,,,,,,,,,,,745408.3261787845,41.530681679381196,-71.25229736054744,Rhode Island,RD00055
Richmond Country Club,Richmond,74,02832,RI,Sandy Pond Road,,,,,+1-401-364-9200,https://www.richmondcountryclub.net/,,,,,,,,,,,,,,,,,734415.8969240253,41.471411442969824,-71.71080785766517,Rhode Island,RD00051
Alpine Country Club,,,,,,,18,,72,+1-401-943-2670,https://www.alpinecc.com/,,,,,,,,,,,,,,,,,711034.9097031809,41.78193950331837,-71.5543489463745,Rhode Island,RD00024
Newport Country Club,,,,,,,,,,,,,,,,,,,,Q2669978,,,multipolygon,,,,en:Newport Country Club,696082.3939994603,41.45993633745383,-71.34779160559609,Rhode Island,RD00016
Cranston Country Club,Cranston,69,02921,RI,Burlingame Road,,,,,+1 401 826 1683,https://cranstoncc.com/,,,golf@cranstoncc.com,+1 401 823 7880,,,,,,,,,,,,,665565.7486719419,41.739965784122425,-71.51643931992162,Rhode Island,RD00026
Cranston Country Club,Cranston,69,02921,RI,Burlingame Road,,,,,+1 401 826 1683,https://cranstoncc.com/,,,golf@cranstoncc.com,+1 401 823 7880,,,,,,,,,,,,,665565.7486719419,41.739965784122425,-71.51643931992162,Rhode Island,RD00025
Swansea Country Club,Swansea,299,02777,,Market Street,,,,,+1 508-379-9886,https://www.swanseacountryclub.com/,,,,,,,,,,,,multipolygon,,,,,660706.5752714616,41.760921494866146,-71.27441328162011,Rhode Island,RD00013
Quidnessett Country Club,North Kingstown,950,02852,,North Quidnessett Road,,,,,+1 401 884 1100,https://www.quidnessett.com/,,,,,,,,,,,,multipolygon,,,,,650328.4401066935,41.64119193851344,-71.41488725694839,Rhode Island,RD00004
