name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,website,description,email,mobile,opening_hours,operator,source,alt_name,contact:facebook,place,wikidata,golf:course,fixme,golf:par,start_date,building,golf,sport,note,access,wheelchair,type,addr:country,fee,old_name,area_m2,lat,lon,province,gcid
Sage Valley Golf Club,Graniteville,,,,,,https://www.sagevalleygolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,10460082.933609964,33.61142710719143,-81.81899927505226,South Carolina,SC00127
Sage Valley Golf Club,Graniteville,,,,,,https://www.sagevalleygolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,10460082.933609964,33.61142710719143,-81.81899927505226,South Carolina,SC00126
Haig Point,,,,,,,,,,,,,,,,neighbourhood,Q5639078,,,,,,,,,,,,,,,5098062.889301109,32.132214104919015,-80.8447047945003,South Carolina,SC00217
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593107.8212287994,33.111075085176914,-80.24230512765406,South Carolina,SC00347
Legends Golf and Resort,Myrtle Beach,1500,29579,,Legends Drive,+1-800-299-6187,https://www.legendsgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2574029.1527256602,33.742849590557775,-79.00759576153568,South Carolina,SC00052
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549719.3762632958,33.80435496072077,-78.98119496958792,South Carolina,SC00204
Wild Wing Golf Course,Conway,1000,29526,SC,Wild Wing Blvd,+1-843-347-9464,https://www.playwildwing.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2371738.6401144816,33.8025276451741,-78.97884498191509,South Carolina,SC00185
Fort Jackson Golf Club,,3652,,,Semmes Road,803-787-4344,http://fortjacksonmwr.com/golf/,,,,,,,,,,,,,,,,,,,,,,,,,2236551.4796278113,33.99571285855884,-80.92272523424407,South Carolina,SC00245
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2189496.2752267295,32.32624119376775,-80.81894777001227,South Carolina,SC00133
Old Tabby Golf Links,Okatie,42,29909,SC,Mobley Oaks Ln,,,,,,,Spring Island,,,,,,private,,,,,,,,,,,,,,2189496.2752267295,32.32624119376775,-80.81894777001227,South Carolina,SC00315
Cheraw State Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1937028.1078899312,34.64112017798853,-79.90900857542476,South Carolina,SC00174
Myrtlewood Golf Club,Myrtle Beach,1500,29577,SC,48th Avenue North,+1-843-913-4516,https://www.myrtlewoodgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1815108.7629039846,33.734075424662564,-78.87191907843251,South Carolina,SC00186
The Wizard / Man O' War Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805959.0503660857,33.77324979122258,-78.96216636856089,South Carolina,SC00190
Shadow Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795376.0983216304,34.14945467013658,-79.69806726543646,South Carolina,SC00298
Kiawah Island Club - Cassique,Kiawah Island,,29455,SC,,,https://www.kiawahisland.com/island-club/golf/cassique-golf/,,,,,,,,,,,,,,,,,,,,,,,,,1760999.8967191703,32.59455503309647,-80.14582272984366,South Carolina,SC00346
Kiawah Island Club - Cassique,Kiawah Island,,29455,SC,,,https://www.kiawahisland.com/island-club/golf/cassique-golf/,,,,,,,,,,,,,,,,,,,,,,,,,1760999.8967191703,32.59455503309647,-80.14582272984366,South Carolina,SC00345
Arrowhead Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1651682.3290167674,33.70543189043418,-78.95130088427354,South Carolina,SC00100
Shadowmoss Plantation Golf Club,Charleston,21,29414,SC,Dunvegan Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,1618341.9801931055,32.842536939514524,-80.07396787337755,South Carolina,SC00310
Oak Hills Golf Club,Columbia,7629,29203,,Fairfield Road,803-735-9830,http://www.oakhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,1601037.8599801005,34.113134643196126,-81.03653422333274,South Carolina,SC00253
MB National Kings North GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600193.7353416474,33.79739605569598,-78.96711657755813,South Carolina,SC00203
Chechessee Creek Club,Okatie,18,29909,SC,Chechessee Creek Dr,,,,,,,Private Golf Club,,,,,,,,,,,,,,,,,,,,1583615.8180705917,32.35409533682055,-80.85516866181514,South Carolina,SC00344
Keowee Springs Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564897.4817124873,34.86096288096538,-82.86335457672016,South Carolina,SC00281
Hidden Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529094.1050259864,33.83761240225334,-81.13142094704146,South Carolina,SC00297
The Country Club of South Carolina,Florence,3525,29506,,McDonald Boulevard,+1 843 669 0920,https://www.countryclubsc.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1499402.1092679529,34.25064860854535,-79.67731988634267,South Carolina,SC00043
Musgrove Mill Golf Club,,,,,,,https://www.musgrovemill.com/,,,,,,,,,,,,,,,,,golf,,,,multipolygon,,,,1493158.3967881156,34.59213261137313,-81.84260938105162,South Carolina,SC00152
Kiawah Island Golf Resort - The Ocean Course,Kiawah Island,,29455,SC,,+1-843-266-4670,https://kiawahresort.com/golf/the-ocean-course/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1478188.3532771496,32.61217303416476,-80.01918143928425,South Carolina,SC00179
Unknown Golf Course,,,,,,,https://www.clubcorp.com/Clubs/Woodside-Plantation-Country-Club/,,,,,Woodside Plantation Country Club,,,,,,,,,,,,,,,,multipolygon,,,,1465756.6630722317,33.49669845546402,-81.7356479730573,South Carolina,SC00056
Unknown Golf Course,,,,,,,https://www.clubcorp.com/Clubs/Woodside-Plantation-Country-Club/,,,,,Woodside Plantation Country Club,,,,,,,,,,,,,,,,multipolygon,,,,1465756.6630722317,33.49669845546402,-81.7356479730573,South Carolina,SC00057
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433981.8415545677,33.815652061722986,-78.70807293602732,South Carolina,SC00327
Cobblestone Park Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425423.4896254176,34.22559582188341,-80.99476107412895,South Carolina,SC00238
Mount Vintage Golf Course,North Augusta,215,29860,,Mount Vintage Plantation Drive,+1-803-278-5000,https://www.mountvintage.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1381901.4589251992,33.67559322997277,-81.96414905459781,South Carolina,SC00045
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374921.3043014775,33.00414685595349,-80.0783016438477,South Carolina,SC00194
Grande Dunes Resort Course,Myrtle Beach,8700,29572,,Golf Village Lane,877-283-2122,https://www.grandedunesgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1343467.1484529853,33.76635121796145,-78.82275020735744,South Carolina,SC00050
Sun City - Hidden Cypress Golf Club,Bluffton,672,29910,SC,Cypress Hills Drive,+1-843-705-4999,https://golfinsuncity.com/hidden_cypress/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1334969.6034388014,32.282805495272854,-80.98365967841795,South Carolina,SC00163
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333997.7777108273,34.056121417729706,-78.83202811069683,South Carolina,SC00260
The Sea Pines Resort,Hilton Head Island,100,29928,SC,North Sea Pines Drive,+1-843-842-1477,https://www.seapines.com/golf/courses,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1298667.4845588906,32.13164310423477,-80.79277479163518,South Carolina,SC00097
Indian Trail Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295396.6192615032,33.86182568939039,-81.54345169056009,South Carolina,SC00301
The Creek Golf Club,Spartanburg,640,29302,SC,Keltner Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,1288434.2818889874,34.91150125021492,-81.86102117689681,South Carolina,SC00235
May River Golf Course,Bluffton,350,29910,,Mount Pelia Road,+1 843 706 6580,https://www.montagehotels.com/palmettobluff/experiences/golf/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1284997.5525638391,32.21458032176326,-80.8893189323803,South Carolina,SC00120
The Walker Course at Clemson University,Clemson,210,29634,SC,Madren Center Dr,,,,,,,,,,,,Q7962260,,,,,,,,,,,multipolygon,,,,1264753.5420298665,34.66519569414542,-82.83777269044799,South Carolina,SC00111
Charwood Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264316.8335079593,33.90087508954743,-81.09846733292964,South Carolina,SC00248
The Reserve Golf Club,Pawleys Island,18,29585,,Reserve Drive,843-235-0755,https://www.thereservegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,1240895.9709111631,33.49526488246962,-79.10904591823703,South Carolina,SC00242
Wescott Golf Club,North Charleston,5000,29485,,Wescott Club Drive,+1 843 871 2135,https://www.wescottgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1239384.149975336,32.94396351366276,-80.13644859575788,South Carolina,SC00108
Wescott Golf Club,North Charleston,5000,29485,,Wescott Club Drive,+1 843 871 2135,https://www.wescottgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1239384.149975336,32.94396351366276,-80.13644859575788,South Carolina,SC00107
River Oaks Golf Plantation,,,,,,,,,,,,,,,,,,,,,,,,,"Closing soon, got bought and soon going to be replaced by houses",,,multipolygon,,,,1238767.2390493632,33.72669549732982,-78.9142896428188,South Carolina,SC00130
Columbia Country Club,Blythewood,135,29016,,Columbia Club Drive,+1 803 754 8100,https://columbiacountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,1233842.167879157,34.1837188637436,-80.93194996403483,South Carolina,SC00250
Melrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1231985.3598104683,32.11032127290632,-80.85408656791596,South Carolina,SC00113
Carolina Lakes Golf Club,Indian Land,23012,29707,SC,Kingfisher Drive,,http://www.carolinalakesgc.com/,,,,Mo-Su 08:00-17:00,,,,,,,,,,,,,,,,,multipolygon,,,,1216913.8228352948,34.928942907598405,-80.84967937771128,South Carolina,SC00122
Grande Dunes Members Course,,,,,,,https://grandedunes.com/community/#members-course,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1216719.822473273,33.78276584236006,-78.80142073406658,South Carolina,SC00049
Santee Cooper Country Club,Santee,630,29142,SC,Santee Drive,+1-803-854-2467,https://santeecoopercc.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1206444.5486779422,33.49010293299158,-80.4593920450702,South Carolina,SC00119
Woodcreek,,,,,,,https://woodcreekclub.com/golf/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1197670.2064042082,34.126170680245274,-80.82225522972401,South Carolina,SC00090
Kiawah Island Club - River Course,St Johns,,,SC,,+1-843-459-9538,https://kiawahresort.com,,,,,,,,,,Q6403903,,,,,,,,,,,multipolygon,,,,1194828.8726674668,32.60930313074798,-80.0966432630286,South Carolina,SC00180
Chester Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181784.2138798577,34.71468940099239,-81.1389874261011,South Carolina,SC00341
The Traces Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1157490.170551402,34.19472386810406,-79.89208990567879,South Carolina,SC00110
Dunes Golf & Beach Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144025.8161128212,33.763145825532554,-78.79807051249652,South Carolina,SC00309
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132581.7004255871,33.99213486787104,-78.75921733354895,South Carolina,SC00353
Charwood Country Club,West Columbia,222,29172,,Clubhouse Drive,803-755-2000,https://www.charwood.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1117488.4639098868,33.90115979514237,-81.09815213638667,South Carolina,SC00088
Sun City - Okatie Creek Golf Club,Bluffton,60,29910,SC,Sun City Club Lane,+1-843-703-4653,https://golfinsuncity.com/okatie_creek/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1099242.8210924799,32.291449742053466,-80.95564488158574,South Carolina,SC00161
Carolina Springs Golf Club,,,,,,,https://carolinaspringsgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,1085137.5940276885,34.73694956831258,-82.18834817532232,South Carolina,SC00255
Ponderosa Country Club,Leesville,190,29070,SC,Durango Drive,+1 803 532 3472,https://www.theponderosacountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,1080678.977414196,33.93750615541,-81.54491300689408,South Carolina,SC00313
World Tour Golf Links,Myrtle Beach,2000,29579,SC,World Tour Blvd,+1-843-236-2000,https://www.theworldtourgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,1072263.6507383843,33.73564242312966,-78.9098027548577,South Carolina,SC00266
River Chase Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070950.7179587414,34.68867828595048,-81.7011755920288,South Carolina,SC00233
Linrick Golf Course,,,,,,,,,,,,Richland County,,,,,,,,,,,,,,,,,,,,1063701.135664516,34.149028375017565,-81.08988784992468,South Carolina,SC00320
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055399.7655286945,34.90356249518428,-82.861542281973,South Carolina,SC00323
True Blue Golf Plantation,Pawleys Island,900,29585,,Blue Stem Drive,843-235-0900,https://fishclub.com/true-blue/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1036470.7092823505,33.442279635893044,-79.14676688162035,South Carolina,SC00080
Shipyard Golf Club,Hilton Head Island,,,SC,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1035076.8397756579,32.15492938117558,-80.74661087163715,South Carolina,SC00115
Mid Carolina Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031455.3214268982,34.23374595033384,-81.45754818252296,South Carolina,SC00293
Sun City - Argent Lakes Golf Course,Hardeeville,1291,29927,SC,Sargent William Jasper Boulevar,+1-843-645-0507,https://golfinsuncity.com/argent_lakes/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1029965.8598026951,32.307417793695706,-80.95566246435816,South Carolina,SC00162
Tega Cay Golf Club,Tega Cay,15083,29708,SC,Molokai Drive,+1-803-548-3500,https://tegacaygolfclub.com/,,,,,,,,,,,27_hole,,,,,,,,,,multipolygon,,,,1026624.376903092,35.03729806552641,-81.02052941745013,South Carolina,SC00123
