name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,source,addr:state,email,old_name,operator,access,golf:course,sport,fixme,golf:par,start_date,facebook,type,opening_hours,addr:country,area_m2,lat,lon,province,gcid
Elkhorn Ridge Golf Club,,,,,,,,,,,,,,,,,,,multipolygon,,,1905013.6838223545,44.48009937814941,-103.72604158049252,South Dakota,SD00004
Sutton Bay Golf Course,,,,,,,,,,,,,,,boundary approximate,,,,,,,1781611.601177622,44.89859115369348,-100.36572974281435,South Dakota,SD00097
Broadland Creek National Golf Course,,,,,+1 605 3538525,https://www.broadlandcreekgolf.com,,,broadlandcreekgolf@outlook.com,,,,,,,,,,,,,1300102.110888291,44.39430364439089,-98.22310005397622,South Dakota,SD00046
Elmwood Golf Course,Sioux Falls,2604,57104,West Russell Street,+1-605-367-7092,https://dakotagolf.com/course/elmwood/,,SD,,,Dakota Golf Management,,,,,,,,,,,1188877.3670550585,43.57010139413521,-96.75857790800166,South Dakota,SD00062
Prairie Winds Golf Club,,,,,,https://golfprairiewinds.com/,Bing,,,,,,,,,,,,multipolygon,,,990831.5028706285,44.90695363548812,-97.20492318846979,South Dakota,SD00020
Country Club of Sioux Falls,Sioux Falls,3400,57105,West 22nd Street,+1-605-336-3737,https://www.ccsf.club/Club/Scripts,,SD,info@ccsf.club,Westward Ho Country Club,,,,,,,,,,,,950196.1291960585,43.53252979049144,-96.7734524703569,South Dakota,SD00061
Hart Ranch Golf Club,Rapid City,23645,57702,Clubhouse Drive,+1-605-341-5703,https://www.hartranch.com/,,SD,,,,,,,,,,,,,,936709.8528334716,43.97689353542478,-103.23866296857044,South Dakota,SD00094
Cattail Crossing Golf Course,,,,,,https://www.watertownsd.us/index.aspx?NID=349,Bing,,,,,,,,,,,,multipolygon,,,916718.1723084393,44.916100367335474,-97.17930130066952,South Dakota,SD00021
Fox Run Golf Course,,,,,,,,,,,,,,,,,,,,,,863591.19357773,42.902873177683865,-97.40849152738997,South Dakota,SD00064
Prairie Green Golf Course,Sioux Falls,600,57108,East 69th Street,,https://www.dakotagolf.com/prairiegreen,Bing,SD,,,,,,,,,,,multipolygon,,,813035.9742806675,43.48988782867036,-96.72194818085013,South Dakota,SD00028
Lakeview Golf Course,Mitchell,3300,57301,North Ohlman Street,,,,SD,,,,,,,,,,,,,,805124.9176738382,43.73930902199609,-98.0391179598187,South Dakota,SD00066
Dakota Dunes Country Club,Dakota Dunes,960,57049,South Dakota Dunes Boulevard,+1 605-232-3000,https://www.dakotadunescountryclub.com/,,,,,,,,,,,,,multipolygon,,,744887.0516707037,42.488617074382766,-96.49111300113107,South Dakota,SD00006
Elks Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,738743.6246304354,44.04799624966654,-103.15661315529215,South Dakota,SD00012
Bakker Crossing Championship Golf Course,,,,,,,,,,,,,,,,,,,,,,733799.799552522,43.44742663411375,-96.772058791426,South Dakota,SD00081
Moccasin Creek Country Club,,4807,57401,130th Street,,https://moccasincreekcc.com/,Bing,,,,,,,,,,,,,,,723563.3234439951,45.508265420263896,-98.41698138299178,South Dakota,SD00056
The Bluffs,Vermillion,2021,57069,East Main Street,+1 605-677-7058,https://www.thebluffsgc.com/,,SD,,,,,,golf,,,,,multipolygon,,,716476.4162105813,42.77336923375445,-96.89959913933966,South Dakota,SD00017
Hillsview Golf Club,Pierre,4201,57501,State Highway 34,,,,SD,,,,,,,,,,,,,,709373.3208744032,44.34804592672781,-100.2994001252778,South Dakota,SD00038
Willow Run Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,700094.9681447615,43.53540243690894,-96.62226073930567,South Dakota,SD00048
