name,website,addr:city,addr:state,addr:housenumber,addr:postcode,addr:street,operator,opening_hours,access,phone,source,wikidata,sport,area,addr:country,contact:phone,wikipedia,description,start_date,landuse,ref,golf:course,golf:par,fixme,distance,par,golf,note,type,ele,gnis:feature_id,facebook,area_m2,lat,lon,province,gcid
Heatherhurst Golf Club,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,3449450.177113142,36.036958214971385,-84.88506301735178,Tennessee,TN00241
The Grove Greg Norman Golf Course,https://groveliving.com/golf/,College Grove,TN,6200,37046,Wildings Boulevard,,,,+1-615-368-3044,,,,,,,,,,,,,,,,,,,,,,,3164457.3616642356,35.81769902462694,-86.72961383024902,Tennessee,TN00216
Troubadour Golf and Field Club,https://thetroubadourclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914851.907957897,35.82783443952529,-86.67759238714683,Tennessee,TN00238
Sevierville Golf Club,,,,,,,City of Sevierville,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2480220.3656938365,35.90292764149352,-83.58993630993479,Tennessee,TN00046
Ross Creek Landing Golf Course,https://www.rosscreeklandinggolfclub.com/,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,2381788.230183352,35.378589801790646,-87.974027149521,Tennessee,TN00192
Graysburg Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251061.8979044626,36.31238274750295,-82.70767348604065,Tennessee,TN00215
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2090776.054864555,36.01919623890964,-86.9536691228908,Tennessee,TN00027
Hermitage Golf Course,https://www.hermitagegolf.com/,Old Hickory,TN,3939,37138,Old Hickory Boulevard,,,,+1-615-987-0324,,,,,,,,,,,,,,,,,,,,,,,1991320.9737586637,36.228643246202786,-86.64042412813173,Tennessee,TN00169
Druid Hills Golf Club,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,1782447.5532168008,35.997410201986334,-84.88738275438985,Tennessee,TN00242
Windyke Country Club,https://www.windyke.com/,Memphis,,8525,38125,Winchester Road,,,,+1-901-754-1888,,,,,,,,,,,,,,,,,,,,,,,1767327.8398628305,35.04251336035475,-89.7775960623485,Tennessee,TN00117
Windyke Country Club,https://www.windyke.com/,Memphis,,8525,38125,Winchester Road,,,,+1-901-754-1888,,,,,,,,,,,,,,,,,,,,,,,1767327.8398628305,35.04251336035475,-89.7775960623485,Tennessee,TN00118
Tennessee National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1604238.422295199,35.76565574598242,-84.41137973617771,Tennessee,TN00040
Tennessee National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1604238.422295199,35.76565574598242,-84.41137973617771,Tennessee,TN00039
The Links at Davy Crockett,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/LinksatDavyCrockett.aspx,Memphis,,4380,,Ridgeline Road,,,,+1-901-358-3375,,,,,,,,,,,,,,,,,,,multipolygon,,1282208,,1542529.3315617887,35.24231104544622,-89.97146347876573,Tennessee,TN00013
Bufford Ellington Golf Course,https://tnstateparks.com/golf/course/henry-horton,Chapel Hill,TN,4358,37034,Nashville Highway,,,,+1-931-364-2319,,,,,,,,,,,,,,,,,,,,,,,1392093.452742264,35.58464795335161,-86.69913667646615,Tennessee,TN00156
Patriot Hills Golf Club,,Jefferson City,TN,735,37760,Constitution Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,1335748.039404377,36.0581279043679,-83.48169101516689,Tennessee,TN00184
The Honors Course,https://www.honorscourse.net/,Ooltewah,,9603,37363,Lee Highway,,,,423-238-4272,,Q16892375,,,,,,,,,,,,,,,,,,,,,1297274.7187967135,35.08727802821882,-85.0465368992648,Tennessee,TN00102
Fair Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236972.6440318937,35.24030694651924,-89.51007421591348,Tennessee,TN00198
The Golf Club at WindRiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1214719.072733189,35.746759912929356,-84.23404091891996,Tennessee,TN00048
Memphis National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208338.2893768502,35.07320372869885,-89.72008733366246,Tennessee,TN00133
Pine Creek Golf Club,https://www.pinecreekgolf.net/,Mount Joliet,TN,1835,37122,Logue Road,,,,+1-615-449-7272,,,,,,,,,,,,,,,,,,,,,,,1176624.2880012214,36.12448874525155,-86.47165687646074,Tennessee,TN00123
Harpeth Hills Golf Course,https://www.nashville.gov/departments/parks/golf-courses/harpeth-hills-golf-course,Nashville,TN,2424,37221,Old Hickory Blvd,,,,+1-615-862-8493,,,,,,,,,,,,,,,,,,,,,,,1163157.1981055366,36.05516958056175,-86.8826559719601,Tennessee,TN00090
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154584.2847479722,36.089222426202,-87.26517502062418,Tennessee,TN00204
Nashville Golf & Athletic Club,https://www.ngac.net/,Brentwood,TN,1703,37027,Crockett Springs Trail,,,,+1-615-370-3346,,,,,,,,,,,,,,,,,,,,,,,1154343.691811995,35.95941048493142,-86.78839142690573,Tennessee,TN00146
The Governors Club,https://www.thegovernorsclub.com/,Brentwood,TN,18,37027,Governors Way,,,,+1-615-776-4311,,,,,,,,,,,,,,,,,,,multipolygon,,,,1141482.6452273068,35.97909164677233,-86.73187661165409,Tennessee,TN00031
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140645.544590625,35.95201258054574,-86.84155478060906,Tennessee,TN00066
Unknown Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,1128246.8964643527,36.430450482372144,-88.09247687351282,Tennessee,TN00138
Warrior's Path State Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116184.1076813075,36.504827102641684,-82.47778053486776,Tennessee,TN00232
Lambert Acres Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077149.7107860653,35.74809140354266,-83.88489512899595,Tennessee,TN00230
Indian Hills Golf Course,https://www.indianhillsgc.com/,Murfreesboro,TN,405,37127,Calumet Trace,,,,+1-615-895-3642,,,,,,,,,,,,,,,,,,,multipolygon,,,,1076781.7437937495,35.79364011399381,-86.39405627952564,Tennessee,TN00051
Indian Hills Golf Club,https://www.indianhillsgc.com/,Murfreesboro,TN,405,37127,Calumet Trace,,,,+1-615-895-3642,,,,,,,,,,,,,,,,,,,,,,,1076781.7437937495,35.79364011399381,-86.39405627952564,Tennessee,TN00143
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,"boundary was guessed, innaccurate. What is the name?",,,,,,,,,1070934.4014267698,36.46130604327726,-89.06159415519942,Tennessee,TN00225
Ridgeway Country Club,https://www.ridgewaycountryclub.com/,Memphis,,9800,38139,Poplar Avenue,,,,901-853-2247,,,,,,,,,,,,,,,,,,,,,,,1027661.9917865663,35.06230708793114,-89.73554590279427,Tennessee,TN00116
TPC Southwind,https://tpc.com/tpc-southwind,Memphis,,3325,38125,Club at Southwind,,,,901-748-0330,,Q7671120,,,,,,,,,,,,,,,,,multipolygon,,,,1013418.2297515481,35.054472589530626,-89.77943846883691,Tennessee,TN00016
TPC Southwind,https://tpc.com/tpc-southwind,Memphis,,3325,38125,Club at Southwind,,,,901-748-0330,,Q7671120,,,,,,,,,,,,,,,,,multipolygon,,,,1013418.2297515481,35.054472589530626,-89.77943846883691,Tennessee,TN00017
Lakewood Golf & Country Club,http://www.lakewoodgcctullahoma.com/,Tullahoma,,1900,37388,Country Club Drive,,,,+1 931 455 8770,,,,,,,,,,,,,,,,,,,,,,,967487.54522697,35.38971703805221,-86.21036456197476,Tennessee,TN00165
Greystone Golf Club,https://www.greystonegc.com/,Dickson,TN,2555,37055,Highway 70 East,,,,+1-615-446-0044,,,,,,,,,,,,,,,,,,,,,,,957425.1628156385,36.09209327180216,-87.3370878647127,Tennessee,TN00161
Cole Park Golf Course,https://campbell.armymwr.com/programs/cole-park-golf-course,Fort Campbell,KY,1601,42223,Club Loop,,08:15-16:30,,+1-270-798-4906,,,,,US,,,,,,,,,,,,,,multipolygon,,,,948012.593562886,36.61269526682156,-87.44056305923003,Tennessee,TN00019
The Greens at Deerfield,,La Follette,TN,161,37766,The Clubhouse Drive,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,936642.281212224,36.34759317865222,-84.00639031104436,Tennessee,TN00036
Colonial Country Club,https://www.colonialcountryclub.org/index.php/golf,,,,,,,,,,,Q5148309,,,,,,,,,,,,,,,,,,,,,934101.5737769065,35.19428648932488,-89.77785527605694,Tennessee,TN00131
Colonial Country Club,https://www.colonialcountryclub.org/index.php/golf,,,,,,,,,,,Q5148309,,,,,,,,,,,,,,,,,,,,,934101.5737769065,35.19428648932488,-89.77785527605694,Tennessee,TN00132
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907853.8176365306,35.34229646932493,-89.85807445947817,Tennessee,TN00208
Island Pointe Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885709.6483504644,35.96096612343204,-83.66425767827982,Tennessee,TN00219
Farms Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,876350.2332667107,36.05858446838351,-89.4105793190817,Tennessee,TN00032
Bear Trace at Cumberland Mountain State Park,https://tnstateparks.com/golf/course/bear-trace-at-cumberland-mountain,Crossville,TN,407,38572,Wild Plum Lane,,,,+1-931-707-1640,,,,,,,,,,,,,,,,,,,,,,,876117.1787061525,35.891636524649385,-85.00820509120265,Tennessee,TN00234
