addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,name,phone,website,note,wikidata,alt_name,access,natural,golf:course,golf:par,operator,golf,sport,source,designation,opening_hours,fixme,contact:phone,contact:website,email,old_name,building,landuse,type,area_m2,lat,lon,province,gcid
,,,,,18 hole Par 72,The Links at Overlake,+1 435 882 8802,http://www.overlakegolf.com/,,,,,,,,,,,,,,,,,,,,,,3525036.977568401,40.580482882291754,-112.32326260455808,Utah,UT00083
Hurricane,5625,84737,UT,West Clubhouse Drive,18 hole Par 72 Championship Course & 9 hole Par 36 Links Course & 9 hole Pitch & Putt Wee Course,Sand Hollow Resort,+1-435-656-4653,https://sandhollowresorts.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,2104218.983437624,37.117077498071964,-113.4128164693308,Utah,UT00012
,,,,,,Sand Hollow Resort Golf Course,,,,,,,,,,,,,,,,,,,,,,,,2104218.983437624,37.117077498071964,-113.4128164693308,Utah,UT00075
,,,,,18 hole Par 72,Promontory Club - Jack Nicklaus Course,+1 435-333-4600,https://www.promontoryclub.com/,,,,private,,,,,,,,,,,,,,,,,,2039922.6862156487,40.722194864134536,-111.44111820470803,Utah,UT00104
,,,,,18 hole Par 72 Gold Course & 18 hole Par 72 Silver Course,Soldier Hollow Golf Course,+1 435-654-7442,http://www.soldierhollowgolf.com/,,,,,,36_hole,72 + 72,,,,,,,,,,,,,,,1928854.4984092067,40.486187220447064,-111.49480932519728,Utah,UT00040
,,,,,18 hole Par 72,Red Ledges,+1 877-733-5334,https://www.redledges.com/,,Q7304471,,private,,,,,,,,,,,,,,,,,,1576860.987738089,40.5156997783781,-111.37533483082584,Utah,UT00106
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,1571187.06386604,40.90886827741364,-111.43589710885396,Utah,UT00154
,,,,,18 hole Par 71 Mountain Course & 18 hole Par 72 Lake Course,Wasatch Mountain State Golf Course,+1 435-654-0532,http://www.wasatchgolfcourse.com/,,,,,,36_hole,71 + 72,,,,,,,,,,,,,,multipolygon,1424102.433367319,40.54127351081448,-111.49835995669717,Utah,UT00038
Parley's Canyon;Salt Lake City,Exit 134,84109,UT,I-80,18 hole Par 71 Lake Course & 18 hole Par 72 Canyon Course,Mountain Dell Golf Course,+1-801-582-3812,https://www.slc-golf.com/mountain-dell.html,,,,,,36_hole,71 + 72,Salt Lake City,,,,,,,,,,,,,multipolygon,1377261.3382834732,40.75084361852835,-111.6980651182986,Utah,UT00021
,,,,,,Black Desert Golf Course,,,,,,,,,,Black Desert Resort,,,,,,,,,,,,,,1368630.579869529,37.155254892449726,-113.65156930149621,Utah,UT00152
,,,,,18 hole Par 72,Round Valley Golf Course,+1 801 829 3796,http://www.roundvalleygolf.com/,,,,,,,,,,golf,,,,,,,,,,,,1368067.3926681234,41.04410784212656,-111.62350978019754,Utah,UT00070
,,,,,18 hole Par 72,South Mountain Golf Course,+1 385 468 1480,http://www.slcountygolf.com/cSouthMountain/index.html,,,,,,,,,,,,,,,,,,,,,multipolygon,1244769.8960865103,40.493939118155375,-111.85578522316192,Utah,UT00034
,,,,,18 hole Par 72,South Mountain Golf Course,+1 385 468 1480,http://www.slcountygolf.com/cSouthMountain/index.html,,,,,,,,,,,,,,,,,,,,,multipolygon,1244769.8960865103,40.493939118155375,-111.85578522316192,Utah,UT00035
St. George,2366,84770-1858,UT,West Sunbrook Drive,3 x 9 hole Par 36 Woodbridge & Point & Black Rock Course,Sunbrook Golf Club,+1 435 627 4400,http://stgeorgecitygolf.com/sunbrook.php,,,,,,27_hole,36 + 36 + 36,,,,,,,,,,,,,,,1206137.636084618,37.10788009924832,-113.63271933680375,Utah,UT00093
,,,,,18 hole Par 72,Tuhaye Golf Course (Talisker Club),+1 435 333 3600,http://talisker.com/golf.html,,,,private,,,,,,,,,,,,,,,,,,1112290.4962236704,40.62477585053541,-111.36807827557463,Utah,UT00109
,,,,,18 hole Par 72,Promontory Club - Pete Dye Course,+1 435-333-4600,https://www.promontoryclub.com/,,,,private,,,,,,,,,,,,,,,,,,1100214.6896470129,40.74830738131654,-111.45192929111965,Utah,UT00105
,,,,,3 x 9 hole Par 36 Lakes & Valley & Mountain Course,Hidden Valley Country Club,+1 801 571 0583,https://www.hiddenvalley.cc/,,,,,,,,,,,,,,,,,,,,,,1091732.534644862,40.53463303552579,-111.83576097122506,Utah,UT00076
West Valley City,4415,84120,UT,Links Drive,3 x 9 hole Par 36 Creekside & Sagebrush & Sunrise Courses,Stonebridge Golf Club,+1 801-957-9000,https://www.golfstonebridgeutah.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,1056031.6546385598,40.712948730836544,-111.99525345760601,Utah,UT00010
