name,operator,access,golf:course,website,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,contact:facebook,website2,addr:state,phone,gnis:feature_id,sport,fixme,source,email,tourism,golf,landuse,ref,resort,description,old_name,wikidata,wikipedia,wheelchair,addr:county,opening_hours,building,name:zh,name:zh-Hans,ref:fcpa,fax,addr:country,type,cr:blue,cr:red,cr:white,sr:blue,sr:red,sr:white,building:levels,leisure_1,alt_name,contact:email,area_m2,lat,lon,province,gcid
Viniterra Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2909497.697930443,37.5395977867174,-77.07478823355217,Virginia,VA00244
Newport News Golf Club at Deer Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571843.4394818973,37.18352792317406,-76.524983998775,Virginia,VA00196
Birdwood Golf Course,,,,https://www.boarsheadresort.com/golf,Charlottesville,410,22903,Golf Course Drive,,,,,,+1 434 293 4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437622.880565216,38.03986646643904,-78.54206934809572,Virginia,VA00253
Potomac Shores Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287482.225549964,38.57846387279518,-77.28173525563253,Virginia,VA00198
Potomac Shores Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287482.225549964,38.57846387279518,-77.28173525563253,Virginia,VA00199
Bay Creek Golf Course,,,,https://www.baycreek.net/,Cape Charles,1,23310,Clubhouse Way,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,2058714.9824480054,37.24861115907723,-76.00925675311102,Virginia,VA00072
The Pines Golf Course,,,27_hole,https://jble-eustismwr.com/morale/the-pines-golf-course/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1948867.366714997,37.139578263027765,-76.59696122177006,Virginia,VA00053
The Manor Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914751.7212158763,37.24560170897956,-78.40728320981702,Virginia,VA00174
The Manor Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914751.7212158763,37.24560170897956,-78.40728320981702,Virginia,VA00173
Trump National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,Lowes Island Golf Club,Q20714076,"en:Trump National Golf Club Washington, D.C.",,,,,,,,,,,,,,,,,,,,,1887978.2004400357,39.05828807776792,-77.34749494237559,Virginia,VA00175
Pendleton Golf Club,,,,https://www.pendletongolfva.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850828.0506837855,38.0036449750693,-77.53794305030759,Virginia,VA00318
Bull Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848470.4538567404,38.87949611587884,-77.64195204567223,Virginia,VA00144
Unknown Golf Course,,,,,,,,,,,,,,,,,improve boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833448.360261884,37.095792092005894,-79.57244552484912,Virginia,VA00290
Ballyhack Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693738.6431898728,37.23062861172437,-79.89010205048075,Virginia,VA00264
Royal New Kent Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1682688.7487223225,37.475241472595904,-77.0181027657019,Virginia,VA00061
Aeropines Golf Course,,,,,,,,,,,,,,,,,,,,,driving_range,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,1670128.5817829247,36.798770383270515,-76.02809648252935,Virginia,VA00225
Virginia Beach National Golf Club,,,18_hole,https://www.vbnational.com/,Virginia Beach,2500,23456,Tournament Drive,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645585.1993613502,36.75651939439992,-76.07479470796513,Virginia,VA00294
Rock Harbor Golf Courses (Boulder Course & Rock Course),,,,https://www.rockharborgolf.com/,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634930.1414376555,39.18216613778526,-78.21292834435933,Virginia,VA00178
Chatmoss Country Club,,,,https://www.chatmosscc.org/,Martinsville,550,24112,Mount Olivet Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621861.2637960478,36.666016872362974,-79.80839531641419,Virginia,VA00281
Hermitage Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5741805,,,,,,,,,,,multipolygon,,,,,,,,,,,1616744.2736905797,37.648630565715344,-77.70533414892594,Virginia,VA00046
Twin Lakes Golf Course,Fairfax County Park Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,,,multipolygon,,,,,,,,,,,1597689.5901486317,38.821189204798145,-77.404039871153,Virginia,VA00011
Kingsmill Resort: The River Course,,,18_hole,https://www.kingsmill.com/,Williamsburg,1010,23185,Kingsmill Road,,,,,,757-253-1703,,,,,,,,,,,,,Q14712673,,,,,,,,,,,multipolygon,,,,,,,,,,,1556589.9929283904,37.22922997676894,-76.67479916864247,Virginia,VA00044
Stumpy Lake Golf Course,,,,https://www.stumpylakegolf.com,Virginia Beach,4797,23456,Indian River Road,,,,,VA,+1-757-467-6119,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1539973.553014955,36.76801979030909,-76.1615447399912,Virginia,VA00084
Boonsboro Country Club,,,,https://boonsborocc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496202.4577139202,37.45871087709315,-79.2530469195849,Virginia,VA00254
Laurel Hill Golf Club,Fairfax County Park Authority,,,https://www.fairfaxcounty.gov/parks/golf/lhgc/,Lorton,8701,22079,Laurel Crest Drive,,,,,VA,+1 703-493-8849,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1466414.5506094508,38.714321390588054,-77.2467479754493,Virginia,VA00015
Lakeview Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1441495.9911757566,38.38959101842902,-78.82895479439581,Virginia,VA00097
Fort Belvoir Golf Club,,,,https://belvoir.armymwr.com/programs/golf-club,Fort Belvoir,8450,22060,Beulah Street,,,,,VA,+1-703-806-5878,,,,,,,,,,,,,,,,,,,,,,+1-703-806-5245,,multipolygon,,,,,,,,,,,1423219.5308566461,38.72886247727888,-77.16374155403855,Virginia,VA00013
Primland Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418158.3823575776,36.66333975481185,-80.431165675784,Virginia,VA00282
Golden Horseshoe Golf Club Green Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408908.4356043653,37.25816653371315,-76.68873505165932,Virginia,VA00220
Magnolia Green Golf Club,,,,https://www.magnoliagreengolfclub.com,Moseley,17301,23120,Memorial Tournament Drive,,,,,VA,+1 804-639-5701,,,,,,,,,,,,Westham Golf Club,,,,,,,,,,,,multipolygon,,,,,,,,,,,1380922.2707365493,37.40298688751316,-77.74126092721852,Virginia,VA00099
Red Wing Lake Golf Course,City of Virginia Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350211.762361018,36.79921735565262,-75.97966872336903,Virginia,VA00224
The Golf Club of Virginia at Beacon Hill,Beacon Hill HOA,,,,,,,,,,,,,,2039437,,,,,,,private,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1349406.9328814913,39.14682880726243,-77.59141158244573,Virginia,VA00026
Shenvalee Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,1331284.3111937388,38.63644058372034,-78.66792077721969,Virginia,VA00330
Shenvalee Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,1331284.3111937388,38.63644058372034,-78.66792077721969,Virginia,VA00329
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1294397.190776335,37.54806025043301,-79.04871761831163,Virginia,VA00109
Golden Eagle Golf Club at The Tides,,,,https://www.tidesinn.com/chesapeake_bay_golf_resort/,Irvington,374,22480,Clubhouse Road,,,,,,+1 804 438 4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288980.4458729886,37.6818707340966,-76.39943477069374,Virginia,VA00248
Cardinal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1269295.2813114154,37.2227679992926,-77.32475835771983,Virginia,VA00063
Eaglewood Golf Course,,,,https://jbleforcesupport.com/langley/eaglewood-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258958.44095533,37.09041862054746,-76.3692845138444,Virginia,VA00182
Stonehouse Golf Club,,,,https://stonehousegolfclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1255240.7341779275,37.42919409975609,-76.81655882691159,Virginia,VA00058
Creighton Farms Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233878.3408661152,38.99481255785466,-77.61201599715835,Virginia,VA00167
The Foundry Golf Club,,,,,,3225,23139,Lees Landing Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230836.7670850242,37.59194392996233,-77.83127146194818,Virginia,VA00279
Olde Mill Resort,,,,,Laurel Fork,2258,24352,Stone Mountain Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193640.5238877307,36.69040290615076,-80.51889841867933,Virginia,VA00285
Olde Mill Resort,,,,,Laurel Fork,2258,24352,Stone Mountain Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193640.5238877307,36.69040290615076,-80.51889841867933,Virginia,VA00284
Mattaponi Springs Golf Club,,,,https://www.mattaponisprings.com/,Ruther Glen,22490,22564,Penola Road,,,,,,804-633-7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191593.4783255886,37.947580881694236,-77.37074512990847,Virginia,VA00201
Salisbury Country Club,,,,https://www.salisburycountryclub.com/,Midlothian,13620,23113,West Salisbury Road,,,,,VA,+1 804-794-6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182384.8939998434,37.527554183028755,-77.65465756735584,Virginia,VA00185
Country Club of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162043.412460212,37.16613777598113,-77.3930680409889,Virginia,VA00303
Robert Trent Jones Golf Club,,,,https://www.rtjgc.com/,Gainesville,One,20155,Turtle Point Drive,,,,,VA,+1 703-754-4050,,,,,,,,,,,,,Q7350471,,,,,,,,,,,multipolygon,,,,,,,,,,,1143770.036699999,38.777993351969634,-77.63425883148099,Virginia,VA00042
Colonial Heritage Golf Club,,,,https://colonialheritageclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1120811.6002425728,37.34822609557363,-76.77362705642662,Virginia,VA00054
Kinloch Golf Club,,,,https://kinlochgolfclub.com/,Manakin-Sabot,100,23103,Kinloch Lane,,,,,VA,+1 804-784-8000,,,,,,,,,,,,,Q39045433,,,,,,,,,,,multipolygon,,,,,,,,,,,1114233.4335614382,37.63461321208983,-77.68789689559715,Virginia,VA00032
Spring Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110541.1609475063,37.99153259171325,-78.21477273858197,Virginia,VA00171
Meadows Farms Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098534.8095657763,38.34756703658982,-77.77749073149819,Virginia,VA00340
Farmington Country Club,,,,https://www.farmingtoncc.com/,Charlottesville,1625,22901,Country Club Circle,,,,,VA,+1 434 296 5661,,,,,,,,,,,,,Q15217389,en:Farmington Country Club,,,,,,,,,,multipolygon,,,,,,,,,,,1094942.7873747963,38.05991951089157,-78.54031695212764,Virginia,VA00069
Glenmore Country Club,,,,http://glenmoremember.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1081171.9885008864,37.98924630238452,-78.38494469557149,Virginia,VA00050
Glenmore Country Club,,,,http://glenmoremember.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1081171.9885008864,37.98924630238452,-78.38494469557149,Virginia,VA00049
Forest Greens Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072696.722419069,38.54381333183903,-77.35390565915397,Virginia,VA00137
Williamsburg National Golf Club - The Jamestown Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1072107.9129139886,37.26824968783651,-76.80234634513789,Virginia,VA00055
Williamsburg National Golf Club - The Jamestown Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1072107.9129139886,37.26824968783651,-76.80234634513789,Virginia,VA00056
The Hamptons Golf Course,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070138.809744518,37.06944210145691,-76.40536523836444,Virginia,VA00135
The Virginian,,,,https://thevirginian.com/,Bristol,22512,24202,Clubhouse Ridge,,,,,,276-645-7050,,,,,,,,,,,,,Q7934726,,,,,,,,,,,multipolygon,,,,,,,,,,,1063754.196059867,36.62345889693932,-82.08969573609114,Virginia,VA00048
Bayville Golf Club,,,,https://www.bayvillegolfclub.com/,Virginia Beach,4137,23455,First Court Road,,,,,VA,757-460-7936,,,"need to re-map several holes, satellite imagery indicates reconfigurations",,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1063018.9914555768,36.900938991437386,-76.1109229322665,Virginia,VA00010
Army Navy Country Club,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,Q73516779,,,,,,陆军海军乡村高尔夫俱乐部,陆军海军乡村高尔夫俱乐部,,,,,,,,,,,,,,,1055653.7135555658,38.85599273385869,-77.07769330169305,Virginia,VA00123
Bowling Green Country Club,Bowling Green Country Club,,,https://www.bowlinggreencountryclub.net/,Front Royal,838,22630,Bowling Green Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047862.016393852,38.98720364323801,-78.1225727153491,Virginia,VA00207
Caverns Country Club Resort,,,,http://luraycaverns.com/discover/countryclub,,,,,,,,,,888-443-6551,1500392,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1039499.992095317,38.67071535176372,-78.5079472759353,Virginia,VA00036
Westfields Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,Balmoral Golf Course,,1036011.0214033973,38.79483620429777,-77.42249770860299,Virginia,VA00012
London Downs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034718.2318628028,37.297262819471655,-79.30757738635086,Virginia,VA00235
Old Trail Golf Club,,,,https://oldtrailgolf.com/,Crozet,5494,22932,Golf Drive,,,,,,+1 434 823 8101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034625.3582895169,38.05590668919602,-78.71895359022002,Virginia,VA00228
Water's Edge Country Club,,,,,Penhook,1825,24137,Water's Edge Drive,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033530.6966344932,37.02000671116373,-79.61780705648584,Virginia,VA00327
Evergreen Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1028355.459052728,38.88285955567498,-77.66043058795907,Virginia,VA00112
The Royal Virginian Golf Course,,,,http://www.theroyalvirginian.com/,Louisa,3016,23093,Royal Virginia Parkway,,,,,,804-457-2041,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1027478.1178481156,37.83638305307396,-78.00766248443712,Virginia,VA00035
Rasberry Falls Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024366.720088336,39.16238294099639,-77.5565468515467,Virginia,VA00141
Ole Monterey Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022466.468670235,37.31029576427987,-79.91792449180716,Virginia,VA00345
International Country Club,,,,https://internationalcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017544.6354573274,38.88841520611,-77.39880030820558,Virginia,VA00170
