ele,gnis:feature_id,name,addr:city,phone,website,addr:housenumber,addr:postcode,addr:street,addr:state,wikidata,operator,alt_name,old_name,golf:course,sport,type,note,area_m2,lat,lon,province,gcid
,2634149,Pikewood National Golf Club,Morgantown,+1-304-864-3312,https://www.pikewoodgolfclub.com/,3055,26508,Kingwood Pike,WV,,,,,,,,,1395041.2047289312,39.541459675919576,-79.86074680390611,West Virginia,WV00048
,2634225,Twisted Gun Golf Club,Wharncliffe,+1-304-664-9100,http://www.twistedgungc.com/,2002,25651,Twisted Gun Road,WV,,,,,,,multipolygon,,1158514.7798022828,37.59651818664123,-81.95584193250197,West Virginia,WV00020
,,Raven Golf Course,,,https://www.snowshoemtn.com/raven/raven-home.aspx,,,,,,,,,,,,,1112322.34715875,38.40456943048184,-80.0260034222065,West Virginia,WV00024
,2634148,Pete Dye Golf Club,Bridgeport,+1 304-842-2801,https://www.pacificlinks.com/petedye,801,26330,Aaron Smith Drive,,Q7171943,,,,,,multipolygon,,1112023.180149524,39.33083952844543,-80.29997251012539,West Virginia,WV00011
,2634206,Esquire Country Club,Barboursville,+1 304-736-1476,http://www.esquirecountryclub.com/,One,25504,Esquire Drive,,,,,,,,multipolygon,,1031962.5486864249,38.36677234545685,-82.2665646211591,West Virginia,WV00014
,2634198,The Arnold Palmer Signature Golf Course at Stonewall Resort,Roanoke,+1-304-269-7400,https://www.stonewallresort.com/golf/,940,26447,Resort Drive,,,,,,,,,,1009904.2670337079,38.94631231354882,-80.5001595252095,West Virginia,WV00072
,,Speidel Jones Golf Course,,,,,,,,,,,,,,,,1002740.548647306,40.116533736617384,-80.64939981972775,West Virginia,WV00128
,,Guyan Golf and Country Club,Huntington,+1-304-736-5233,https://www.guyangolfandcountryclub.com/,5450,25705,US Route 60,,,,,,,,,,873342.0604575516,38.416946200864935,-82.332698861734,West Virginia,WV00104
,,Canaan Valley Resort Golf Club,,,,,,,,,,,,,,,,865661.0435137779,39.0314093934378,-79.45267505827005,West Virginia,WV00027
,2634119,The Greenbrier Sporting Club - The Snead,,,https://www.greenbrier.com/Golf/The-Golf-Club/The-Snead-Course.aspx,,,,,,The Greenbriar,,,,,multipolygon,,851891.1777299279,37.774863212659774,-80.33748979826848,West Virginia,WV00012
,2634199,Brier Patch Golf Links,Beckley,+1-304-253-4653,https://www.brierpatchlinks.com/,1,25801,Brier Patch Drive,,,,,,,,,,839902.4842384731,37.79112812338788,-81.24067231181836,West Virginia,WV00111
,2634161,Preston Country Club Golf Course,Kingwood,+1 304-329-3502,http://www.prestoncountryclub.com/,,26537,Camp Dawson Road,,,,,,,,multipolygon,,818179.7085943229,39.45500936261223,-79.65793643574223,West Virginia,WV00016
