name,sport,phone,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,website,addr:housename,charge,fee,golf:course,golf:par,operator,source,addr:country,contact:facebook,contact:website,type,end_date,note,area_m2,lat,lon,province,gcid
Bell Nob Golf Course,golf,+1 307 686 7069,Gillette,4600,82718,WY,Overdale Drive,https://www.campbellcountywy.gov/Facilities/Facility/Details/Bell-Nob-Golf-Course-25,,,,,,Campbell County,survey,,,,multipolygon,,,2152367.9712512926,44.28106853754837,-105.56192103558,Wyoming,WY00006
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,1558780.5289594019,43.56751889631215,-110.75248415552053,Wyoming,WY00050
Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,1219022.7299343003,43.44292117091439,-110.81962795897951,Wyoming,WY00012
White Mountain Golf Course,,,,,,,,,,,,,,,,,,,,,,1043731.8908166162,41.64435192739912,-109.24089969272269,Wyoming,WY00017
The Golf Club at Devils Tower,,,,,,,,,,,,,,,,,,,,,,991559.3237633016,44.67919911927792,-104.58885641612976,Wyoming,WY00051
Shooting Star Golf Course & Nordic Track,golf,,,,,,,https://www.shootingstarjh.com/,,,,,,,,,,,,,,905351.6364436959,43.57465127371155,-110.82883806069586,Wyoming,WY00021
Casper Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,903336.0944626398,42.825677713193244,-106.32233938945163,Wyoming,WY00013
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,879001.5644870833,44.79323601089252,-107.01936174778747,Wyoming,WY00054
Francis E. Warren Air Force Base Golf Course,,+1-307-773-3556,FE Warren AFB,6110,82005,WY,,,,,,,,,,,,,multipolygon,2019,"Golf course is mostly but not completely closed.  As of April 4 2020, only the driving range and the club house is open, rest of the facility is closed.",858151.6937807472,41.15753946970687,-104.84944859617096,Wyoming,WY00010
Three Crowns Golf Club,,,,,,,,,,,,,,,,,,,,,,857152.5565930323,42.840791888675824,-106.34768836361636,Wyoming,WY00047
Hidden Bridge Golf Club,,+1 307 752 6625,Sheridan,550,82801,WY,Mydland Road,https://www.hiddenbridgegolf.com/,,,,,,,,,,,,,,797259.5796784807,44.800256121011984,-106.99757601597072,Wyoming,WY00043
Purple Sage Golf Course,,,,,,,,,,,,,,,,,,,,,,786283.2126096183,41.270463783119624,-110.9832917181038,Wyoming,WY00027
Fox Run Golf Course,golf,,,,,,,,,,,,,,,,,,,,,752888.8121401882,41.28895942247435,-105.66481920987125,Wyoming,WY00035
Teton Pines,golf,,,,,,,https://www.tetonpines.com/Club/Scripts/Home/home.asp,,,,,,,,,,,,,,745914.1357389648,43.52268089332103,-110.84689750750813,Wyoming,WY00022
Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,742670.6643895571,43.26550134394946,-110.77824637968882,Wyoming,WY00011
Old Baldy Club Golf,,,,,,,,,,,,,,,,,,,,,,720562.1265715681,41.44659693747315,-106.77650137541097,Wyoming,WY00030
Jacoby Golf Course,,,,,,,,,,,,,,University of Wyoming,,,,,,,,680847.8886617498,41.31759504857576,-105.5524352780379,Wyoming,WY00016
Cottonwood at Torrington,,+1 307 532 3868,Torrington,,82224,,,https://www.cottonwoodattorrington.com/,,,,,,,,,,,,,,654247.935073492,42.05669092281403,-104.21334572991444,Wyoming,WY00039
Olive Glenn Golf & Country Club,,+1-307-587-5551,Cody,801,,WY,Meadow Lane,http://www.golfoliveglenn.com/,,,,,,,,,,,multipolygon,,,641908.7908506293,44.509954627414274,-109.06922106672805,Wyoming,WY00008
Casper Country Club,,,,,,,,,,,,,,,,,,,,,,639227.7930261068,42.81850827294592,-106.2627007988886,Wyoming,WY00014
Lander Golf Course,,+1 307 332 4653,Lander,1,82520,WY,Golf Course Drive,https://landergolfcourse.com/,,,,,,,,,,,,,,606362.4087187876,42.81923785007008,-108.72129512901813,Wyoming,WY00041
Douglas Community Club and Golf Course,,,,,,,,http://www.douglaswygolf.com/,,,,,,,,,,,,,,590823.972415057,42.73563165964243,-105.36807896962068,Wyoming,WY00036
Cheyenne Country Club,,,Cheyenne,800,82009,WY,Stinner Road,,,,,,,,,,,,,,,585362.4148829774,41.16160455244354,-104.84675698754529,Wyoming,WY00037
