name,lat,lon,area_m2
Trestle Creek Golf Resort,53.56284004790244,-114.89760787037186,2337457.0623409944
The Glencoe Golf and Country Club,51.026613937131174,-114.30118706367696,1990205.1969662525
Cold Lake Golf and Winter Club,54.42060895346585,-110.2429059024689,1865404.9120145477
Kananaskis Country Golf Course,50.902951265525594,-115.14601496740762,1835840.4827309928
Eagle Point Golf Course,56.02321672136466,-113.89763953838948,1719729.1811276195
Hinton Golf Club,53.381028393191826,-117.61196845275998,1271457.0394154692
Coyotte Creek Golf & RV Resort,51.76230594447027,-114.67487830956408,1258581.5138444533
Black Bull Golf Resort,52.95249464320844,-114.03239325024946,1226679.658109697
Coal Creek Golf Resort,53.22511900206377,-112.52560443967184,1215366.7479415815
Silverwing Golf Course,51.10236860124749,-113.99092518354178,1191919.5704958648
Jasper Park Lodge Golf Club,52.88277177081424,-118.04613188355235,1174354.3581406819
The Quarry,53.620354730985035,-113.3271551137274,1170206.2531055082
Links of GlenEagles,51.186545354429285,-114.43395326969832,1166902.5608112111
The Legends Golf and Country Club,53.62508394666368,-113.29458880914565,1161748.1073373498
Mickelson National Golf Club,51.121635377273094,-114.37254953064217,1158156.948039509
Bearspaw Country Club,51.15807158241447,-114.26783373073174,1098988.1234224548
Speargrass Golf Course,50.838652154804315,-113.42988188972761,1092737.1251356737
Northern Bear Golf Club,53.374206872900196,-113.14175107287817,1080476.2663416832
Country Hills Golf Club,51.14511833501145,-114.08566056030845,1047010.2560651737
Miquelon Hills Golf Course,53.26084043865804,-112.86332600164627,1033343.7401373058
Three Sisters Creek Golf Course,51.05856255236032,-115.33957157850774,1030471.1898801624
Jagare Ridge Golf Club,53.42035211127947,-113.57794722592595,1024337.3662661258
Jagare Ridge Golf Club,53.42035211127947,-113.57794722592595,1024337.3662661258
Wolf Creek Golf Resort,52.58294734594968,-113.65068110895255,1016832.3210835824
Wolf Creek Golf Resort,52.58294734594968,-113.65068110895255,1016832.3210835824
Innisfail Golf Club,52.039734586913674,-113.97199151391946,1005449.343800558
River Spirit Golf Club,51.03669363599157,-114.38053273101899,988413.7215032924
Strathmore Golf Club,51.05527573646985,-113.40574367584736,986520.3631367197
Fox Run Golf Course,53.63553532360895,-113.17989268950616,979822.6684862267
Priddis Greens Golf & Country Club - Hawk,50.89706214628485,-114.39461409216516,976972.9904761873
The Fairmont Banff Springs Golf Course,51.17280481394051,-115.53678337114188,970988.5536349284
Crowsnest Pass Golf & Country Club,49.62526875174664,-114.4567129089928,965194.0453726334
Stewart Creek Golf & Country Club,51.045387773270626,-115.31289813479867,956459.0710037425
Red Tail Landing,53.321674136265834,-113.55366140463617,954624.8735364353
Edmonton Garrison Memorial Golf & Curling Club,53.66322032445016,-113.48549177658461,947421.4736194708
Edmonton Springs Golf Resort,53.58337665334589,-113.79396541021063,944918.744816694
D'Arcy Ranch Golf Club,50.73804575705134,-113.9943620570348,926819.2013866309
Elbow Springs Golf Club,51.012470346343626,-114.248015795166,924786.5764849439
Silver Creek Golf Course,52.889960182215674,-112.96582882676871,922779.4971450004
Fort McMurray Golf Club,56.71135051295843,-111.44511476857777,911549.3556490379
Tooth of the Dogpound Creek Golf Course,51.52045737647583,-114.37043499868989,899958.9389796818
Whitetail Crossing Golf Club,53.581477013497285,-112.35120448155654,897006.8837600639
,50.010054537694344,-113.58879925620397,882806.6904765754
McCall Lake Golf Club,51.086392720292736,-114.02203775351806,882288.7277450647
