name,lat,lon,area_m2
The Quarry,53.620354730985035,-113.3271551137274,1170206.2531055082
Jagare Ridge Golf Club,53.42035211127947,-113.57794722592595,1024337.3662661258
Edmonton Country Club and Golf Course,53.49055817031657,-113.60429594838816,868835.2731946963
Mill Woods Golf Course,53.481799361501054,-113.43378287044499,757706.0625449924
River Ridge Golf and Country Club,53.439916678170356,-113.63547900885737,696637.8571454769
Windermere Golf and Country Club,53.428510332056064,-113.64771105084274,680136.0643117438
Highlands Golf Course,53.56017935636826,-113.43568808901435,619546.6672631092
Lewis Estates Golf Course,53.52232145354095,-113.67619975556693,589332.1581446005
Glendale Golf & Country Club,53.581254256609924,-113.67025405316714,586094.4960133035
Royal Mayfair Golf Club,53.53329164009891,-113.54686974613197,581075.3518108311
Derrick Golf and Winter Club,53.46829466718323,-113.54425085417604,555236.7093023035
Victoria Golf Course,53.53647968808332,-113.52625763698252,550563.4404965776
Raven Crest Golf & Country Club,53.610878076937105,-113.33786429341718,515682.80489473307
Twin Willows Golf Club,53.6023499674979,-113.59661763486912,473111.0512531381
Riverside Golf Course,53.55245558348373,-113.46005012123304,423207.5298167406
Rundle Park Golf Course,53.56937028063655,-113.38245238315159,387897.01352957165
Dragon's Head Par 3 Golf Club,53.57650277272008,-113.67048842513462,232017.80578346367
Bogey Busters,53.42692491212832,-113.55492171345125,73084.5012519221
,53.48341145664772,-113.4298194902345,34383.69626023652
Kinsmen Pitch & Putt,53.52534200080339,-113.50973751635203,27714.62235557264
